#: table_doi: 10.17182/hepdata.12557.v1/t19
#: name: Table 19
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE R(QCD).

#: data_file: Table19.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 13.729-22.938
#: P [GEV],100. TO 280.
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],13.729-22.938
#: X,0.35
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
11.75,0.24021,0.00427,-0.00427,0.00381,-0.00381,3.0%,-3.0%
13.25,0.23489,0.00353,-0.00353,0.00262,-0.00262,3.0%,-3.0%
15.0,0.23229,0.00314,-0.00314,0.00249,-0.00249,3.0%,-3.0%
17.0,0.23633,0.00326,-0.00326,0.00255,-0.00255,3.0%,-3.0%
19.0,0.22533,0.00332,-0.00332,0.00236,-0.00236,3.0%,-3.0%
21.5,0.22823,0.00299,-0.00299,0.00244,-0.00244,3.0%,-3.0%
24.5,0.22699,0.00221,-0.00221,0.00111,-0.00111,3.0%,-3.0%
28.0,0.22596,0.00243,-0.00243,0.0008,-0.0008,3.0%,-3.0%
32.5,0.22147,0.00175,-0.00175,0.0009,-0.0009,3.0%,-3.0%
37.5,0.22029,0.00165,-0.00165,0.00078,-0.00078,3.0%,-3.0%
43.0,0.21619,0.00154,-0.00154,0.00087,-0.00087,3.0%,-3.0%
49.5,0.21435,0.00167,-0.00167,0.00085,-0.00085,3.0%,-3.0%
57.0,0.21428,0.00164,-0.00164,0.00088,-0.00088,3.0%,-3.0%
65.5,0.20654,0.00178,-0.00178,0.00083,-0.00083,3.0%,-3.0%
75.0,0.20555,0.00211,-0.00211,0.00061,-0.00061,3.0%,-3.0%
86.0,0.20711,0.00219,-0.00219,0.00071,-0.00071,3.0%,-3.0%
99.0,0.20334,0.00235,-0.00235,0.00061,-0.00061,3.0%,-3.0%
115.5,0.20511,0.00444,-0.00444,0.00071,-0.00071,3.0%,-3.0%
137.5,0.20266,0.00477,-0.00477,0.00071,-0.00071,3.0%,-3.0%

