#: table_doi: 10.17182/hepdata.12557.v1/t40
#: name: Table 40
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE R(QCD).

#: data_file: Table40.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 13.729
#: P [GeV],100.0
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],13.729
#: X,0.275
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
10.25,0.30476,0.00537,-0.00537,0.00299,-0.00299,3.0%,-3.0%
11.75,0.29971,0.00546,-0.00546,0.00216,-0.00216,3.0%,-3.0%
13.25,0.30213,0.00575,-0.00575,0.00196,-0.00196,3.0%,-3.0%
15.0,0.30414,0.00528,-0.00528,0.00187,-0.00187,3.0%,-3.0%
17.0,0.30467,0.00566,-0.00566,0.00185,-0.00185,3.0%,-3.0%
19.0,0.29035,0.00594,-0.00594,0.00182,-0.00182,3.0%,-3.0%
21.5,0.29911,0.00562,-0.00562,0.00181,-0.00181,3.0%,-3.0%
24.5,0.28068,0.00501,-0.00501,0.00049,-0.00049,3.0%,-3.0%
28.0,0.29223,0.00511,-0.00511,0.00084,-0.00084,3.0%,-3.0%
32.5,0.28428,0.00477,-0.00477,0.00061,-0.00061,3.0%,-3.0%
37.5,0.27224,0.00593,-0.00593,0.00047,-0.00047,3.0%,-3.0%

