#: table_doi: 10.17182/hepdata.105278.v1/t29
#: name: Figure 12 (Run12)
#: description: the inclusive jet asymmetries and systematic uncertainties,as function of pT compared to the theoretical predictions (Run12)
#: data_file: fig12_run12_input_yaml.yaml
#: keyword cmenergies: 510.0
#: Parton Jet $p_{T}$ [GeV/c],,,Inclusive Jet $A_{LL}$, 510GeV, Run12, R=0.5,$\vert \eta \vert$ < 0.9
Parton Jet $p_{T}$ [GeV/c],Parton Jet $p_{T}$ [GeV/c] LOW,Parton Jet $p_{T}$ [GeV/c] HIGH,Inclusive Jet $A_{LL}$,stat +,stat -,sys +,sys -,UE/RL sys +,UE/RL sys -
7.02,6.758,7.282,1.71e-05,0.00132,-0.00132,0.000132,-0.000132,0.000364,-0.000364
7.97,7.673,8.267,-0.00215,0.0014,-0.0014,0.000485,-0.000485,0.000326,-0.000326
9.899999999999999,9.54,10.26,0.00162,0.00101,-0.00101,0.000109,-0.000109,0.000311,-0.000311
11.600000000000001,11.198,12.002,0.0005,0.00112,-0.00112,8.01e-05,-8.01e-05,0.000284,-0.000284
13.4,12.935,13.865,0.00148,0.00129,-0.00129,0.000106,-0.000106,0.000272,-0.000272
15.600000000000001,15.1,16.1,0.00293,0.00159,-0.00159,0.000159,-0.000159,0.000256,-0.000256
19.0,18.401,19.599,0.00158,0.00158,-0.00158,0.000139,-0.000139,0.000251,-0.000251
22.200000000000003,21.571,22.829,0.00445,0.00181,-0.00181,0.000228,-0.000228,0.000246,-0.000246
25.7,24.959,26.441,0.00496,0.00214,-0.00214,0.000177,-0.000177,0.000239,-0.000239
29.700000000000003,28.867,30.533,0.0036,0.00273,-0.00273,0.000251,-0.000251,0.000234,-0.000234
34.4,33.451,35.349,0.0169,0.00372,-0.00372,0.000376,-0.000376,0.000231,-0.000231
39.7,38.62,40.78,-0.00492,0.00537,-0.00537,0.000336,-0.000336,0.000229,-0.000229
46.3,45.06,47.54,0.0122,0.00836,-0.00836,0.000687,-0.000687,0.000227,-0.000227
53.8,52.31,55.29,0.00177,0.0137,-0.0137,0.000813,-0.000813,0.000226,-0.000226

