# data from Table 1 https://arxiv.org/pdf/2103.04024.pdf
# xt_min	xt_max	<xt>	<x_b>	<M>	<P_T>	\sigma_D/(2\sigma_H)	stat(abs)	sys(abs)	\delta xt
0.130	0.160	0.147	0.688	4.71	0.651	1.211	0.052	0.053	0.013
0.160	0.195	0.179	0.611	4.88	0.717	1.141	0.043	0.025	0.016
0.195	0.240	0.216	0.554	5.11	0.757	1.196	0.042	0.044	0.019
0.240	0.290	0.263	0.519	5.46	0.786	1.165	0.046	0.032	0.022
0.290	0.350	0.315	0.498	5.87	0.785	1.193	0.050	0.034	0.026
0.350	0.450	0.385	0.477	6.36	0.776	1.113	0.064	0.039	0.030
