    i          rs           x          Q2       sigma        stat        syst        norm
    0     140.7124700       0.0067833     110.0000000       0.8270205       1.4907128       2.0000000       5.8000000
    1     140.7124700       0.0095817     110.0000000       0.9335753       1.3558159       2.0000000       5.8000000
    2     140.7124700       0.0135346     110.0000000       0.9928611       1.3854220       2.0000000       5.8000000
    3     140.7124700       0.0191181     110.0000000       0.9887992       1.3520943       2.0000000       5.8000000
    4     140.7124700       0.0270050     110.0000000       0.9481506       1.3633519       2.0000000       5.8000000
    5     140.7124700       0.0381456     110.0000000       0.9020697       1.3520898       2.0000000       5.8000000
    6     140.7124700       0.0538820     110.0000000       0.8634544       1.4314935       2.0000000       5.8000000
    7     140.7124700       0.0761104     110.0000000       0.8312651       1.4184772       2.0000000       5.8000000
    8     140.7124700       0.1075090     110.0000000       0.7908242       1.5161940       2.0000000       5.8000000
    9     140.7124700       0.1518600     110.0000000       0.7205190       1.5870959       2.0000000       5.8000000
   10     140.7124700       0.2145080     110.0000000       0.6081004       1.6855068       2.0000000       5.8000000
   11     140.7124700       0.3030010     110.0000000       0.4611761       1.9536566       2.0000000       5.8000000
   12     140.7124700       0.4280000     110.0000000       0.2727827       2.5400006       2.0000000       5.8000000
   13     140.7124700       0.6045670     110.0000000       0.0837232       6.9006210       2.0000000       5.8000000
   14     140.7124700       0.8539730     110.0000000       0.0043113      22.3607005       2.0000000       5.8000000
   15     140.7124700       0.0095817     130.0000000       0.8503528       1.3788203       2.0000000       5.8000000
   16     140.7124700       0.0135346     130.0000000       0.9477418       1.3608272       2.0000000       5.8000000
   17     140.7124700       0.0191181     130.0000000       0.9851214       1.3975436       2.0000000       5.8000000
   18     140.7124700       0.0270050     130.0000000       0.9603077       1.3292084       2.0000000       5.8000000
   19     140.7124700       0.0381456     130.0000000       0.9047440       1.3620910       2.0000000       5.8000000
   20     140.7124700       0.0538820     130.0000000       0.8450884       1.4002815       2.0000000       5.8000000
   21     140.7124700       0.0761104     130.0000000       0.7971481       1.4403784       2.0000000       5.8000000
   22     140.7124700       0.1075090     130.0000000       0.7596902       1.4664727       2.0000000       5.8000000
   23     140.7124700       0.1518600     130.0000000       0.7083034       1.5732889       2.0000000       5.8000000
   24     140.7124700       0.2145080     130.0000000       0.6162043       1.7225958       2.0000000       5.8000000
   25     140.7124700       0.3030010     130.0000000       0.4758174       1.9574030       2.0000000       5.8000000
   26     140.7124700       0.4280000     130.0000000       0.2807818       2.7735053       2.0000000       5.8000000
   27     140.7124700       0.6045670     130.0000000       0.0864105       5.2704688       2.0000000       5.8000000
   28     140.7124700       0.8539730     130.0000000       0.0034475      22.3607005       2.0000000       5.8000000
   29     140.7124700       0.0135346     200.0000000       0.7525056       1.5109930       2.0000000       5.8000000
