,rs,x,Q2,sigma,stat_u(%),syst_u(%),norm_c(%),sigma (unshifted),-0.162105783077413
484,28.6356421265527,0.325,20.5,0.239273745250764,0.0394,1.5,2.5,0.243651390075684,
485,28.6356421265527,0.325,32.5,0.231429330968884,0.0513,1.5,2.5,0.233978688716888,
486,28.6356421265527,0.325,51.5,0.21933931766532,0.0676,1.5,2.5,0.224753648042679,
487,28.6356421265527,0.325,81.5,0.21449708086051,0.0915,1.5,2.5,0.215891480445862,
488,28.6356421265527,0.325,129,0.205648723376255,0.125,1.5,2.5,0.206541687250137,
489,28.6356421265527,0.515,2.05,0,0.0723,2.5,2.5,0,
490,28.6356421265527,0.515,3.25,0.16029483740971,0.0292,2.5,2.5,0.155289798974991,
491,28.6356421265527,0.515,5.15,0.142959851805531,0.0288,1.5,2.5,0.141409531235695,
492,28.6356421265527,0.515,8.15,0.128078049370394,0.0352,1.5,2.5,0.128275945782661,
493,28.6356421265527,0.515,12.9,0.117079008760684,0.0448,1.5,2.5,0.116823270916939,
494,28.6356421265527,0.515,20.5,0.106739121653038,0.058,1.5,2.5,0.107395753264427,
495,28.6356421265527,0.515,32.5,0.099891135724078,0.0758,1.5,2.5,0.099110834300518,
496,28.6356421265527,0.515,51.5,0.090540338429397,0.0996,1.5,2.5,0.091859757900238,
497,28.6356421265527,0.515,81.5,0.085502688278787,0.133,1.5,2.5,0.085429362952709,
498,28.6356421265527,0.515,129,0.079384706365425,0.18,1.5,2.5,0.079534754157066,
499,28.6356421265527,0.515,205,0.074847430626469,0.256,1.5,2.5,0.073826886713505,
500,28.6356421265527,0.815,5.15,0.019626825520235,0.344,2.5,2.5,0.020185532048345,
501,28.6356421265527,0.815,8.15,0.013546351326657,0.132,1.5,2.5,0.013789621181786,
502,28.6356421265527,0.815,12.9,0.010331245251711,0.14,1.5,2.5,0.010387781076133,
503,28.6356421265527,0.815,20.5,0.008366047716085,0.178,1.5,2.5,0.008179169148207,
504,28.6356421265527,0.815,32.5,0.006737919305211,0.238,1.5,2.5,0.006678841076791,
505,28.6356421265527,0.815,51.5,0.005669082409878,0.313,1.5,2.5,0.005604123696685,
506,28.6356421265527,0.815,81.5,0.004780572519023,0.424,1.5,2.5,0.004804477561265,
507,28.6356421265527,0.815,129,0.004135493005566,0.568,1.5,2.5,0.004179464187473,
508,28.6356421265527,0.815,205,0.003716580551484,0.788,1.5,2.5,0.003664323594421,
509,28.6356421265527,0.815,325,0.003196414391923,1.04,1.5,2.5,0.003213472897187,
