	rs	x	Q2	sigma	stat_u(%)	syst_u(%)	norm_c(%)
0	140.71247	0.00678335	110	0.807826340198517	1.49071276936019	2	5.8
1	140.71247	0.00958173	110	0.898546099662781	1.35581589858954	2	5.8
2	140.71247	0.0135346	110	0.964453816413879	1.38542202369002	2	5.8
3	140.71247	0.0191181	110	0.988118648529053	1.35209433024966	2	5.8
4	140.71247	0.027005	110	0.975262761116028	1.36335190503605	2	5.8
5	140.71247	0.0381456	110	0.938479781150818	1.35208977235486	2	5.8
6	140.71247	0.053882	110	0.886737704277039	1.43149354250742	2	5.8
7	140.71247	0.0761104	110	0.827285587787628	1.41847724618247	2	5.8
8	140.71247	0.107509	110	0.765104711055756	1.51619398751073	2	5.8
9	140.71247	0.15186	110	0.691878736019135	1.58709593153032	2	5.8
10	140.71247	0.214508	110	0.59459662437439	1.68550677853658	2	5.8
11	140.71247	0.303001	110	0.466424077749252	1.95365662931368	2	5.8
12	140.71247	0.428	110	0.28616601228714	2.5400005977408	2	5.8
13	140.71247	0.604567	110	0.094786539673805	6.90062102402926	2	5.8
14	140.71247	0.853973	110	0.005503813270479	22.3607004541932	2	5.8
15	140.71247	0.00958173	130	0.835743725299835	1.37882030955849	2	5.8
16	140.71247	0.0135346	130	0.913212597370148	1.36082715982124	2	5.8
17	140.71247	0.0191181	130	0.953047931194305	1.39754355049348	2	5.8
18	140.71247	0.027005	130	0.953631103038788	1.32920842567713	2	5.8
19	140.71247	0.0381456	130	0.925922691822052	1.3620909855787	2	5.8
20	140.71247	0.053882	130	0.8794846534729	1.40028152968984	2	5.8
21	140.71247	0.0761104	130	0.822722554206848	1.44037843918115	2	5.8
22	140.71247	0.107509	130	0.761453211307526	1.46647274071823	2	5.8
23	140.71247	0.15186	130	0.688119530677795	1.57328893079022	2	5.8
24	140.71247	0.214508	130	0.590152382850647	1.72259577723139	2	5.8
25	140.71247	0.303001	130	0.461066067218781	1.95740304075658	2	5.8
26	140.71247	0.428	130	0.281046807765961	2.77350525013381	2	5.8
27	140.71247	0.604567	130	0.092252552509308	5.27046882090755	2	5.8
28	140.71247	0.853973	130	0.005213824100792	22.3607004541932	2	5.8
29	140.71247	0.0135346	200	0.769455969333649	1.51099298424168	2	5.8
30	140.71247	0.0191181	200	0.837746262550354	1.45095044134109	2	5.8
31	140.71247	0.027005	200	0.875599563121796	1.39346957756018	2	5.8
32	140.71247	0.0381456	200	0.87752091884613	1.37620732372934	2	5.8
33	140.71247	0.053882	200	0.850481986999512	1.41705143090365	2	5.8
34	140.71247	0.0761104	200	0.804880261421204	1.55417467663725	2	5.8
35	140.71247	0.107509	200	0.748808801174164	1.57329068039764	2	5.8
36	140.71247	0.15186	200	0.677067399024963	1.65294860669919	2	5.8
37	140.71247	0.214508	200	0.578409075737	1.7931647687079	2	5.8
38	140.71247	0.303001	200	0.447665512561798	2.00804089676861	2	5.8
39	140.71247	0.428	200	0.268533289432526	2.7524088843521	2	5.8
40	140.71247	0.604567	200	0.086204759776592	4.82242325425077	2	5.8
41	140.71247	0.853973	200	0.004585710354149	18.2574290316075	2	5.8
42	140.71247	0.027005	400	0.705047309398651	1.67365518775809	2	5.8
43	140.71247	0.0381456	400	0.7499178647995	1.5448710255715	2	5.8
44	140.71247	0.053882	400	0.766759693622589	1.5339232204198	2	5.8
45	140.71247	0.0761104	400	0.752916216850281	1.60955996421957	2	5.8
46	140.71247	0.107509	400	0.715835630893707	1.68311293699815	2	5.8
47	140.71247	0.15186	400	0.653908967971802	1.73552875489343	2	5.8
48	140.71247	0.214508	400	0.558250546455383	1.90693289516369	2	5.8
49	140.71247	0.303001	400	0.427089542150497	2.1926473683505	2	5.8
50	140.71247	0.428	400	0.250202178955078	2.97481752457189	2	5.8
51	140.71247	0.604567	400	0.077752083539963	5.42327263042736	2	5.8
52	140.71247	0.853973	400	0.003832408459857	31.6227766016838	2	5.8
53	140.71247	0.053882	700	0.672216653823853	1.82574347746374	2	5.8
54	140.71247	0.0761104	700	0.687086999416351	1.87646513591487	2	5.8
55	140.71247	0.107509	700	0.674408316612244	1.85375971971678	2	5.8
56	140.71247	0.15186	700	0.628420770168304	1.93166209806676	2	5.8
57	140.71247	0.214508	700	0.540075182914734	2.0244418516444	2	5.8
58	140.71247	0.303001	700	0.410977780818939	2.5318479257632	2	5.8
59	140.71247	0.428	700	0.236698627471924	3.1158823564022	2	5.8
60	140.71247	0.604567	700	0.071864604949951	6.0857775332311	2	5.8
61	140.71247	0.853973	700	0.003382294904441	31.6227766016838	2	5.8
62	140.71247	0.0761104	1000	0.639482080936432	1.95366048936276	2	5.8
63	140.71247	0.107509	1000	0.641113758087158	1.88982407571884	2	5.8
64	140.71247	0.15186	1000	0.608264327049255	1.99601715896329	2	5.8
65	140.71247	0.214508	1000	0.52717936038971	2.00000500054607	2	5.8
66	140.71247	0.303001	1000	0.400733143091202	2.48451756416416	2	5.8
67	140.71247	0.428	1000	0.22854633629322	3.53552809445472	2	5.8
68	140.71247	0.604567	1000	0.068467400968075	7.66963944743476	2	5.8
69	140.71247	0.853973	1000	0.003150853561237	31.6227766016838	2	5.8
70	140.71247	0.107509	1400	0.608107447624206	0.681994759906051	2	5.8
71	140.71247	0.15186	1400	0.586729049682617	0.692045460233089	2	5.8
72	140.71247	0.214508	1400	0.513907670974731	0.732451738390535	2	5.8
73	140.71247	0.303001	1400	0.390962719917297	0.869071461570841	2	5.8
74	140.71247	0.428	1400	0.221094608306885	1.14557423850106	2	5.8
75	140.71247	0.604567	1400	0.065477319061756	2.23049761104015	2	5.8
76	140.71247	0.853973	1400	0.002966544125229	10.540918692736	2	5.8
77	140.71247	0.214508	3000	0.481517404317856	0.938645521759212	2	5.8
78	140.71247	0.303001	3000	0.368211328983307	1.06178914050389	2	5.8
79	140.71247	0.428	3000	0.204772263765335	1.42711729309171	2	5.8
80	140.71247	0.604567	3000	0.059338290244341	2.73179475658587	2	5.8
81	140.71247	0.853973	3000	0.002659562043846	10.540918692736	2	5.8
82	140.71247	0.303001	5000	0.353405296802521	1.11386324180062	2	5.8
83	140.71247	0.428	5000	0.19425193965435	1.24225316005462	2	5.8
84	140.71247	0.604567	5000	0.055627830326557	2.64442764861496	2	5.8
85	140.71247	0.853973	5000	0.002533285412937	15.8113883008419	2	5.8
86	140.71247	0.428	9000	0.183730959892273	2.58198745569923	2	5.8
87	140.71247	0.604567	9000	0.051748711615801	1.6158497576605	2	5.8
88	140.71247	0.853973	9000	0.002448259387165	6.900661545229	2	5.8


