    i          rs           x          Q2       sigma        stat        syst        norm
    0     140.7124700       0.0067833     110.0000000       0.7813589       1.4907128       2.0000000       2.3000000
    1     140.7124700       0.0095817     110.0000000       0.8608625       1.3558159       2.0000000       2.3000000
    2     140.7124700       0.0135346     110.0000000       0.9335210       1.3854220       2.0000000       2.3000000
    3     140.7124700       0.0191181     110.0000000       0.9839418       1.3520943       2.0000000       2.3000000
    4     140.7124700       0.0270050     110.0000000       0.9988511       1.3633519       2.0000000       2.3000000
    5     140.7124700       0.0381456     110.0000000       0.9705040       1.3520898       2.0000000       2.3000000
    6     140.7124700       0.0538820     110.0000000       0.9044279       1.4314935       2.0000000       2.3000000
    7     140.7124700       0.0761104     110.0000000       0.8192533       1.4184772       2.0000000       2.3000000
    8     140.7124700       0.1075090     110.0000000       0.7381894       1.5161940       2.0000000       2.3000000
    9     140.7124700       0.1518600     110.0000000       0.6677574       1.5870959       2.0000000       2.3000000
   10     140.7124700       0.2145080     110.0000000       0.5880586       1.6855068       2.0000000       2.3000000
   11     140.7124700       0.3030010     110.0000000       0.4691671       1.9536566       2.0000000       2.3000000
   12     140.7124700       0.4280000     110.0000000       0.2911165       2.5400006       2.0000000       2.3000000
   13     140.7124700       0.6045670     110.0000000       0.1005140       6.9006210       2.0000000       2.3000000
   14     140.7124700       0.8539730     110.0000000       0.0103074      22.3607005       2.0000000       2.3000000
   15     140.7124700       0.0095817     130.0000000       0.8169183       1.3788203       2.0000000       2.3000000
   16     140.7124700       0.0135346     130.0000000       0.8765787       1.3608272       2.0000000       2.3000000
   17     140.7124700       0.0191181     130.0000000       0.9183540       1.3975436       2.0000000       2.3000000
   18     140.7124700       0.0270050     130.0000000       0.9439710       1.3292084       2.0000000       2.3000000
   19     140.7124700       0.0381456     130.0000000       0.9444534       1.3620910       2.0000000       2.3000000
   20     140.7124700       0.0538820     130.0000000       0.9103264       1.4002815       2.0000000       2.3000000
   21     140.7124700       0.0761104     130.0000000       0.8441220       1.4403784       2.0000000       2.3000000
   22     140.7124700       0.1075090     130.0000000       0.7608112       1.4664727       2.0000000       2.3000000
   23     140.7124700       0.1518600     130.0000000       0.6714089       1.5732889       2.0000000       2.3000000
   24     140.7124700       0.2145080     130.0000000       0.5700755       1.7225958       2.0000000       2.3000000
   25     140.7124700       0.3030010     130.0000000       0.4433229       1.9574030       2.0000000       2.3000000
   26     140.7124700       0.4280000     130.0000000       0.2743744       2.7735053       2.0000000       2.3000000
   27     140.7124700       0.6045670     130.0000000       0.0948945       5.2704688       2.0000000       2.3000000
   28     140.7124700       0.8539730     130.0000000       0.0115773      22.3607005       2.0000000       2.3000000
   29     140.7124700       0.0135346     200.0000000       0.7804080       1.5109930       2.0000000       2.3000000
   30     140.7124700       0.0191181     200.0000000       0.8246455       1.4509504       2.0000000       2.3000000
   31     140.7124700       0.0270050     200.0000000       0.8424810       1.3934696       2.0000000       2.3000000
   32     140.7124700       0.0381456     200.0000000       0.8443583       1.3762073       2.0000000       2.3000000
   33     140.7124700       0.0538820     200.0000000       0.8373034       1.4170514       2.0000000       2.3000000
   34     140.7124700       0.0761104     200.0000000       0.8187125       1.5541747       2.0000000       2.3000000
   35     140.7124700       0.1075090     200.0000000       0.7784503       1.5732907       2.0000000       2.3000000
   36     140.7124700       0.1518600     200.0000000       0.7053877       1.6529486       2.0000000       2.3000000
   37     140.7124700       0.2145080     200.0000000       0.5883959       1.7931648       2.0000000       2.3000000
   38     140.7124700       0.3030010     200.0000000       0.4306975       2.0080409       2.0000000       2.3000000
   39     140.7124700       0.4280000     200.0000000       0.2447988       2.7524089       2.0000000       2.3000000
   40     140.7124700       0.6045670     200.0000000       0.0765251       4.8224233       2.0000000       2.3000000
   41     140.7124700       0.8539730     200.0000000       0.0074881      18.2574290       2.0000000       2.3000000
   42     140.7124700       0.0270050     400.0000000       0.7237593       1.6736552       2.0000000       2.3000000
   43     140.7124700       0.0381456     400.0000000       0.7798704       1.5448710       2.0000000       2.3000000
   44     140.7124700       0.0538820     400.0000000       0.7865281       1.5339232       2.0000000       2.3000000
   45     140.7124700       0.0761104     400.0000000       0.7483168       1.6095600       2.0000000       2.3000000
   46     140.7124700       0.1075090     400.0000000       0.6908173       1.6831129       2.0000000       2.3000000
   47     140.7124700       0.1518600     400.0000000       0.6289773       1.7355288       2.0000000       2.3000000
   48     140.7124700       0.2145080     400.0000000       0.5493335       1.9069329       2.0000000       2.3000000
   49     140.7124700       0.3030010     400.0000000       0.4287196       2.1926474       2.0000000       2.3000000
   50     140.7124700       0.4280000     400.0000000       0.2555986       2.9748175       2.0000000       2.3000000
   51     140.7124700       0.6045670     400.0000000       0.0805473       5.4232726       2.0000000       2.3000000
   52     140.7124700       0.8539730     400.0000000       0.0073782      31.6227766       2.0000000       2.3000000
   53     140.7124700       0.0538820     700.0000000       0.6594115       1.8257435       2.0000000       2.3000000
   54     140.7124700       0.0761104     700.0000000       0.6578483       1.8764651       2.0000000       2.3000000
   55     140.7124700       0.1075090     700.0000000       0.6488895       1.8537597       2.0000000       2.3000000
   56     140.7124700       0.1518600     700.0000000       0.6248447       1.9316621       2.0000000       2.3000000
   57     140.7124700       0.2145080     700.0000000       0.5584143       2.0244419       2.0000000       2.3000000
   58     140.7124700       0.3030010     700.0000000       0.4281770       2.5318479       2.0000000       2.3000000
   59     140.7124700       0.4280000     700.0000000       0.2401110       3.1158824       2.0000000       2.3000000
   60     140.7124700       0.6045670     700.0000000       0.0685748       6.0857775       2.0000000       2.3000000
   61     140.7124700       0.8539730     700.0000000       0.0036318      31.6227766       2.0000000       2.3000000
   62     140.7124700       0.0761104    1000.0000000       0.6106492       1.9536605       2.0000000       2.3000000
   63     140.7124700       0.1075090    1000.0000000       0.6229412       1.8898241       2.0000000       2.3000000
   64     140.7124700       0.1518600    1000.0000000       0.6132582       1.9960172       2.0000000       2.3000000
   65     140.7124700       0.2145080    1000.0000000       0.5497060       2.0000050       2.0000000       2.3000000
   66     140.7124700       0.3030010    1000.0000000       0.4164606       2.4845176       2.0000000       2.3000000
   67     140.7124700       0.4280000    1000.0000000       0.2291607       3.5355281       2.0000000       2.3000000
