,rs,x,Q2,sigma,stat_u(%),syst_u(%),norm_c(%),sigma (unshifted),0.21882890340205
0,140.712472794703,0.000129,1.29,0,0.002153511086575,1.5,2.5,0,
1,140.712472794703,0.000205,1.29,0,0.00206812958975,1.5,2.5,0,
2,140.712472794703,0.000205,2.05,0,0.002656313234541,1.5,2.5,0,
3,140.712472794703,0.000325,1.29,0,0.002045993646129,1.5,2.5,0,
4,140.712472794703,0.000325,2.05,0,0.002561444904736,1.5,2.5,0,
5,140.712472794703,0.000325,3.25,0.716132083355809,0.00319390043677,1.5,2.5,0.711276769638062,
6,140.712472794703,0.000515,1.29,0,0.00206180503443,1.5,2.5,0,
7,140.712472794703,0.000515,2.05,0,0.002539308961115,1.5,2.5,0,
8,140.712472794703,0.000515,3.25,0.663862760290526,0.003076896163344,1.5,2.5,0.666105508804321,
9,140.712472794703,0.000515,5.15,0.791881397473214,0.003857978745405,1.5,2.5,0.789248585700989,
10,140.712472794703,0.000815,1.29,0,0.002102914644012,1.5,2.5,0,
11,140.712472794703,0.000815,2.05,0,0.002564607182397,1.5,2.5,0,
12,140.712472794703,0.000815,3.25,0.61871123814939,0.003045273386742,1.5,2.5,0.617231011390686,
13,140.712472794703,0.000815,5.15,0.737242570749765,0.003731487638999,1.5,2.5,0.738333106040955,
14,140.712472794703,0.000815,8.15,0.843745776598645,0.004743416490253,1.5,2.5,0.848805010318756,
15,140.712472794703,0.00129,1.29,0,0.002162997919555,1.5,2.5,0,
16,140.712472794703,0.00129,2.05,0,0.00262469045794,1.5,2.5,0,
17,140.712472794703,0.00129,3.25,0.578275580638957,0.003076896163344,1.5,2.5,0.570559561252594,
18,140.712472794703,0.00129,5.15,0.694665939407258,0.003699864862397,1.5,2.5,0.679892182350159,
19,140.712472794703,0.00129,8.15,0.780287191129824,0.004585302607244,1.5,2.5,0.789735436439514,
20,140.712472794703,0.00129,12.9,0.897016338168976,0.005881836447913,1.5,2.5,0.888521671295166,
21,140.712472794703,0.00205,1.29,0,0.002235730305739,1.5,2.5,0,
22,140.712472794703,0.00205,2.05,0,0.002697422844124,1.5,2.5,0,
23,140.712472794703,0.00205,3.25,0.528066833093657,0.003146466271868,1.5,2.5,0.523014962673187,
24,140.712472794703,0.00205,5.15,0.630162409491503,0.0037631104156,1.5,2.5,0.619064390659332,
