,rs,x,Q2,sigma,stat_u(%),syst_u(%),norm_c(%),sigma (unshifted),-0.716289214236868
222,44.7213595499958,0.00129,1.29,0,0.002672124622842,2.3,4.3,0,
223,44.7213595499958,0.00205,1.29,0,0.002558282627076,2.3,4.3,0,
224,44.7213595499958,0.00205,2.05,0,0.003352014319778,2.3,4.3,0,
225,44.7213595499958,0.00325,1.29,0,0.002514010739834,2.3,4.3,0,
226,44.7213595499958,0.00325,2.05,0,0.00319390043677,2.3,4.3,0,
227,44.7213595499958,0.00325,3.25,0.441992629624549,0.004016092628414,2.3,4.3,0.464260131120682,
228,44.7213595499958,0.00515,1.29,0,0.002514010739834,2.3,4.3,0,
229,44.7213595499958,0.00515,2.05,0,0.003127492605907,2.3,4.3,0,
230,44.7213595499958,0.00515,3.25,0.435322386693533,0.003826355968804,2.3,4.3,0.442152619361877,
231,44.7213595499958,0.00515,5.15,0.467492504058733,0.004901530373261,2.3,4.3,0.495642364025116,
232,44.7213595499958,0.00815,1.29,0,0.002536146683455,2.3,4.3,0,
233,44.7213595499958,0.00815,2.05,0,0.003124330328246,2.3,4.3,0,
234,44.7213595499958,0.00815,3.25,0.418445853512693,0.0037631104156,2.3,4.3,0.418596804141998,
235,44.7213595499958,0.00815,5.15,0.454727472144733,0.004711793713651,2.3,4.3,0.470902591943741,
236,44.7213595499958,0.00815,8.15,0.48656050788432,0.006103195884125,2.3,4.3,0.513618767261505,
237,44.7213595499958,0.0129,1.29,0,0.002570931737717,2.3,4.3,0,
238,44.7213595499958,0.0129,2.05,0,0.003152790827188,2.3,4.3,0,
239,44.7213595499958,0.0129,3.25,0.384862329240467,0.0037631104156,2.3,4.3,0.396525919437408,
240,44.7213595499958,0.0129,5.15,0.431998331528199,0.004616925383846,2.3,4.3,0.441561341285706,
241,44.7213595499958,0.0129,8.15,0.470574096366534,0.005881836447913,2.3,4.3,0.483617812395096,
242,44.7213595499958,0.0129,12.9,0.501521901400846,0.007747580267413,2.3,4.3,0.516259789466858,
243,44.7213595499958,0.0205,1.29,0,0.002615203624959,2.3,4.3,0,
244,44.7213595499958,0.0205,2.05,0,0.00319390043677,2.3,4.3,0,
245,44.7213595499958,0.0205,3.25,0.361876152684976,0.003794733192202,2.3,4.3,0.381467312574387,
246,44.7213595499958,0.0205,5.15,0.398184779316189,0.004616925383846,2.3,4.3,0.416814655065537,
247,44.7213595499958,0.0205,8.15,0.434917288151505,0.005786968118108,2.3,4.3,0.450889497995377,
248,44.7213595499958,0.0205,12.9,0.47883750874654,0.007494598054599,2.3,4.3,0.482172578573227,
249,44.7213595499958,0.0205,20.5,0.47650240251069,0.009992797406132,2.3,4.3,0.50504744052887,
250,44.7213595499958,0.0325,1.29,0,0.002662637789862,2.3,4.3,0,
251,44.7213595499958,0.0325,2.05,0,0.003225523213372,2.3,4.3,0,
252,44.7213595499958,0.0325,3.25,0.353929304523289,0.003826355968804,2.3,4.3,0.372328102588654,
253,44.7213595499958,0.0325,5.15,0.390177076007063,0.004680170937049,2.3,4.3,0.397666275501251,
254,44.7213595499958,0.0325,8.15,0.415795658585241,0.00581859089471,2.3,4.3,0.422624289989471,
255,44.7213595499958,0.0325,12.9,0.432057827875901,0.007399729724794,2.3,4.3,0.446432024240494,
256,44.7213595499958,0.0325,20.5,0.439169333456523,0.009644946863514,2.3,4.3,0.467625051736832,
257,44.7213595499958,0.0325,32.5,0.461272243404037,0.012933715630089,2.3,4.3,0.481159657239914,
258,44.7213595499958,0.0515,2.05,0,0.003257145989973,2.3,4.3,0,
259,44.7213595499958,0.0515,3.25,0.360154865301433,0.003889601522007,2.3,4.3,0.363342851400375,
260,44.7213595499958,0.0515,5.15,0.374768296630975,0.004775039266854,2.3,4.3,0.381689786911011,
261,44.7213595499958,0.0515,8.15,0.389655302860986,0.005913459224515,2.3,4.3,0.399353742599487,
262,44.7213595499958,0.0515,12.9,0.411229765088781,0.007431352501396,2.3,4.3,0.415522009134293,
263,44.7213595499958,0.0515,20.5,0.399779093953821,0.00958170131031,2.3,4.3,0.430204212665558,
264,44.7213595499958,0.0515,32.5,0.431300227535884,0.012649110640674,2.3,4.3,0.442071676254272,
265,44.7213595499958,0.0515,51.5,0.456661612477624,0.017107922141511,2.3,4.3,0.448780626058579,
266,44.7213595499958,0.0815,3.25,0.341976075546413,0.003984469851812,2.3,4.3,0.360178381204605,
267,44.7213595499958,0.0815,5.15,0.353741915785802,0.004869907596659,2.3,4.3,0.37070706486702,
268,44.7213595499958,0.0815,8.15,0.373999017227265,0.006039950330922,2.3,4.3,0.38010036945343,
269,44.7213595499958,0.0815,12.9,0.378509941579511,0.007589466384404,2.3,4.3,0.388670206069946,
270,44.7213595499958,0.0815,20.5,0.372058961815997,0.009644946863514,2.3,4.3,0.396268844604492,
271,44.7213595499958,0.0815,32.5,0.406475087809171,0.012554242310869,2.3,4.3,0.402561753988266,
272,44.7213595499958,0.0815,51.5,0.384316403894314,0.016696826045689,2.3,4.3,0.407258301973343,
273,44.7213595499958,0.0815,81.5,0.398507884756785,0.022768399153212,2.3,4.3,0.408882647752762,
274,44.7213595499958,0.129,5.15,0.350826707445938,0.004996398703066,2.3,4.3,0.363955199718475,
275,44.7213595499958,0.129,8.15,0.365349388691119,0.00619806421393,2.3,4.3,0.365729302167892,
276,44.7213595499958,0.129,12.9,0.35743719348982,0.007810825820616,2.3,4.3,0.366905927658081,
277,44.7213595499958,0.129,20.5,0.348929365804103,0.009897929076327,2.3,4.3,0.367504119873047,
278,44.7213595499958,0.129,32.5,0.362054027064857,0.01277560174708,2.3,4.3,0.367674797773361,
279,44.7213595499958,0.129,51.5,0.363244646370363,0.016728448822291,2.3,4.3,0.367348253726959,
280,44.7213595499958,0.129,81.5,0.33798474403821,0.022547039717001,2.3,4.3,0.366458773612976,
281,44.7213595499958,0.129,129,0.348386830362796,0.030326242761015,2.3,4.3,0.364596337080002,
282,44.7213595499958,0.205,8.15,0.326982693520781,0.006545914756549,2.3,4.3,0.337485879659653,
283,44.7213595499958,0.205,12.9,0.326086662636589,0.008221921916438,2.3,4.3,0.332120180130005,
284,44.7213595499958,0.205,20.5,0.32629513436682,0.010530384608361,2.3,4.3,0.326595276594162,
285,44.7213595499958,0.205,32.5,0.307018350556346,0.013534548385521,2.3,4.3,0.321018576622009,
286,44.7213595499958,0.205,51.5,0.298527015223246,0.017550641013935,2.3,4.3,0.315659135580063,
287,44.7213595499958,0.205,81.5,0.303765361221862,0.023211118025636,2.3,4.3,0.31055611371994,
288,44.7213595499958,0.205,129,0.296521723174532,0.030895452739845,2.3,4.3,0.305880516767502,
289,44.7213595499958,0.205,205,0.291909214972709,0.042374520646256,2.3,4.3,0.301947683095932,
290,44.7213595499958,0.325,12.9,0.248340772602063,0.009550078533709,2.3,4.3,0.254119277000427,
291,44.7213595499958,0.325,20.5,0.236054324205575,0.012143146215047,2.3,4.3,0.243733808398247,
292,44.7213595499958,0.325,32.5,0.228749180464388,0.015684897194435,2.3,4.3,0.234185695648193,
293,44.7213595499958,0.325,51.5,0.216897303341276,0.020365068131484,2.3,4.3,0.225249156355858,
294,44.7213595499958,0.325,81.5,0.204598745607543,0.026594755122016,2.3,4.3,0.217213168740272,
295,44.7213595499958,0.325,129,0.198267871097364,0.035417509793886,2.3,4.3,0.20997716486454,
296,44.7213595499958,0.325,205,0.202691096122696,0.048382848200576,2.3,4.3,0.20380212366581,
297,44.7213595499958,0.325,325,0.192351793764909,0.065775375331502,2.3,4.3,0.199507251381874,
298,44.7213595499958,0.515,20.5,0.1062838899032,0.018056605439562,2.3,4.3,0.107381254434586,
299,44.7213595499958,0.515,32.5,0.094448313298872,0.023242740802238,2.3,4.3,0.099165700376034,
300,44.7213595499958,0.515,51.5,0.089289150776158,0.030357865537617,2.3,4.3,0.091967061161995,
301,44.7213595499958,0.515,81.5,0.082540531348298,0.040477154050155,2.3,4.3,0.085698403418064,
302,44.7213595499958,0.515,129,0.079393927801412,0.051861353626762,2.3,4.3,0.080205276608467,
303,44.7213595499958,0.515,205,0.070497473289046,0.070518791821755,2.3,4.3,0.075503423810005,
304,44.7213595499958,0.515,325,0.067503363766017,0.096133240869119,2.3,4.3,0.071731813251972,
305,44.7213595499958,0.515,515,0.066131682456659,0.138191533749358,2.3,4.3,0.069270886480808,
306,44.7213595499958,0.815,32.5,0.006524298611383,0.073364841715906,2.3,4.3,0.006674272939563,
307,44.7213595499958,0.815,51.5,0.005524316578133,0.093919646507001,2.3,4.3,0.0056058363989,
308,44.7213595499958,0.815,81.5,0.004817548051685,0.12301260098055,2.3,4.3,0.004814907442778,
309,44.7213595499958,0.815,129,0.004141271963459,0.163489755030705,2.3,4.3,0.004204283934087,
310,44.7213595499958,0.815,205,0.00351500672863,0.228948902596191,2.3,4.3,0.003720817621797,
311,44.7213595499958,0.815,325,0.003287080036662,0.30199751654608,2.3,4.3,0.003343686228618,
312,44.7213595499958,0.815,515,0.002887583138241,0.455367983064247,2.3,4.3,0.003060434944928,
313,44.7213595499958,0.815,815,0.002689930870619,0.622968699053171,2.3,4.3,0.002897090045735,
