    i          rs           x          Q2       sigma        stat        syst        norm
   61     140.7124700       0.8539730     700.0000000       0.0064321      31.6227766       2.0000000       5.8000000
   62     140.7124700       0.0761104    1000.0000000       0.6466519       1.9536605       2.0000000       5.8000000
   63     140.7124700       0.1075090    1000.0000000       0.6917491       1.8898241       2.0000000       5.8000000
   64     140.7124700       0.1518600    1000.0000000       0.6673505       1.9960172       2.0000000       5.8000000
   65     140.7124700       0.2145080    1000.0000000       0.5567212       2.0000050       2.0000000       5.8000000
   66     140.7124700       0.3030010    1000.0000000       0.3840324       2.4845176       2.0000000       5.8000000
   67     140.7124700       0.4280000    1000.0000000       0.2016091       3.5355281       2.0000000       5.8000000
   68     140.7124700       0.6045670    1000.0000000       0.0612144       7.6696394       2.0000000       5.8000000
   69     140.7124700       0.8539730    1000.0000000       0.0060470      31.6227766       2.0000000       5.8000000
   70     140.7124700       0.1075090    1400.0000000       0.6290931       0.6819948       2.0000000       5.8000000
   71     140.7124700       0.1518600    1400.0000000       0.6427915       0.6920455       2.0000000       5.8000000
   72     140.7124700       0.2145080    1400.0000000       0.5642982       0.7324517       2.0000000       5.8000000
   73     140.7124700       0.3030010    1400.0000000       0.3984014       0.8690715       2.0000000       5.8000000
   74     140.7124700       0.4280000    1400.0000000       0.2028824       1.1455742       2.0000000       5.8000000
   75     140.7124700       0.6045670    1400.0000000       0.0558810       2.2304976       2.0000000       5.8000000
   76     140.7124700       0.8539730    1400.0000000       0.0044882      10.5409187       2.0000000       5.8000000
   77     140.7124700       0.2145080    3000.0000000       0.4713246       0.9386455       2.0000000       5.8000000
   78     140.7124700       0.3030010    3000.0000000       0.3856686       1.0617891       2.0000000       5.8000000
   79     140.7124700       0.4280000    3000.0000000       0.2192740       1.4271173       2.0000000       5.8000000
   80     140.7124700       0.6045670    3000.0000000       0.0594656       2.7317948       2.0000000       5.8000000
   81     140.7124700       0.8539730    3000.0000000       0.0034368      10.5409187       2.0000000       5.8000000
   82     140.7124700       0.3030010    5000.0000000       0.3190474       1.1138632       2.0000000       5.8000000
   83     140.7124700       0.4280000    5000.0000000       0.1697129       1.2422532       2.0000000       5.8000000
   84     140.7124700       0.6045670    5000.0000000       0.0499637       2.6444276       2.0000000       5.8000000
   85     140.7124700       0.8539730    5000.0000000       0.0035524      15.8113883       2.0000000       5.8000000
   86     140.7124700       0.4280000    9000.0000000       0.1950891       2.5819875       2.0000000       5.8000000
   87     140.7124700       0.6045670    9000.0000000       0.0532265       1.6158498       2.0000000       5.8000000
   88     140.7124700       0.8539730    9000.0000000       0.0026121       6.9006615       2.0000000       5.8000000
