    i          rs           x          Q2       sigma        stat        syst        norm
  368      44.7213595       0.1290000      20.5000000       0.3810760       0.0098979       1.5000000       2.5000000
  369      44.7213595       0.1290000      32.5000000       0.3816426       0.0127756       1.5000000       2.5000000
  370      44.7213595       0.1290000      51.5000000       0.3726163       0.0167284       1.5000000       2.5000000
  371      44.7213595       0.1290000      81.5000000       0.3595489       0.0225470       1.5000000       2.5000000
  372      44.7213595       0.1290000     129.0000000       0.3500924       0.0303262       1.5000000       2.5000000
  373      44.7213595       0.2050000       1.2900000       0.0000000       0.0031939       2.5000000       2.5000000
  374      44.7213595       0.2050000       2.0500000       0.0000000       0.0035734       2.5000000       2.5000000
  375      44.7213595       0.2050000       3.2500000       0.3530954       0.0042691       2.5000000       2.5000000
  376      44.7213595       0.2050000       5.1500000       0.3559316       0.0052810       1.5000000       2.5000000
  377      44.7213595       0.2050000       8.1500000       0.3479499       0.0065459       1.5000000       2.5000000
  378      44.7213595       0.2050000      12.9000000       0.3324701       0.0082219       1.5000000       2.5000000
  379      44.7213595       0.2050000      20.5000000       0.3168849       0.0105304       1.5000000       2.5000000
  380      44.7213595       0.2050000      32.5000000       0.3078139       0.0135345       1.5000000       2.5000000
  381      44.7213595       0.2050000      51.5000000       0.3074441       0.0175506       1.5000000       2.5000000
  382      44.7213595       0.2050000      81.5000000       0.3122720       0.0232111       1.5000000       2.5000000
  383      44.7213595       0.2050000     129.0000000       0.3161110       0.0308955       1.5000000       2.5000000
  384      44.7213595       0.2050000     205.0000000       0.3140266       0.0423745       1.5000000       2.5000000
  385      44.7213595       0.3250000       1.2900000       0.0000000       0.0065775       2.5000000       2.5000000
  386      44.7213595       0.3250000       2.0500000       0.0000000       0.0044272       2.5000000       2.5000000
  387      44.7213595       0.3250000       3.2500000       0.2766603       0.0049332       2.5000000       2.5000000
  388      44.7213595       0.3250000       5.1500000       0.2658048       0.0060400       2.5000000       2.5000000
  389      44.7213595       0.3250000       8.1500000       0.2609544       0.0075578       1.5000000       2.5000000
  390      44.7213595       0.3250000      12.9000000       0.2587545       0.0095501       1.5000000       2.5000000
  391      44.7213595       0.3250000      20.5000000       0.2532990       0.0121431       1.5000000       2.5000000
  392      44.7213595       0.3250000      32.5000000       0.2423989       0.0156849       1.5000000       2.5000000
  393      44.7213595       0.3250000      51.5000000       0.2270520       0.0203651       1.5000000       2.5000000
  394      44.7213595       0.3250000      81.5000000       0.2118994       0.0265948       1.5000000       2.5000000
  395      44.7213595       0.3250000     129.0000000       0.2013718       0.0354175       1.5000000       2.5000000
  396      44.7213595       0.3250000     205.0000000       0.1974842       0.0483828       1.5000000       2.5000000
  397      44.7213595       0.3250000     325.0000000       0.1992382       0.0657754       1.5000000       2.5000000
  398      44.7213595       0.5150000       2.0500000       0.0000000       0.0228316       2.5000000       2.5000000
  399      44.7213595       0.5150000       3.2500000       0.1612771       0.0092339       2.5000000       2.5000000
  400      44.7213595       0.5150000       5.1500000       0.1454134       0.0091706       2.5000000       2.5000000
  401      44.7213595       0.5150000       8.1500000       0.1282526       0.0110996       2.5000000       2.5000000
  402      44.7213595       0.5150000      12.9000000       0.1128901       0.0141354       1.5000000       2.5000000
  403      44.7213595       0.5150000      20.5000000       0.1030662       0.0180566       1.5000000       2.5000000
