,rs,x,Q2,sigma,stat_u(%),syst_u(%),norm_c(%),sigma(unshifted),0.448565606868698
0,140.71247,0.00678335,110,0.817053400379127,1.49071276936019,2,2.3,0.800980746746063,
1,140.71247,0.00958173,110,0.887719500177574,1.35581589858954,2,2.3,0.895060420036316,
2,140.71247,0.0135346,110,0.970555670257247,1.38542202369002,2,2.3,0.961216449737549,
3,140.71247,0.0191181,110,0.970987159358503,1.35209433024966,2,2.3,0.984118402004242,
4,140.71247,0.027005,110,0.974975186903301,1.36335190503605,2,2.3,0.971354067325592,
5,140.71247,0.0381456,110,0.885436798998592,1.35208977235486,2,2.3,0.93487274646759,
6,140.71247,0.053882,110,0.894989646620738,1.43149354250742,2,2.3,0.883077383041382,
7,140.71247,0.0761104,110,0.827919848181211,1.41847724618247,2,2.3,0.824419379234314,
8,140.71247,0.107509,110,0.773078067479495,1.51619398751073,2,2.3,0.763988435268402,
9,140.71247,0.15186,110,0.711677093866357,1.58709593153032,2,2.3,0.696017146110535,
10,140.71247,0.214508,110,0.592686762610853,1.68550677853658,2,2.3,0.600729823112488,
11,140.71247,0.303001,110,0.475263116447154,1.95365662931368,2,2.3,0.462367743253708,
12,140.71247,0.428,110,0.303666270290168,2.5400005977408,2,2.3,0.277133494615555,
13,140.71247,0.604567,110,0.10527523887819,6.90062102402926,2,2.3,0.090576894581318,
14,140.71247,0.853973,110,0.009543389870121,22.3607004541932,2,2.3,0.009164803661406,
15,140.71247,0.00958173,130,0.829747831930363,1.37882030955849,2,2.3,0.83197557926178,
16,140.71247,0.0135346,130,0.898775135085144,1.36082715982124,2,2.3,0.910377144813538,
17,140.71247,0.0191181,130,0.901426980068089,1.39754355049348,2,2.3,0.949637532234192,
18,140.71247,0.027005,130,0.979299967944555,1.32920842567713,2,2.3,0.950252771377564,
19,140.71247,0.0381456,130,0.942681069669865,1.3620909855787,2,2.3,0.922793030738831,
20,140.71247,0.053882,130,0.884819718365477,1.40028152968984,2,2.3,0.876313626766205,
