    i          rs           x          Q2       sigma        stat        syst        norm
    0 140.7124700   0.0067833 110.0000000   0.7586678   4.7140477   2.0000000   5.8000000
    1 140.7124700   0.0095817 110.0000000   0.9090298   4.2874663   2.0000000   5.8000000
    2 140.7124700   0.0135346 110.0000000   1.0333183   4.3810891   2.0000000   5.8000000
    3 140.7124700   0.0191181 110.0000000   1.0668820   4.2756977   2.0000000   5.8000000
    4 140.7124700   0.0270050 110.0000000   1.0123922   4.3112973   2.0000000   5.8000000
    5 140.7124700   0.0381456 110.0000000   0.9107398   4.2756833   2.0000000   5.8000000
    6 140.7124700   0.0538820 110.0000000   0.8110289   4.5267801   2.0000000   5.8000000
    7 140.7124700   0.0761104 110.0000000   0.7542895   4.4856189   2.0000000   5.8000000
    8 140.7124700   0.1075090 110.0000000   0.7436548   4.7946264   2.0000000   5.8000000
    9 140.7124700   0.1518600 110.0000000   0.7309667   5.0188380   2.0000000   5.8000000
   10 140.7124700   0.2145080 110.0000000   0.6533583   5.3300404   2.0000000   5.8000000
   11 140.7124700   0.3030010 110.0000000   0.4887693   6.1780047   2.0000000   5.8000000
   12 140.7124700   0.4280000 110.0000000   0.2693659   8.0321871   2.0000000   5.8000000
   13 140.7124700   0.6045670 110.0000000   0.0777173  21.8216797   2.0000000   5.8000000
   14 140.7124700   0.8539730 110.0000000   0.0099141  70.7107435   2.0000000   5.8000000
   15 140.7124700   0.0095817 130.0000000   0.7751969   4.3602127   2.0000000   5.8000000
   16 140.7124700   0.0135346 130.0000000   0.9098758   4.3033133   2.0000000   5.8000000
   17 140.7124700   0.0191181 130.0000000   1.0128324   4.4194207   2.0000000   5.8000000
   18 140.7124700   0.0270050 130.0000000   1.0335146   4.2033261   2.0000000   5.8000000
   19 140.7124700   0.0381456 130.0000000   0.9724964   4.3073099   2.0000000   5.8000000
   20 140.7124700   0.0538820 130.0000000   0.8652086   4.4280790   2.0000000   5.8000000
   21 140.7124700   0.0761104 130.0000000   0.7593898   4.5548766   2.0000000   5.8000000
   22 140.7124700   0.1075090 130.0000000   0.6933349   4.6373940   2.0000000   5.8000000
   23 140.7124700   0.1518600 130.0000000   0.6660658   4.9751764   2.0000000   5.8000000
   24 140.7124700   0.2145080 130.0000000   0.6204695   5.4473261   2.0000000   5.8000000
   25 140.7124700   0.3030010 130.0000000   0.4947242   6.1898519   2.0000000   5.8000000
   26 140.7124700   0.4280000 130.0000000   0.2823004   8.7705937   2.0000000   5.8000000
   27 140.7124700   0.6045670 130.0000000   0.0787034  16.6666858   2.0000000   5.8000000
   28 140.7124700   0.8539730 130.0000000   0.0049761  70.7107435   2.0000000   5.8000000
   29 140.7124700   0.0135346 200.0000000   0.6997866   4.7781794   2.0000000   5.8000000
   30 140.7124700   0.0191181 200.0000000   0.7708621   4.5883082   2.0000000   5.8000000
   31 140.7124700   0.0270050 200.0000000   0.8600352   4.4065377   2.0000000   5.8000000
   32 140.7124700   0.0381456 200.0000000   0.9242702   4.3519497   2.0000000   5.8000000
   33 140.7124700   0.0538820 200.0000000   0.9222950   4.4811101   2.0000000   5.8000000
   34 140.7124700   0.0761104 200.0000000   0.8499113   4.9147319   2.0000000   5.8000000
   35 140.7124700   0.1075090 200.0000000   0.7460741   4.9751820   2.0000000   5.8000000
