    i          rs           x          Q2       sigma        stat        syst        norm
  187  63.2455532   0.3250000  32.5000000   0.2353665   0.0488000   2.3000000   4.3000000
  188  63.2455532   0.3250000  51.5000000   0.2136201   0.0630000   2.3000000   4.3000000
  189  63.2455532   0.3250000  81.5000000   0.2012081   0.0828000   2.3000000   4.3000000
  190  63.2455532   0.3250000 129.0000000   0.1994700   0.1070000   2.3000000   4.3000000
  191  63.2455532   0.3250000 205.0000000   0.2045116   0.1410000   2.3000000   4.3000000
  192  63.2455532   0.3250000 325.0000000   0.2097845   0.1900000   2.3000000   4.3000000
  193  63.2455532   0.3250000 515.0000000   0.2096795   0.2550000   2.3000000   4.3000000
  194  63.2455532   0.5150000  51.5000000   0.0957541   0.0962000   2.3000000   4.3000000
  195  63.2455532   0.5150000  81.5000000   0.0839625   0.1190000   2.3000000   4.3000000
  196  63.2455532   0.5150000 129.0000000   0.0748441   0.1590000   2.3000000   4.3000000
  197  63.2455532   0.5150000 205.0000000   0.0700867   0.2080000   2.3000000   4.3000000
  198  63.2455532   0.5150000 325.0000000   0.0691198   0.2970000   2.3000000   4.3000000
  199  63.2455532   0.5150000 515.0000000   0.0700831   0.3630000   2.3000000   4.3000000
  200  63.2455532   0.8150000  81.5000000   0.0051966   0.4100000   2.3000000   4.3000000
