    i          rs           x          Q2       sigma        stat        syst        norm
    0 140.7124700   0.0067833 110.0000000   0.7919328   4.7140477   2.0000000   2.3000000
    1 140.7124700   0.0095817 110.0000000   0.8980433   4.2874663   2.0000000   2.3000000
    2 140.7124700   0.0135346 110.0000000   0.9812401   4.3810891   2.0000000   2.3000000
    3 140.7124700   0.0191181 110.0000000   1.0074897   4.2756977   2.0000000   2.3000000
    4 140.7124700   0.0270050 110.0000000   0.9830088   4.3112973   2.0000000   2.3000000
    5 140.7124700   0.0381456 110.0000000   0.9294496   4.2756833   2.0000000   2.3000000
    6 140.7124700   0.0538820 110.0000000   0.8649111   4.5267801   2.0000000   2.3000000
    7 140.7124700   0.0761104 110.0000000   0.8069619   4.4856189   2.0000000   2.3000000
    8 140.7124700   0.1075090 110.0000000   0.7597232   4.7946264   2.0000000   2.3000000
    9 140.7124700   0.1518600 110.0000000   0.7096436   5.0188380   2.0000000   2.3000000
   10 140.7124700   0.2145080 110.0000000   0.6209423   5.3300404   2.0000000   2.3000000
   11 140.7124700   0.3030010 110.0000000   0.4712309   6.1780047   2.0000000   2.3000000
   12 140.7124700   0.4280000 110.0000000   0.2678892   8.0321871   2.0000000   2.3000000
   13 140.7124700   0.6045670 110.0000000   0.0735589  21.8216797   2.0000000   2.3000000
   14 140.7124700   0.8539730 110.0000000   0.0061222  70.7107435   2.0000000   2.3000000
   15 140.7124700   0.0095817 130.0000000   0.8184857   4.3602127   2.0000000   2.3000000
   16 140.7124700   0.0135346 130.0000000   0.9092741   4.3033133   2.0000000   2.3000000
   17 140.7124700   0.0191181 130.0000000   0.9672092   4.4194207   2.0000000   2.3000000
   18 140.7124700   0.0270050 130.0000000   0.9736247   4.2033261   2.0000000   2.3000000
   19 140.7124700   0.0381456 130.0000000   0.9368171   4.3073099   2.0000000   2.3000000
   20 140.7124700   0.0538820 130.0000000   0.8730876   4.4280790   2.0000000   2.3000000
   21 140.7124700   0.0761104 130.0000000   0.8041260   4.5548766   2.0000000   2.3000000
   22 140.7124700   0.1075090 130.0000000   0.7438759   4.6373940   2.0000000   2.3000000
   23 140.7124700   0.1518600 130.0000000   0.6876741   4.9751764   2.0000000   2.3000000
   24 140.7124700   0.2145080 130.0000000   0.6081892   5.4473261   2.0000000   2.3000000
   25 140.7124700   0.3030010 130.0000000   0.4737972   6.1898519   2.0000000   2.3000000
   26 140.7124700   0.4280000 130.0000000   0.2766335   8.7705937   2.0000000   2.3000000
   27 140.7124700   0.6045670 130.0000000   0.0801867  16.6666858   2.0000000   2.3000000
   28 140.7124700   0.8539730 130.0000000   0.0029946  70.7107435   2.0000000   2.3000000
   29 140.7124700   0.0135346 200.0000000   0.7484335   4.7781794   2.0000000   2.3000000
   30 140.7124700   0.0191181 200.0000000   0.8193732   4.5883082   2.0000000   2.3000000
   31 140.7124700   0.0270050 200.0000000   0.8696744   4.4065377   2.0000000   2.3000000
   32 140.7124700   0.0381456 200.0000000   0.8884802   4.3519497   2.0000000   2.3000000
   33 140.7124700   0.0538820 200.0000000   0.8703559   4.4811101   2.0000000   2.3000000
   34 140.7124700   0.0761104 200.0000000   0.8162355   4.9147319   2.0000000   2.3000000
   35 140.7124700   0.1075090 200.0000000   0.7449728   4.9751820   2.0000000   2.3000000
   36 140.7124700   0.1518600 200.0000000   0.6666441   5.2270825   2.0000000   2.3000000
   37 140.7124700   0.2145080 200.0000000   0.5699721   5.6704849   2.0000000   2.3000000
   38 140.7124700   0.3030010 200.0000000   0.4401754   6.3499829   2.0000000   2.3000000
   39 140.7124700   0.4280000 200.0000000   0.2685385   8.7038811   2.0000000   2.3000000
   40 140.7124700   0.6045670 200.0000000   0.0899768  15.2498413   2.0000000   2.3000000
   41 140.7124700   0.8539730 200.0000000   0.0089671  57.7350600   2.0000000   2.3000000
   42 140.7124700   0.0270050 400.0000000   0.7069376   5.2925624   2.0000000   2.3000000
   43 140.7124700   0.0381456 400.0000000   0.7407191   4.8853111   2.0000000   2.3000000
   44 140.7124700   0.0538820 400.0000000   0.7496133   4.8506911   2.0000000   2.3000000
   45 140.7124700   0.0761104 400.0000000   0.7368657   5.0898755   2.0000000   2.3000000
   46 140.7124700   0.1075090 400.0000000   0.7146052   5.3224704   2.0000000   2.3000000
   47 140.7124700   0.1518600 400.0000000   0.6725957   5.4882238   2.0000000   2.3000000
   48 140.7124700   0.2145080 400.0000000   0.5832865   6.0302513   2.0000000   2.3000000
   49 140.7124700   0.3030010 400.0000000   0.4295013   6.9337598   2.0000000   2.3000000
   50 140.7124700   0.4280000 400.0000000   0.2314573   9.4071990   2.0000000   2.3000000
   51 140.7124700   0.6045670 400.0000000   0.0629461  17.1498939   2.0000000   2.3000000
   52 140.7124700   0.8539730 400.0000000   0.0033997 100.0000000   2.0000000   2.3000000
   53 140.7124700   0.0538820 700.0000000   0.6641821   5.7735078   2.0000000   2.3000000
   54 140.7124700   0.0761104 700.0000000   0.6962217   5.9339038   2.0000000   2.3000000
   55 140.7124700   0.1075090 700.0000000   0.6964234   5.8621029   2.0000000   2.3000000
   56 140.7124700   0.1518600 700.0000000   0.6514397   6.1084519   2.0000000   2.3000000
   57 140.7124700   0.2145080 700.0000000   0.5473853   6.4018472   2.0000000   2.3000000
   58 140.7124700   0.3030010 700.0000000   0.3902067   8.0064061   2.0000000   2.3000000
   59 140.7124700   0.4280000 700.0000000   0.2130516   9.8532852   2.0000000   2.3000000
   60 140.7124700   0.6045670 700.0000000   0.0636696  19.2449183   2.0000000   2.3000000
   61 140.7124700   0.8539730 700.0000000   0.0085450 100.0000000   2.0000000   2.3000000
   62 140.7124700   0.07611041000.0000000   0.6558851   6.1780169   2.0000000   2.3000000
   63 140.7124700   0.10750901000.0000000   0.6643436   5.9761485   2.0000000   2.3000000
   64 140.7124700   0.15186001000.0000000   0.6248386   6.3119605   2.0000000   2.3000000
   65 140.7124700   0.21450801000.0000000   0.5268935   6.3245711   2.0000000   2.3000000
   66 140.7124700   0.30300101000.0000000   0.3775330   7.8567344   2.0000000   2.3000000
   67 140.7124700   0.42800001000.0000000   0.2059483  11.1803215   2.0000000   2.3000000
   68 140.7124700   0.60456701000.0000000   0.0639149  24.2535295   2.0000000   2.3000000
   69 140.7124700   0.85397301000.0000000   0.0089024 100.0000000   2.0000000   2.3000000
   70 140.7124700   0.10750901400.0000000   0.6052008   2.1566568   2.0000000   2.3000000
   71 140.7124700   0.15186001400.0000000   0.5955120   2.1884399   2.0000000   2.3000000
   72 140.7124700   0.21450801400.0000000   0.5274723   2.3162158   2.0000000   2.3000000
   73 140.7124700   0.30300101400.0000000   0.3907219   2.7482453   2.0000000   2.3000000
   74 140.7124700   0.42800001400.0000000   0.2110794   3.6226238   2.0000000   2.3000000
   75 140.7124700   0.60456701400.0000000   0.0590943   7.0534528   2.0000000   2.3000000
   76 140.7124700   0.85397301400.0000000   0.0052487  33.3333117   2.0000000   2.3000000
   77 140.7124700   0.21450803000.0000000   0.4748063   2.9682578   2.0000000   2.3000000
   78 140.7124700   0.30300103000.0000000   0.3660138   3.3576721   2.0000000   2.3000000
   79 140.7124700   0.42800003000.0000000   0.2030915   4.5129411   2.0000000   2.3000000
   80 140.7124700   0.60456703000.0000000   0.0544452   8.6386935   2.0000000   2.3000000
   81 140.7124700   0.85397303000.0000000   0.0026825  33.3333117   2.0000000   2.3000000
   82 140.7124700   0.30300105000.0000000   0.3419614   3.5223448   2.0000000   2.3000000
   83 140.7124700   0.42800005000.0000000   0.1850946   3.9283494   2.0000000   2.3000000
   84 140.7124700   0.60456705000.0000000   0.0523969   8.3624145   2.0000000   2.3000000
   85 140.7124700   0.85397305000.0000000   0.0044474  50.0000000   2.0000000   2.3000000
   86 140.7124700   0.42800009000.0000000   0.1878419   8.1649612   2.0000000   2.3000000
   87 140.7124700   0.60456709000.0000000   0.0486710   5.1097656   2.0000000   2.3000000
   88 140.7124700   0.85397309000.0000000   0.0020062  21.8218078   2.0000000   2.3000000
