,rs,x,Q2,sigma,stat_u(%),syst_u(%),norm_c(%),sigma (unshifted),1.27822717446127
314,28.6356421265527,0.00325,1.29,0,0.00905,2.3,4.3,0,
315,28.6356421265527,0.00515,1.29,0,0.00864,2.3,4.3,0,
316,28.6356421265527,0.00515,2.05,0,0.0113,2.3,4.3,0,
317,28.6356421265527,0.00815,1.29,0,0.00845,2.3,4.3,0,
318,28.6356421265527,0.00815,2.05,0,0.0108,2.3,4.3,0,
319,28.6356421265527,0.00815,3.25,0.417017192982839,0.0136,2.3,4.3,0.403466582298279,
320,28.6356421265527,0.0129,1.29,0,0.00838,2.3,4.3,0,
321,28.6356421265527,0.0129,2.05,0,0.0105,2.3,4.3,0,
322,28.6356421265527,0.0129,3.25,0.413954193257988,0.0129,2.3,4.3,0.391586989164352,
323,28.6356421265527,0.0129,5.15,0.460933055828794,0.0167,2.3,4.3,0.425283253192902,
324,28.6356421265527,0.0205,1.29,0,0.00842,2.3,4.3,0,
325,28.6356421265527,0.0205,2.05,0,0.0104,2.3,4.3,0,
326,28.6356421265527,0.0205,3.25,0.404397533387009,0.0126,2.3,4.3,0.379819720983505,
327,28.6356421265527,0.0205,5.15,0.437198868214949,0.016,2.3,4.3,0.411803424358368,
328,28.6356421265527,0.0205,8.15,0.45198395950518,0.0209,2.3,4.3,0.436116337776184,
329,28.6356421265527,0.0325,1.29,0,0.0085,2.3,4.3,0,
330,28.6356421265527,0.0325,2.05,0,0.0104,2.3,4.3,0,
331,28.6356421265527,0.0325,3.25,0.394654464752512,0.0125,2.3,4.3,0.3718301653862,
332,28.6356421265527,0.0325,5.15,0.420650070862621,0.0156,2.3,4.3,0.396024316549301,
333,28.6356421265527,0.0325,8.15,0.442639992382507,0.02,2.3,4.3,0.418204426765442,
334,28.6356421265527,0.0325,12.9,0.460615411161646,0.0266,2.3,4.3,0.434071660041809,
335,28.6356421265527,0.0515,1.29,0,0.00859,2.3,4.3,0,
336,28.6356421265527,0.0515,2.05,0,0.0104,2.3,4.3,0,
337,28.6356421265527,0.0515,3.25,0.371504313643136,0.0126,2.3,4.3,0.362985640764236,
338,28.6356421265527,0.0515,5.15,0.405953390780282,0.0156,2.3,4.3,0.381075710058212,
339,28.6356421265527,0.0515,8.15,0.425386319860219,0.0197,2.3,4.3,0.39759236574173,
340,28.6356421265527,0.0515,12.9,0.44134620335318,0.0257,2.3,4.3,0.411749601364136,
341,28.6356421265527,0.0515,20.5,0.435261263881385,0.0345,2.3,4.3,0.420378416776657,
342,28.6356421265527,0.0815,1.29,0,0.00894,2.3,4.3,0,
343,28.6356421265527,0.0815,2.05,0,0.0105,2.3,4.3,0,
344,28.6356421265527,0.0815,3.25,0.386689825775473,0.0127,2.3,4.3,0.36059159040451,
345,28.6356421265527,0.0815,5.15,0.399050470389467,0.0157,2.3,4.3,0.370898693799973,
346,28.6356421265527,0.0815,8.15,0.389387510500069,0.0197,2.3,4.3,0.380010902881622,
347,28.6356421265527,0.0815,12.9,0.408831265829094,0.0253,2.3,4.3,0.387857288122177,
348,28.6356421265527,0.0815,20.5,0.409963496980366,0.0333,2.3,4.3,0.393841296434402,
349,28.6356421265527,0.0815,32.5,0.390082281246449,0.0451,2.3,4.3,0.395767480134964,
350,28.6356421265527,0.129,2.05,0,0.0108,2.3,4.3,0,
351,28.6356421265527,0.129,3.25,0.371947079735502,0.013,2.3,4.3,0.36062079668045,
352,28.6356421265527,0.129,5.15,0.38109373093558,0.0159,2.3,4.3,0.363864451646805,
353,28.6356421265527,0.129,8.15,0.402345517166429,0.02,2.3,4.3,0.365676373243332,
354,28.6356421265527,0.129,12.9,0.39489414731108,0.0254,2.3,4.3,0.36656054854393,
355,28.6356421265527,0.129,20.5,0.388508372347083,0.0331,2.3,4.3,0.366680413484573,
356,28.6356421265527,0.129,32.5,0.387479091079775,0.0439,2.3,4.3,0.365668267011642,
357,28.6356421265527,0.129,51.5,0.382314618581047,0.0599,2.3,4.3,0.362001240253448,
358,28.6356421265527,0.205,3.25,0.364702152985939,0.0136,2.3,4.3,0.346137911081314,
359,28.6356421265527,0.205,5.15,0.370122344180751,0.0168,2.3,4.3,0.342105180025101,
360,28.6356421265527,0.205,8.15,0.36515184096908,0.0209,2.3,4.3,0.337382555007935,
361,28.6356421265527,0.205,12.9,0.349860233037734,0.0266,2.3,4.3,0.331978112459183,
362,28.6356421265527,0.205,20.5,0.340491623869924,0.0344,2.3,4.3,0.32628807425499,
363,28.6356421265527,0.205,32.5,0.322442001922508,0.0449,2.3,4.3,0.320343852043152,
364,28.6356421265527,0.205,51.5,0.331664947015597,0.0603,2.3,4.3,0.313966155052185,
365,28.6356421265527,0.205,81.5,0.30031689480992,0.0827,2.3,4.3,0.306141704320908,
366,28.6356421265527,0.325,5.15,0.285587507012438,0.0191,2.3,4.3,0.276167631149292,
367,28.6356421265527,0.325,8.15,0.275855377437911,0.024,2.3,4.3,0.264801412820816,
368,28.6356421265527,0.325,12.9,0.268588547076031,0.0305,2.3,4.3,0.254138708114624,
369,28.6356421265527,0.325,20.5,0.253167341111839,0.0394,2.3,4.3,0.243651390075684,
370,28.6356421265527,0.325,32.5,0.245106953384825,0.0513,2.3,4.3,0.233978688716888,
371,28.6356421265527,0.325,51.5,0.227446543614698,0.0676,2.3,4.3,0.224753648042679,
372,28.6356421265527,0.325,81.5,0.240349458797107,0.0915,2.3,4.3,0.215891480445862,
373,28.6356421265527,0.325,129,0.214455452798055,0.125,2.3,4.3,0.206541687250137,
374,28.6356421265527,0.515,8.15,0.138711188547024,0.0352,2.3,4.3,0.128275945782661,
375,28.6356421265527,0.515,12.9,0.128205811219653,0.0448,2.3,4.3,0.116823270916939,
376,28.6356421265527,0.515,20.5,0.116444348531717,0.058,2.3,4.3,0.107395753264427,
377,28.6356421265527,0.515,32.5,0.103424863442505,0.0758,2.3,4.3,0.099110834300518,
378,28.6356421265527,0.515,51.5,0.099222287066979,0.0996,2.3,4.3,0.091859757900238,
379,28.6356421265527,0.515,81.5,0.091810771555765,0.133,2.3,4.3,0.085429362952709,
380,28.6356421265527,0.515,129,0.086504068258023,0.18,2.3,4.3,0.079534754157066,
381,28.6356421265527,0.515,205,0.077449943650735,0.256,2.3,4.3,0.073826886713505,
382,28.6356421265527,0.815,12.9,0.010616122220254,0.14,2.3,4.3,0.010387781076133,
383,28.6356421265527,0.815,20.5,0.008614549165418,0.178,2.3,4.3,0.008179169148207,
384,28.6356421265527,0.815,32.5,0.007192276147933,0.238,2.3,4.3,0.006678841076791,
385,28.6356421265527,0.815,51.5,0.00576751222911,0.313,2.3,4.3,0.005604123696685,
386,28.6356421265527,0.815,81.5,0.00506482628417,0.424,2.3,4.3,0.004804477561265,
387,28.6356421265527,0.815,129,0.004330915552946,0.568,2.3,4.3,0.004179464187473,
