	rs			x	Q2	sigmaNC		stat_u(%)	syst_u(%)	norm_c(%)
289	28.6356421265527	0.00325	1.29	0			0.00905	2.3	4.3
290	28.6356421265527	0.00515	1.29	0			0.00864	2.3	4.3
291	28.6356421265527	0.00515	2.05	0			0.0113	2.3	4.3
292	28.6356421265527	0.00815	1.29	0			0.00845	2.3	4.3
293	28.6356421265527	0.00815	2.05	0			0.0108	2.3	4.3
294	28.6356421265527	0.00815	3.25	0.404192894697189	0.0136	2.3	4.3
295	28.6356421265527	0.0129	1.29	0			0.00838	2.3	4.3
296	28.6356421265527	0.0129	2.05	0			0.0105	2.3	4.3
297	28.6356421265527	0.0129	3.25	0.39121425151825	0.0129	2.3	4.3
298	28.6356421265527	0.0129	5.15	0.425234645605087	0.0167	2.3	4.3
299	28.6356421265527	0.0205	1.29	0			0.00842	2.3	4.3
300	28.6356421265527	0.0205	2.05	0			0.0104	2.3	4.3
301	28.6356421265527	0.0205	3.25	0.380409926176071	0.0126	2.3	4.3
302	28.6356421265527	0.0205	5.15	0.412422329187393	0.016	2.3	4.3
303	28.6356421265527	0.0205	8.15	0.436857789754868	0.021	2.3	4.3
304	28.6356421265527	0.0325	1.29	0			0.00849	2.3	4.3
305	28.6356421265527	0.0325	2.05	0			0.0104	2.3	4.3
306	28.6356421265527	0.0325	3.25	0.373584508895874	0.0125	2.3	4.3
307	28.6356421265527	0.0325	5.15	0.39757251739502	0.0156	2.3	4.3
308	28.6356421265527	0.0325	8.15	0.419597625732422	0.0201	2.3	4.3
309	28.6356421265527	0.0325	12.9	0.435526013374329	0.0267	2.3	4.3
310	28.6356421265527	0.0515	1.29	0			0.0086	2.3	4.3
311	28.6356421265527	0.0515	2.05	0			0.0104	2.3	4.3
312	28.6356421265527	0.0515	3.25	0.364275097846985	0.0126	2.3	4.3
313	28.6356421265527	0.0515	5.15	0.382466733455658	0.0155	2.3	4.3
314	28.6356421265527	0.0515	8.15	0.398993790149689	0.0197	2.3	4.3
315	28.6356421265527	0.0515	12.9	0.41326105594635	0.0257	2.3	4.3
316	28.6356421265527	0.0515	20.5	0.422234266996384	0.0344	2.3	4.3
317	28.6356421265527	0.0815	1.29	0			0.00894	2.3	4.3
318	28.6356421265527	0.0815	2.05	0			0.0105	2.3	4.3
319	28.6356421265527	0.0815	3.25	0.361820131540298	0.0127	2.3	4.3
320	28.6356421265527	0.0815	5.15	0.372086614370346	0.0157	2.3	4.3
321	28.6356421265527	0.0815	8.15	0.380943864583969	0.0198	2.3	4.3
322	28.6356421265527	0.0815	12.9	0.388683170080185	0.0254	2.3	4.3
323	28.6356421265527	0.0815	20.5	0.394811064004898	0.0334	2.3	4.3
324	28.6356421265527	0.0815	32.5	0.397369891405106	0.0453	2.3	4.3
325	28.6356421265527	0.129	2.05	0			0.0108	2.3	4.3
326	28.6356421265527	0.129	3.25	0.36125048995018	0.013	2.3	4.3
327	28.6356421265527	0.129	5.15	0.364336788654327	0.0159	2.3	4.3
328	28.6356421265527	0.129	8.15	0.366053134202957	0.02	2.3	4.3
329	28.6356421265527	0.129	12.9	0.366989016532898	0.0253	2.3	4.3
330	28.6356421265527	0.129	20.5	0.367303878068924	0.033	2.3	4.3
331	28.6356421265527	0.129	32.5	0.366813898086548	0.0438	2.3	4.3
332	28.6356421265527	0.129	51.5	0.364465177059174	0.0602	2.3	4.3
333	28.6356421265527	0.205	3.25	0.346896946430206	0.0136	2.3	4.3
334	28.6356421265527	0.205	5.15	0.343063116073608	0.0168	2.3	4.3
335	28.6356421265527	0.205	8.15	0.338134795427322	0.0209	2.3	4.3
336	28.6356421265527	0.205	12.9	0.33272185921669	0.0265	2.3	4.3
337	28.6356421265527	0.205	20.5	0.327126502990723	0.0345	2.3	4.3
338	28.6356421265527	0.205	32.5	0.321430653333664	0.0451	2.3	4.3
339	28.6356421265527	0.205	51.5	0.315783202648163	0.0604	2.3	4.3
340	28.6356421265527	0.205	81.5	0.309909850358963	0.0816	2.3	4.3
341	28.6356421265527	0.325	5.15	0.27649250626564	0.0191	2.3	4.3
342	28.6356421265527	0.325	8.15	0.265087187290192	0.024	2.3	4.3
343	28.6356421265527	0.325	12.9	0.254587858915329	0.0306	2.3	4.3
344	28.6356421265527	0.325	20.5	0.244159832596779	0.0394	2.3	4.3
345	28.6356421265527	0.325	32.5	0.234585642814636	0.0513	2.3	4.3
346	28.6356421265527	0.325	51.5	0.225649356842041	0.0677	2.3	4.3
347	28.6356421265527	0.325	81.5	0.217642262578011	0.0915	2.3	4.3
348	28.6356421265527	0.325	129	0.210546791553497	0.126	2.3	4.3
349	28.6356421265527	0.515	8.15	0.128383353352547	0.0353	2.3	4.3
350	28.6356421265527	0.515	12.9	0.117094375193119	0.0446	2.3	4.3
351	28.6356421265527	0.515	20.5	0.107585527002811	0.058	2.3	4.3
352	28.6356421265527	0.515	32.5	0.099328234791756	0.0752	2.3	4.3
353	28.6356421265527	0.515	51.5	0.092129141092301	0.1	2.3	4.3
354	28.6356421265527	0.515	81.5	0.085878700017929	0.132	2.3	4.3
355	28.6356421265527	0.515	129	0.080497302114964	0.178	2.3	4.3
356	28.6356421265527	0.515	205	0.076109044253826	0.257	2.3	4.3
357	28.6356421265527	0.815	12.9	0.01028464641422	0.141	2.3	4.3
358	28.6356421265527	0.815	20.5	0.008146765641868	0.176	2.3	4.3
359	28.6356421265527	0.815	32.5	0.006681954488158	0.238	2.3	4.3
360	28.6356421265527	0.815	51.5	0.00562988827005	0.299	2.3	4.3
361	28.6356421265527	0.815	81.5	0.004847832489759	0.427	2.3	4.3
362	28.6356421265527	0.815	129	0.004242593422532	0.596	2.3	4.3

