	rs			x		Q2	sigmaNC	stat_u(%)	syst_u(%)	norm_c(%)
165	63.2455532033676	0.000815	1.29	0			0.00777	1.5	2.5
166	63.2455532033676	0.00129		1.29	0			0.00757	1.5	2.5
167	63.2455532033676	0.00129		2.05	0			0.00967	1.5	2.5
168	63.2455532033676	0.00205		1.29	0			0.00753	1.5	2.5
169	63.2455532033676	0.00205		2.05	0			0.00944	1.5	2.5
170	63.2455532033676	0.00205		3.25	0.514012932777405	0.0117	1.5	2.5
171	63.2455532033676	0.00325		1.29	0			0.0076	1.5	2.5
172	63.2455532033676	0.00325		2.05	0			0.00941	1.5	2.5
173	63.2455532033676	0.00325		3.25	0.479134649038315	0.0113	1.5	2.5
174	63.2455532033676	0.00325		5.15	0.552111089229584	0.0143	1.5	2.5
175	63.2455532033676	0.00515		1.29	0			0.00772	1.5	2.5
176	63.2455532033676	0.00515		2.05	0			0.00946	1.5	2.5
177	63.2455532033676	0.00515		3.25	0.44651386141777	0.0113	1.5	2.5
178	63.2455532033676	0.00515		5.15	0.513508081436157	0.0138	1.5	2.5
179	63.2455532033676	0.00515		8.15	0.575443625450134	0.0177	1.5	2.5
180	63.2455532033676	0.00815		1.29	0			0.0079	1.5	2.5
181	63.2455532033676	0.00815		2.05	0			0.00965	1.5	2.5
182	63.2455532033676	0.00815		3.25	0.420695304870606	0.0114	1.5	2.5
183	63.2455532033676	0.00815		5.15	0.477084934711456	0.0138	1.5	2.5
184	63.2455532033676	0.00815		8.15	0.532469630241394	0.0172	1.5	2.5
185	63.2455532033676	0.00815		12.9	0.582575857639313	0.0222	1.5	2.5
186	63.2455532033676	0.0129		1.29	0			0.0081	1.5	2.5
187	63.2455532033676	0.0129		2.05	0			0.0098	1.5	2.5
188	63.2455532033676	0.0129		3.25	0.396613210439682	0.0116	1.5	2.5
189	63.2455532033676	0.0129		5.15	0.443377047777176	0.014	1.5	2.5
190	63.2455532033676	0.0129		8.15	0.489301919937134	0.0172	1.5	2.5
191	63.2455532033676	0.0129		12.9	0.533285439014435	0.0219	1.5	2.5
192	63.2455532033676	0.0129		20.5	0.571832954883575	0.0286	1.5	2.5
193	63.2455532033676	0.0205		1.29	0			0.00826	1.5	2.5
194	63.2455532033676	0.0205		2.05	0			0.01	1.5	2.5
195	63.2455532033676	0.0205		3.25	0.382104486227035	0.0118	1.5	2.5
