	rs			x		Q2	stat_u(%)	syst_u(%)	norm_c(%)
0	140.712472794703	0.000129	1.29	0.00682	2.3	4.3
1	140.712472794703	0.000205	1.29	0.00655	2.3	4.3
2	140.712472794703	0.000205	2.05	0.0084	2.3	4.3
3	140.712472794703	0.000325	1.29	0.00647	2.3	4.3
4	140.712472794703	0.000325	2.05	0.0081	2.3	4.3
5	140.712472794703	0.000325	3.25	0.0101	2.3	4.3
6	140.712472794703	0.000515	1.29	0.00652	2.3	4.3
7	140.712472794703	0.000515	2.05	0.00804	2.3	4.3
8	140.712472794703	0.000515	3.25	0.00971	2.3	4.3
9	140.712472794703	0.000515	5.15	0.0122	2.3	4.3
10	140.712472794703	0.000815	1.29	0.00666	2.3	4.3
11	140.712472794703	0.000815	2.05	0.00813	2.3	4.3
12	140.712472794703	0.000815	3.25	0.00963	2.3	4.3
13	140.712472794703	0.000815	5.15	0.0118	2.3	4.3
14	140.712472794703	0.000815	8.15	0.015	2.3	4.3
15	140.712472794703	0.00129		1.29	0.00684	2.3	4.3
16	140.712472794703	0.00129		2.05	0.0083	2.3	4.3
17	140.712472794703	0.00129		3.25	0.00973	2.3	4.3
18	140.712472794703	0.00129		5.15	0.0117	2.3	4.3
19	140.712472794703	0.00129		8.15	0.0145	2.3	4.3
20	140.712472794703	0.00129		12.9	0.0186	2.3	4.3
21	140.712472794703	0.00205		1.29	0.00707	2.3	4.3
22	140.712472794703	0.00205		2.05	0.00855	2.3	4.3
23	140.712472794703	0.00205		3.25	0.00996	2.3	4.3
24	140.712472794703	0.00205		5.15	0.0119	2.3	4.3
25	140.712472794703	0.00205		8.15	0.0145	2.3	4.3
26	140.712472794703	0.00205		12.9	0.0182	2.3	4.3
27	140.712472794703	0.00205		20.5	0.0236	2.3	4.3
28	140.712472794703	0.00325		1.29	0.00731	2.3	4.3
29	140.712472794703	0.00325		2.05	0.0088	2.3	4.3
30	140.712472794703	0.00325		3.25	0.0102	2.3	4.3
