    i          rs           x          Q2       sigma        stat        syst        norm
    0     140.7124728       0.0001290       1.2900000       0.0000000       0.0021535       2.3000000       4.3000000
    1     140.7124728       0.0002050       1.2900000       0.0000000       0.0020681       2.3000000       4.3000000
    2     140.7124728       0.0002050       2.0500000       0.0000000       0.0026563       2.3000000       4.3000000
    3     140.7124728       0.0003250       1.2900000       0.0000000       0.0020460       2.3000000       4.3000000
    4     140.7124728       0.0003250       2.0500000       0.0000000       0.0025614       2.3000000       4.3000000
    5     140.7124728       0.0003250       3.2500000       0.7351036       0.0031939       2.3000000       4.3000000
    6     140.7124728       0.0005150       1.2900000       0.0000000       0.0020618       2.3000000       4.3000000
    7     140.7124728       0.0005150       2.0500000       0.0000000       0.0025393       2.3000000       4.3000000
    8     140.7124728       0.0005150       3.2500000       0.6227591       0.0030769       2.3000000       4.3000000
    9     140.7124728       0.0005150       5.1500000       0.7715572       0.0038580       2.3000000       4.3000000
   10     140.7124728       0.0008150       1.2900000       0.0000000       0.0021029       2.3000000       4.3000000
   11     140.7124728       0.0008150       2.0500000       0.0000000       0.0025646       2.3000000       4.3000000
   12     140.7124728       0.0008150       3.2500000       0.6539448       0.0030453       2.3000000       4.3000000
   13     140.7124728       0.0008150       5.1500000       0.7465808       0.0037315       2.3000000       4.3000000
   14     140.7124728       0.0008150       8.1500000       0.8106514       0.0047434       2.3000000       4.3000000
   15     140.7124728       0.0012900       1.2900000       0.0000000       0.0021630       2.3000000       4.3000000
   16     140.7124728       0.0012900       2.0500000       0.0000000       0.0026247       2.3000000       4.3000000
   17     140.7124728       0.0012900       3.2500000       0.5707764       0.0030769       2.3000000       4.3000000
   18     140.7124728       0.0012900       5.1500000       0.7152893       0.0036999       2.3000000       4.3000000
   19     140.7124728       0.0012900       8.1500000       0.8455754       0.0045853       2.3000000       4.3000000
   20     140.7124728       0.0012900      12.9000000       0.9273130       0.0058818       2.3000000       4.3000000
   21     140.7124728       0.0020500       1.2900000       0.0000000       0.0022357       2.3000000       4.3000000
   22     140.7124728       0.0020500       2.0500000       0.0000000       0.0026974       2.3000000       4.3000000
   23     140.7124728       0.0020500       3.2500000       0.4868139       0.0031465       2.3000000       4.3000000
   24     140.7124728       0.0020500       5.1500000       0.5983799       0.0037631       2.3000000       4.3000000
   25     140.7124728       0.0020500       8.1500000       0.7345261       0.0045853       2.3000000       4.3000000
   26     140.7124728       0.0020500      12.9000000       0.8695150       0.0057553       2.3000000       4.3000000
   27     140.7124728       0.0020500      20.5000000       0.9613427       0.0074314       2.3000000       4.3000000
   28     140.7124728       0.0032500       1.2900000       0.0000000       0.0023116       2.3000000       4.3000000
