,rs,x,Q2,sigma,stat_u(%),syst_u(%),norm_c(%),sigma (unshifted),0.871254700729057
0,140.71247,0.00678335,110,0.842854500406828,1.49071276936019,2,5.8,0.800980746746063,
1,140.71247,0.00958173,110,0.934296932284412,1.35581589858954,2,5.8,0.895060420036316,
2,140.71247,0.0135346,110,1.01104021335356,1.38542202369002,2,5.8,0.961216449737549,
3,140.71247,0.0191181,110,1.0228152504515,1.35209433024966,2,5.8,0.984118402004242,
4,140.71247,0.027005,110,1.00715085129983,1.36335190503605,2,5.8,0.971354067325592,
5,140.71247,0.0381456,110,0.967500135127407,1.35208977235486,2,5.8,0.93487274646759,
6,140.71247,0.053882,110,0.889394039384346,1.43149354250742,2,5.8,0.883077383041382,
7,140.71247,0.0761104,110,0.86288905153476,1.41847724618247,2,5.8,0.824419379234314,
8,140.71247,0.107509,110,0.79926923175598,1.51619398751073,2,5.8,0.763988435268402,
9,140.71247,0.15186,110,0.739026345985769,1.58709593153032,2,5.8,0.696017146110535,
10,140.71247,0.214508,110,0.625380831975945,1.68550677853658,2,5.8,0.600729823112488,
11,140.71247,0.303001,110,0.509251303921007,1.95365662931368,2,5.8,0.462367743253708,
12,140.71247,0.428,110,0.294209183151307,2.5400005977408,2,5.8,0.277133494615555,
13,140.71247,0.604567,110,0.101584947711941,6.90062102402926,2,5.8,0.090576894581318,
14,140.71247,0.853973,110,0.01154019930953,22.3607004541932,2,5.8,0.009164803661406,
15,140.71247,0.00958173,130,0.892103943236992,1.37882030955849,2,5.8,0.83197557926178,
16,140.71247,0.0135346,130,0.977876535584987,1.36082715982124,2,5.8,0.910377144813538,
17,140.71247,0.0191181,130,1.02124789746539,1.39754355049348,2,5.8,0.949637532234192,
18,140.71247,0.027005,130,0.960703566142124,1.32920842567713,2,5.8,0.950252771377564,
19,140.71247,0.0381456,130,0.941078037002668,1.3620909855787,2,5.8,0.922793030738831,
20,140.71247,0.053882,130,0.92926328040626,1.40028152968984,2,5.8,0.876313626766205,
21,140.71247,0.0761104,130,0.873626444613298,1.44037843918115,2,5.8,0.820213615894318,
22,140.71247,0.107509,130,0.781652848883963,1.46647274071823,2,5.8,0.760554254055023,
