     2.06           1.28065         0.0827723
     2.19           2.80492         0.0896058
     2.31           5.28467          0.124373
     2.44           6.43811         0.0489301
     2.56           7.30929          0.128096
     2.69           8.84734         0.0673738
     2.81           9.42941         0.0576106
     2.94           9.43316         0.0702456
     3.06           9.72041         0.0514364
     3.19           8.52527         0.0733773
     3.31           8.23993          0.178815
     3.44            5.9973         0.0570977
     3.56           4.07359          0.035164
     3.69           2.67492         0.0240951
     3.81           1.56467         0.0206522
     3.94          0.750741         0.0304942
     4.13          0.325439         0.0115104
