1.00	0.58	0.22	0.21	0.17	0.15	0.15	0.14	0.12	0.13	0.16	0.11	0.14	0.11	0.09	0.08	0.06	0.09	0.08	0.04	0.06	0.03	-0.01	-0.05	-0.04	-0.10
0.58	1.00	0.37	0.26	0.22	0.21	0.22	0.20	0.18	0.18	0.20	0.16	0.16	0.14	0.14	0.11	0.12	0.12	0.10	0.07	0.09	0.06	-0.01	-0.03	-0.06	-0.11
0.22	0.37	1.00	0.58	0.31	0.28	0.28	0.28	0.27	0.30	0.19	0.16	0.16	0.14	0.23	0.19	0.12	0.10	0.13	0.12	0.09	0.11	0.23	0.16	0.09	0.05
0.21	0.26	0.58	1.00	0.46	0.28	0.28	0.29	0.26	0.30	0.20	0.17	0.14	0.13	0.24	0.18	0.10	0.09	0.13	0.09	0.08	0.10	0.21	0.15	0.08	0.05
0.17	0.22	0.31	0.46	1.00	0.50	0.31	0.30	0.33	0.36	0.29	0.26	0.22	0.20	0.20	0.17	0.16	0.13	0.16	0.16	0.13	0.16	0.08	0.07	-0.00	0.05
0.15	0.21	0.28	0.28	0.50	1.00	0.47	0.28	0.30	0.35	0.28	0.27	0.23	0.20	0.19	0.18	0.17	0.13	0.15	0.16	0.14	0.17	0.10	0.05	0.02	0.04
0.15	0.22	0.28	0.28	0.31	0.47	1.00	0.45	0.24	0.30	0.29	0.26	0.22	0.22	0.18	0.15	0.18	0.15	0.15	0.16	0.12	0.18	0.10	0.07	0.03	0.04
0.14	0.20	0.28	0.29	0.30	0.28	0.45	1.00	0.42	0.24	0.27	0.27	0.21	0.21	0.18	0.16	0.19	0.15	0.15	0.18	0.12	0.18	0.12	0.07	0.03	0.05
0.12	0.18	0.27	0.26	0.33	0.30	0.24	0.42	1.00	0.37	0.21	0.26	0.23	0.22	0.19	0.18	0.19	0.16	0.17	0.18	0.17	0.18	0.15	0.09	0.06	0.04
0.13	0.18	0.30	0.30	0.36	0.35	0.30	0.24	0.37	1.00	0.27	0.22	0.24	0.23	0.20	0.20	0.17	0.15	0.18	0.20	0.16	0.20	0.15	0.10	0.06	0.06
0.16	0.20	0.19	0.20	0.29	0.28	0.29	0.27	0.21	0.27	1.00	0.23	0.19	0.23	0.18	0.18	0.19	0.16	0.18	0.20	0.17	0.19	0.09	0.07	0.05	0.05
0.11	0.16	0.16	0.17	0.26	0.27	0.26	0.27	0.26	0.22	0.23	1.00	0.22	0.14	0.15	0.17	0.22	0.16	0.15	0.19	0.17	0.17	0.12	0.06	0.06	0.02
0.14	0.16	0.16	0.14	0.22	0.23	0.22	0.21	0.23	0.24	0.19	0.22	1.00	0.22	0.04	0.15	0.17	0.17	0.18	0.18	0.14	0.14	0.14	0.07	0.05	-0.01
0.11	0.14	0.14	0.13	0.20	0.20	0.22	0.21	0.22	0.23	0.23	0.14	0.22	1.00	0.14	0.05	0.17	0.15	0.15	0.19	0.14	0.16	0.13	0.07	0.07	0.04
0.09	0.14	0.23	0.24	0.20	0.19	0.18	0.18	0.19	0.20	0.18	0.15	0.04	0.14	1.00	0.17	0.01	0.08	0.12	0.14	0.09	0.13	0.12	0.11	0.08	0.06
0.08	0.11	0.19	0.18	0.17	0.18	0.15	0.16	0.18	0.20	0.18	0.17	0.15	0.05	0.17	1.00	0.17	0.00	0.12	0.15	0.13	0.15	0.17	0.08	0.11	0.05
0.06	0.12	0.12	0.10	0.16	0.17	0.18	0.19	0.19	0.17	0.19	0.22	0.17	0.17	0.01	0.17	1.00	0.19	0.03	0.16	0.13	0.15	0.11	0.02	0.06	0.02
0.09	0.12	0.10	0.09	0.13	0.13	0.15	0.15	0.16	0.15	0.16	0.16	0.17	0.15	0.08	0.00	0.19	1.00	0.10	0.07	0.13	0.13	0.07	0.05	0.04	-0.00
0.08	0.10	0.13	0.13	0.16	0.15	0.15	0.15	0.17	0.18	0.18	0.15	0.18	0.15	0.12	0.12	0.03	0.10	1.00	0.08	0.08	0.15	0.12	0.07	0.07	0.04
0.04	0.07	0.12	0.09	0.16	0.16	0.16	0.18	0.18	0.20	0.20	0.19	0.18	0.19	0.14	0.15	0.16	0.07	0.08	1.00	0.07	0.18	0.17	0.09	0.14	0.05
0.06	0.09	0.09	0.08	0.13	0.14	0.12	0.12	0.17	0.16	0.17	0.17	0.14	0.14	0.09	0.13	0.13	0.13	0.08	0.07	1.00	0.08	0.09	0.08	0.10	0.03
0.03	0.06	0.11	0.10	0.16	0.17	0.18	0.18	0.18	0.20	0.19	0.17	0.14	0.16	0.13	0.15	0.15	0.13	0.15	0.18	0.08	1.00	0.06	0.07	0.07	0.07
-0.01	-0.01	0.23	0.21	0.08	0.10	0.10	0.12	0.15	0.15	0.09	0.12	0.14	0.13	0.12	0.17	0.11	0.07	0.12	0.17	0.09	0.06	1.00	0.13	0.24	0.08
-0.05	-0.03	0.16	0.15	0.07	0.05	0.07	0.07	0.09	0.10	0.07	0.06	0.07	0.07	0.11	0.08	0.02	0.05	0.07	0.09	0.08	0.07	0.13	1.00	0.03	0.08
-0.04	-0.06	0.09	0.08	-0.00	0.02	0.03	0.03	0.06	0.06	0.05	0.06	0.05	0.07	0.08	0.11	0.06	0.04	0.07	0.14	0.10	0.07	0.24	0.03	1.00	0.01
-0.10	-0.11	0.05	0.05	0.05	0.04	0.04	0.05	0.04	0.06	0.05	0.02	-0.01	0.04	0.06	0.05	0.02	-0.00	0.04	0.05	0.03	0.07	0.08	0.08	0.01	1.00
