#: table_doi: 10.17182/hepdata.85696.v2/t186
#: name: Table 186
#: description: Absolute cross section at the parton level as a function of $M(\text{t}\bar{\text{t}})$.
#: data_file: data186.yaml
#: data_license:   
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG_FID/DMTT
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],,,13000
$M(\text{t}\bar{\text{t}})$ [GeV],$M(\text{t}\bar{\text{t}})$ [GeV] LOW,$M(\text{t}\bar{\text{t}})$ [GeV] HIGH,$\frac{{d}\sigma}{{d}M(\text{t}\bar{\text{t}})}$ [pb GeV$^{-1}$],stat +,stat -,sys +,sys -
330.0,300.0,360.0,0.246765,0.007665,-0.007665,0.057389,-0.057389
395.0,360.0,430.0,1.081492,0.009032,-0.009032,0.091574,-0.091574
465.0,430.0,500.0,0.791046,0.008269,-0.008269,0.070143,-0.070143
540.0,500.0,580.0,0.484930,0.005977,-0.005977,0.031561,-0.031561
630.0,580.0,680.0,0.260786,0.003653,-0.003653,0.019616,-0.019616
740.0,680.0,800.0,0.124677,0.002258,-0.002258,0.010428,-0.010428
900.0,800.0,1000.0,0.0476649,0.0009105,-0.0009105,0.0035284,-0.0035284
1100.0,1000.0,1200.0,0.0162867,0.0005881,-0.0005881,0.0013353,-0.0013353
1350.0,1200.0,1500.0,0.0048548,0.0002711,-0.0002711,0.0005610,-0.0005610
2000.0,1500.0,2500.0,0.00061642,0.00005144,-0.00005144,0.00012360,-0.00012360

