# binmin binmax xsec_norm   stat     uncorr	total corr
0.0    2.0     0.02822      0.27      0.37           0.36
2.0    4.0     0.05840      0.17      0.32           0.35
4.0    6.0     0.05805      0.17      0.23           0.36
6.0    8.0     0.04917      0.18      0.22           0.36
8.0    10.0    0.04076      0.2       0.24           0.34
10.0    12.0   0.03380      0.23      0.26           0.34
12.0    14.0   0.02815      0.25      0.26           0.34
14.0    16.0   0.02375      0.27      0.26           0.34
16.0    18.0   0.02012      0.3       0.27           0.34
18.0    22.0   0.01595      0.25      0.25           0.34
22.0    26.0   0.01200      0.3       0.28           0.36
26.0    30.0   0.009166     0.34      0.31           0.36
30.0    34.0   0.007242     0.39      0.33           0.35
34.0    38.0   0.005802     0.44      0.35           0.35
38.0    42.0   0.004641     0.49      0.39           0.35
42.0    46.0   0.003777     0.53      0.43           0.35
46.0    50.0   0.003172     0.57      0.43           0.37
50.0    54.0   0.002593     0.64      0.46           0.37
54.0    60.0   0.002104     0.61      0.43           0.37
60.0    70.0   0.001492     0.55      0.44           0.38
70.0    80.0   0.0009851    0.69      0.49           0.43
80.0    100.0  0.0005525    0.62      0.49           0.44
100.0   150.0  0.0001918    0.63      0.53           0.65
150.0   200.0  0.00004891   1.26      0.72           0.63
200.0   300.0  0.00001081   1.88      1.4            1.33
300.0   800.0  0.0000003985 4.2       2.04           1.32
