1.00	0.52	0.33	0.33	0.29	0.24	0.26	0.27	0.25	0.26	0.25	0.24	0.20	0.20	0.18	0.14	0.15	0.14	0.13	0.14	0.14	0.12	0.06	0.03	-0.01	-0.01
0.52	1.00	0.47	0.37	0.31	0.30	0.32	0.33	0.29	0.31	0.29	0.30	0.24	0.25	0.21	0.19	0.18	0.19	0.18	0.17	0.15	0.16	0.08	0.04	-0.01	-0.03
0.33	0.47	1.00	0.56	0.40	0.41	0.36	0.35	0.35	0.37	0.34	0.33	0.32	0.27	0.23	0.21	0.20	0.18	0.19	0.20	0.16	0.15	0.19	0.11	0.05	0.05
0.33	0.37	0.56	1.00	0.48	0.36	0.36	0.36	0.35	0.38	0.35	0.32	0.30	0.29	0.23	0.21	0.19	0.18	0.21	0.21	0.17	0.17	0.21	0.13	0.07	0.05
0.29	0.31	0.40	0.48	1.00	0.50	0.34	0.37	0.37	0.40	0.35	0.32	0.31	0.27	0.26	0.24	0.21	0.19	0.21	0.23	0.19	0.18	0.18	0.12	0.07	0.06
0.24	0.30	0.41	0.36	0.50	1.00	0.45	0.32	0.35	0.39	0.36	0.32	0.29	0.27	0.25	0.22	0.22	0.19	0.21	0.23	0.19	0.20	0.18	0.12	0.07	0.05
0.26	0.32	0.36	0.36	0.34	0.45	1.00	0.42	0.27	0.35	0.34	0.32	0.28	0.25	0.24	0.23	0.24	0.19	0.20	0.21	0.18	0.20	0.18	0.11	0.09	0.07
0.27	0.33	0.35	0.36	0.37	0.32	0.42	1.00	0.39	0.30	0.32	0.32	0.27	0.25	0.25	0.22	0.22	0.19	0.20	0.22	0.15	0.19	0.18	0.11	0.08	0.05
0.25	0.29	0.35	0.35	0.37	0.35	0.27	0.39	1.00	0.33	0.26	0.28	0.27	0.23	0.22	0.20	0.21	0.17	0.21	0.20	0.16	0.17	0.19	0.11	0.10	0.07
0.26	0.31	0.37	0.38	0.40	0.39	0.35	0.30	0.33	1.00	0.29	0.29	0.28	0.28	0.25	0.24	0.21	0.20	0.21	0.22	0.16	0.19	0.20	0.12	0.12	0.06
0.25	0.29	0.34	0.35	0.35	0.36	0.34	0.32	0.26	0.29	1.00	0.24	0.24	0.24	0.23	0.22	0.21	0.17	0.20	0.22	0.19	0.19	0.13	0.09	0.02	0.02
0.24	0.30	0.33	0.32	0.32	0.32	0.32	0.32	0.28	0.29	0.24	1.00	0.17	0.18	0.22	0.19	0.19	0.19	0.20	0.19	0.17	0.20	0.15	0.08	0.04	0.01
0.20	0.24	0.32	0.30	0.31	0.29	0.28	0.27	0.27	0.28	0.24	0.17	1.00	0.15	0.15	0.18	0.19	0.15	0.16	0.20	0.15	0.17	0.16	0.09	0.07	0.06
0.20	0.25	0.27	0.29	0.27	0.27	0.25	0.25	0.23	0.28	0.24	0.18	0.15	1.00	0.12	0.10	0.15	0.14	0.18	0.17	0.14	0.15	0.16	0.09	0.09	0.02
0.18	0.21	0.23	0.23	0.26	0.25	0.24	0.25	0.22	0.25	0.23	0.22	0.15	0.12	1.00	0.13	0.10	0.15	0.17	0.17	0.15	0.12	0.15	0.08	0.08	0.06
0.14	0.19	0.21	0.21	0.24	0.22	0.23	0.22	0.20	0.24	0.22	0.19	0.18	0.10	0.13	1.00	0.10	0.05	0.14	0.16	0.15	0.12	0.14	0.09	0.08	0.06
0.15	0.18	0.20	0.19	0.21	0.22	0.24	0.22	0.21	0.21	0.21	0.19	0.19	0.15	0.10	0.10	1.00	0.08	0.10	0.17	0.12	0.15	0.12	0.07	0.04	0.07
0.14	0.19	0.18	0.18	0.19	0.19	0.19	0.19	0.17	0.20	0.17	0.19	0.15	0.14	0.15	0.05	0.08	1.00	0.06	0.12	0.13	0.15	0.13	0.05	0.04	0.02
0.13	0.18	0.19	0.21	0.21	0.21	0.20	0.20	0.21	0.21	0.20	0.20	0.16	0.18	0.17	0.14	0.10	0.06	1.00	0.09	0.11	0.14	0.17	0.09	0.08	0.04
0.14	0.17	0.20	0.21	0.23	0.23	0.21	0.22	0.20	0.22	0.22	0.19	0.20	0.17	0.17	0.16	0.17	0.12	0.09	1.00	0.06	0.19	0.20	0.12	0.08	0.06
0.14	0.15	0.16	0.17	0.19	0.19	0.18	0.15	0.16	0.16	0.19	0.17	0.15	0.14	0.15	0.15	0.12	0.13	0.11	0.06	1.00	0.10	0.10	0.08	-0.01	0.02
0.12	0.16	0.15	0.17	0.18	0.20	0.20	0.19	0.17	0.19	0.19	0.20	0.17	0.15	0.12	0.12	0.15	0.15	0.14	0.19	0.10	1.00	0.09	0.06	0.02	0.00
0.06	0.08	0.19	0.21	0.18	0.18	0.18	0.18	0.19	0.20	0.13	0.15	0.16	0.16	0.15	0.14	0.12	0.13	0.17	0.20	0.10	0.09	1.00	0.13	0.23	0.13
0.03	0.04	0.11	0.13	0.12	0.12	0.11	0.11	0.11	0.12	0.09	0.08	0.09	0.09	0.08	0.09	0.07	0.05	0.09	0.12	0.08	0.06	0.13	1.00	0.08	0.08
-0.01	-0.01	0.05	0.07	0.07	0.07	0.09	0.08	0.10	0.12	0.02	0.04	0.07	0.09	0.08	0.08	0.04	0.04	0.08	0.08	-0.01	0.02	0.23	0.08	1.00	0.13
-0.01	-0.03	0.05	0.05	0.06	0.05	0.07	0.05	0.07	0.06	0.02	0.01	0.06	0.02	0.06	0.06	0.07	0.02	0.04	0.06	0.02	0.00	0.13	0.08	0.13	1.00
