#: table_doi: 10.17182/hepdata.89307.v1/t42
#: name: Table 42
#: description: Covariance matrix of the absolute differential cross section at parton level as a function of $y_{t}$.
#: data_file: d021-x01-y01_cov.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: SIG
#: keyword phrases: Top | Differential Cross Section | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 13000.0
#: ,COVARIANCE MATRIX
Bin,Bin,
1.0,1.0,39.1017
2.0,1.0,37.324
3.0,1.0,49.8513
4.0,1.0,72.1252
5.0,1.0,76.4103
6.0,1.0,76.9144
7.0,1.0,66.7534
8.0,1.0,64.2877
9.0,1.0,47.7369
10.0,1.0,28.2988
1.0,2.0,37.324
2.0,2.0,97.1555
3.0,2.0,111.045
4.0,2.0,129.538
5.0,2.0,135.102
6.0,2.0,148.317
7.0,2.0,126.076
8.0,2.0,106.46
9.0,2.0,83.5631
10.0,2.0,39.5305
1.0,3.0,49.8513
2.0,3.0,111.045
3.0,3.0,176.141
4.0,3.0,177.402
5.0,3.0,168.984
6.0,3.0,206.264
7.0,3.0,176.545
8.0,3.0,146.262
9.0,3.0,110.062
10.0,3.0,54.9538
1.0,4.0,72.1252
2.0,4.0,129.538
3.0,4.0,177.402
4.0,4.0,251.952
5.0,4.0,214.469
6.0,4.0,255.718
7.0,4.0,200.897
8.0,4.0,184.959
9.0,4.0,145.469
10.0,4.0,63.0282
1.0,5.0,76.4103
2.0,5.0,135.102
3.0,5.0,168.984
4.0,5.0,214.469
5.0,5.0,300.377
6.0,5.0,205.98
7.0,5.0,242.391
8.0,5.0,200.656
9.0,5.0,122.393
10.0,5.0,73.0544
1.0,6.0,76.9144
2.0,6.0,148.317
3.0,6.0,206.264
4.0,6.0,255.718
5.0,6.0,205.98
6.0,6.0,371.684
7.0,6.0,176.2
8.0,6.0,195.473
9.0,6.0,176.426
10.0,6.0,69.8396
1.0,7.0,66.7534
2.0,7.0,126.076
3.0,7.0,176.545
4.0,7.0,200.897
5.0,7.0,242.391
6.0,7.0,176.2
7.0,7.0,271.094
8.0,7.0,171.68
9.0,7.0,103.327
10.0,7.0,74.548
1.0,8.0,64.2877
2.0,8.0,106.46
3.0,8.0,146.262
4.0,8.0,184.959
5.0,8.0,200.656
6.0,8.0,195.473
7.0,8.0,171.68
8.0,8.0,174.865
9.0,8.0,108.664
10.0,8.0,55.5252
1.0,9.0,47.7369
2.0,9.0,83.5631
3.0,9.0,110.062
4.0,9.0,145.469
5.0,9.0,122.393
6.0,9.0,176.426
7.0,9.0,103.327
8.0,9.0,108.664
9.0,9.0,108.847
10.0,9.0,39.3525
1.0,10.0,28.2988
2.0,10.0,39.5305
3.0,10.0,54.9538
4.0,10.0,63.0282
5.0,10.0,73.0544
6.0,10.0,69.8396
7.0,10.0,74.548
8.0,10.0,55.5252
9.0,10.0,39.3525
10.0,10.0,32.8204
1.0,1.0,39.1017
2.0,1.0,37.324
3.0,1.0,49.8513
4.0,1.0,72.1252
5.0,1.0,76.4103
6.0,1.0,76.9144
7.0,1.0,66.7534
8.0,1.0,64.2877
9.0,1.0,47.7369
10.0,1.0,28.2988
1.0,2.0,37.324
2.0,2.0,97.1555
3.0,2.0,111.045
4.0,2.0,129.538
5.0,2.0,135.102
6.0,2.0,148.317
7.0,2.0,126.076
8.0,2.0,106.46
9.0,2.0,83.5631
10.0,2.0,39.5305
1.0,3.0,49.8513
2.0,3.0,111.045
3.0,3.0,176.141
4.0,3.0,177.402
5.0,3.0,168.984
6.0,3.0,206.264
7.0,3.0,176.545
8.0,3.0,146.262
9.0,3.0,110.062
10.0,3.0,54.9538
1.0,4.0,72.1252
2.0,4.0,129.538
3.0,4.0,177.402
4.0,4.0,251.952
5.0,4.0,214.469
6.0,4.0,255.718
7.0,4.0,200.897
8.0,4.0,184.959
9.0,4.0,145.469
10.0,4.0,63.0282
1.0,5.0,76.4103
2.0,5.0,135.102
3.0,5.0,168.984
4.0,5.0,214.469
5.0,5.0,300.377
6.0,5.0,205.98
7.0,5.0,242.391
8.0,5.0,200.656
9.0,5.0,122.393
10.0,5.0,73.0544
1.0,6.0,76.9144
2.0,6.0,148.317
3.0,6.0,206.264
4.0,6.0,255.718
5.0,6.0,205.98
6.0,6.0,371.684
7.0,6.0,176.2
8.0,6.0,195.473
9.0,6.0,176.426
10.0,6.0,69.8396
1.0,7.0,66.7534
2.0,7.0,126.076
3.0,7.0,176.545
4.0,7.0,200.897
5.0,7.0,242.391
6.0,7.0,176.2
7.0,7.0,271.094
8.0,7.0,171.68
9.0,7.0,103.327
10.0,7.0,74.548
1.0,8.0,64.2877
2.0,8.0,106.46
3.0,8.0,146.262
4.0,8.0,184.959
5.0,8.0,200.656
6.0,8.0,195.473
7.0,8.0,171.68
8.0,8.0,174.865
9.0,8.0,108.664
10.0,8.0,55.5252
1.0,9.0,47.7369
2.0,9.0,83.5631
3.0,9.0,110.062
4.0,9.0,145.469
5.0,9.0,122.393
6.0,9.0,176.426
7.0,9.0,103.327
8.0,9.0,108.664
9.0,9.0,108.847
10.0,9.0,39.3525
1.0,10.0,28.2988
2.0,10.0,39.5305
3.0,10.0,54.9538
4.0,10.0,63.0282
5.0,10.0,73.0544
6.0,10.0,69.8396
7.0,10.0,74.548
8.0,10.0,55.5252
9.0,10.0,39.3525
10.0,10.0,32.8204
1.0,1.0,39.1017
2.0,1.0,37.324
