#: table_doi: 10.17182/hepdata.89307.v1/t83
#: name: Table 83
#: description: Measured normalised differential cross section at parton level as a function of $y_{t\bar{t}}$.
#: data_file: d042-x01-y01.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: SIG
#: keyword phrases: Top | Differential Cross Section | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 13000.0
#: RE,,,P P --> TOP TOPBAR X
#: SQRT(S) [GEV],,,13000.0
$y_{t\bar{t}}$ ,$y_{t\bar{t}}$  LOW,$y_{t\bar{t}}$  HIGH,\frac{1}{\sigma}\frac{d\sigma}{dX} [PB],stat +,stat -,sys +,sys -
-2.1,-2.6,-1.6,0.053941,0.00127016,-0.00127016,0.00585926,-0.00585926
-1.4,-1.6,-1.2,0.172872,0.00185761,-0.00185761,0.00390437,-0.00390437
-1.0,-1.2,-0.8,0.255959,0.0026081,-0.0026081,0.00932278,-0.00932278
-0.6000000000000001,-0.8,-0.4,0.315816,0.00286328,-0.00286328,0.00757619,-0.00757619
-0.2,-0.4,0,0.369078,0.00313813,-0.00313813,0.00991665,-0.00991665
0.2,0,0.4,0.353279,0.00303458,-0.00303458,0.00833455,-0.00833455
0.6000000000000001,0.4,0.8,0.320669,0.00281514,-0.00281514,0.00660141,-0.00660141
1.0,0.8,1.2,0.260873,0.00249084,-0.00249084,0.00766251,-0.00766251
1.4,1.2,1.6,0.169474,0.00183983,-0.00183983,0.00484523,-0.00484523
2.1,1.6,2.6,0.058851,0.0012548,-0.0012548,0.00335612,-0.00335612

