coalition_labels,size,chi2,is_outlier
cbar|sbar|ubar|dbar|g|d|u|s|c,9,0.01606990,1
cbar|sbar|ubar|dbar|g|u|s|c,8,0.01500613,1
cbar|sbar|ubar|dbar|g|d|u|c,8,0.01429726,0
cbar|ubar|dbar|g|d|u|s|c,8,0.01380012,0
cbar|sbar|ubar|dbar|g|u|c,7,0.01347531,0
sbar|ubar|dbar|g|d|u|s|c,8,0.01301915,0
cbar|sbar|dbar|g|d|u|s|c,8,0.01295187,0
cbar|sbar|ubar|dbar|g|d|u|s,8,0.01285163,0
cbar|ubar|dbar|g|u|s|c,7,0.01279645,0
cbar|sbar|ubar|g|d|u|s|c,8,0.01271842,0
cbar|sbar|dbar|g|u|s|c,7,0.01231407,0
sbar|ubar|dbar|g|u|s|c,7,0.01220155,0
cbar|ubar|dbar|g|d|u|c,7,0.01217751,0
cbar|sbar|ubar|dbar|g|d|s|c,8,0.01207698,0
cbar|sbar|ubar|dbar|d|u|s|c,8,0.01196907,0
cbar|sbar|ubar|dbar|g|u|s,7,0.01195645,0
cbar|sbar|dbar|g|d|u|c,7,0.01166316,0
sbar|ubar|dbar|g|d|u|c,7,0.01156801,0
cbar|ubar|dbar|g|u|c,6,0.01141566,0
cbar|sbar|ubar|g|u|s|c,7,0.01135940,0
cbar|sbar|ubar|dbar|g|d|u,7,0.01135266,0
cbar|sbar|dbar|g|u|c,6,0.01126718,0
cbar|sbar|ubar|dbar|g|s|c,7,0.01123970,0
cbar|ubar|g|d|u|s|c,7,0.01100594,0
ubar|dbar|g|d|u|s|c,7,0.01099668,0
sbar|ubar|dbar|g|u|c,6,0.01099224,0
cbar|dbar|g|d|u|s|c,7,0.01095816,0
cbar|ubar|dbar|g|d|u|s,7,0.01088838,0
cbar|sbar|ubar|g|d|u|c,7,0.01084459,0
cbar|sbar|ubar|dbar|u|s|c,7,0.01078012,0
cbar|sbar|ubar|dbar|g|u,6,0.01069930,0
cbar|sbar|ubar|dbar|g|d|c,7,0.01069181,0
sbar|dbar|g|d|u|s|c,7,0.01058851,0
sbar|ubar|dbar|g|d|u|s,7,0.01049901,0
cbar|dbar|g|u|s|c,6,0.01038046,0
cbar|ubar|dbar|g|d|s|c,7,0.01025153,0
ubar|dbar|g|u|s|c,6,0.01023919,0
sbar|dbar|g|u|s|c,6,0.01019689,0
cbar|sbar|dbar|g|d|u|s,7,0.01019603,0
cbar|sbar|ubar|dbar|g|c,6,0.01009635,0
cbar|sbar|ubar|dbar|d|u|c,7,0.01007748,0
cbar|ubar|dbar|g|u|s,6,0.01005331,0
cbar|sbar|ubar|d|u|s|c,7,0.00996625,0
cbar|sbar|ubar|g|d|u|s,7,0.00985563,0
sbar|ubar|dbar|g|u|s,6,0.00985001,0
cbar|ubar|dbar|d|u|s|c,7,0.00984533,0
cbar|dbar|g|d|u|c,6,0.00981948,0
