#: table_doi: 10.17182/hepdata.85696.v2/t190
#: name: Table 190
#: description: Absolute cross section at the parton level as a function of $|y(\text{t}\bar{\text{t}})|$.
#: data_file: data190.yaml
#: data_license:   
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG_FID/DYTT
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],,,13000
$|y(\text{t}\bar{\text{t}})|$,$|y(\text{t}\bar{\text{t}})|$ LOW,$|y(\text{t}\bar{\text{t}})|$ HIGH,$\frac{{d}\sigma}{{d}|y(\text{t}\bar{\text{t}})|}$ [pb ],stat +,stat -,sys +,sys -
0.1,0.0,0.2,172.836,1.079,-1.079,11.707,-11.707
0.30000000000000004,0.2,0.4,167.997,1.274,-1.274,10.796,-10.796
0.5,0.4,0.6,157.458,1.212,-1.212,11.303,-11.303
0.7,0.6,0.8,144.894,1.240,-1.240,10.154,-10.154
0.9,0.8,1.0,128.134,1.213,-1.213,9.011,-9.011
1.1,1.0,1.2,105.236,1.196,-1.196,7.933,-7.933
1.2999999999999998,1.2,1.4,90.204,1.227,-1.227,6.418,-6.418
1.5,1.4,1.6,71.206,1.288,-1.288,6.316,-6.316
1.7000000000000002,1.6,1.8,50.658,1.354,-1.354,6.248,-6.248
2.1,1.8,2.4,26.377,1.067,-1.067,2.958,-2.958

