		prev (Reference Fit)	prev (Reference Fit)	next (Reference Fit)	next (Reference Fit)
		Min	Max	Min	Max
$\Sigma$	$\alpha$	1.05	1.19	1.2533688988023792	1.2533688988023792
$\Sigma$	$\beta$	1.47	2.7	2.021643432920283	2.2902318873944734
$g$	$\alpha$	0.94	1.25	0.7758902327160628	0.7758902327160628
$g$	$\beta$	0.11	5.87	1.5768597065897827	3.2863378107898016
$V$	$\alpha$	0.54	0.75	0.787149416841371	0.8167735581234016
$V$	$\beta$	1.15	2.76	2.7379456097825385	3.078721096696877
$V3$	$\alpha$	0.21	0.57	0.37283984141476817	0.49901185874279935
$V3$	$\beta$	1.35	3.08	0.9539812559763309	1.4094665265486346
$V8$	$\alpha$	0.52	0.76	-0.27629236574130633	0.11323495134082687
$V8$	$\beta$	0.77	3.56	0.09942958586377625	1.0369016583530293
$T3$	$\alpha$	-0.37	1.52	0.412581288929536	0.47328612303600576
$T3$	$\beta$	1.74	3.39	2.294835797439576	2.5975661393520504
$T8$	$\alpha$	0.56	1.29	-1.0689688185789779	0.03188989237762411
$T8$	$\beta$	1.45	3.03	2.4878192736889626	2.76648644807293
$c^+$	$\alpha$	0.12	1.19	-0.1629055027194706	0.14622431216900572
$c^+$	$\beta$	1.83	6.7	3.3860169836400456	3.91201141326708
