	mean	std
u momentum fraction	2.917977179868E-1	2.7E-12
ubar momentum fraction	-8.111315568E-2	2.2E-10
d momentum fraction	3.9557519497E-1	4.9E-10
dbar momentum fraction	-2.71073076624E-1	9.0E-11
s momentum fraction	3.37075844662E-1	7.0E-11
sbar momentum fraction	-1.8300504106E-1	2.2E-10
cp momentum fraction	3.49390262765E-2	4.1E-12
cm momentum fraction	-2.60331E-7	1.3E-11
g momentum fraction	4.74683148880E-1	8.0E-11
T3	7.91027003E-1	5.7E-8
T8	1.5006933	1.5E-6
