		next (Reference Fit)	next (Reference Fit)
		Min	Max
$\Sigma$	$\alpha$	1.2533688988023792	1.2533688988023792
$\Sigma$	$\beta$	2.021643432920283	2.2902318873944734
$g$	$\alpha$	0.7758902327160628	0.7758902327160628
$g$	$\beta$	1.5768597065897827	3.2863378107898016
$V$	$\alpha$	0.787149416841371	0.8167735581234016
$V$	$\beta$	2.7379456097825385	3.078721096696877
$V3$	$\alpha$	0.37283984141476817	0.49901185874279935
$V3$	$\beta$	0.9539812559763309	1.4094665265486346
$V8$	$\alpha$	-0.27629236574130633	0.11323495134082687
$V8$	$\beta$	0.09942958586377625	1.0369016583530293
$T3$	$\alpha$	0.412581288929536	0.47328612303600576
$T3$	$\beta$	2.294835797439576	2.5975661393520504
$T8$	$\alpha$	-1.0689688185789779	0.03188989237762411
$T8$	$\beta$	2.4878192736889626	2.76648644807293
$c^+$	$\alpha$	-0.1629055027194706	0.14622431216900572
$c^+$	$\beta$	3.3860169836400456	3.91201141326708
