		prev (Current Fit)	prev (Current Fit)	next (Current Fit)	next (Current Fit)
		Min	Max	Min	Max
$\Sigma$	$\alpha$	1.05	1.19	1.2539921829811451	1.2539921829811451
$\Sigma$	$\beta$	1.47	2.7	2.4104044500900543	2.55765229511513
$g$	$\alpha$	0.94	1.25	1.2097101555199727	1.2097101555199727
$g$	$\beta$	0.11	5.87	4.778676691979184	4.8706894080407395
$V$	$\alpha$	0.54	0.75	0.8388986170683439	0.8905362732999502
$V$	$\beta$	1.15	2.76	0.0	1.5404998842189568
$V3$	$\alpha$	0.21	0.57	0.7710641687201966	0.9401359347349568
$V3$	$\beta$	1.35	3.08	0.4226448407356339	1.0754409430520053
$V8$	$\alpha$	0.52	0.76	0.816110634377052	0.8345340008755664
$V8$	$\beta$	0.77	3.56	2.814551595705619	3.031722001119542
$T3$	$\alpha$	-0.37	1.52	0.5934513591606692	0.7149410270391494
$T3$	$\beta$	1.74	3.39	2.8428875311108186	2.9145014607169757
$T8$	$\alpha$	0.56	1.29	0.7089783033530923	0.7103359114625466
$T8$	$\beta$	1.45	3.03	2.1186636824791374	2.8031316155642627
$c^+$	$\alpha$	0.12	1.19	0.29483798244222076	0.36612389970959686
$c^+$	$\beta$	1.83	6.7	3.1739090065704136	3.3584522083287127
