#: table_doi: 10.17182/hepdata.6191.v1/t21
#: name: Table 21
#: description: R=SIG(L)/SIG(T) is taken to be R(QCD).

#: data_file: Table21.yaml
#: keyword reactions: MU+ DEUT --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: P [GEV],120 TO 280
#: RE,MU+ DEUT --> MU+ X
#: X,0.55
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between the 120 and 200 GeV data and 1.5 PCT between the 280 and 200 GeV data +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between the 120 and 200 GeV data and 1.5 PCT between the 280 and 200 GeV data -"
15.0,0.05873,0.00241,-0.00241,0.00268,-0.00268,3.0%,-3.0%
17.0,0.05719,0.00256,-0.00256,0.0023,-0.0023,3.0%,-3.0%
19.0,0.06293,0.00303,-0.00303,0.00206,-0.00206,3.0%,-3.0%
21.5,0.05927,0.00264,-0.00264,0.00177,-0.00177,3.0%,-3.0%
24.5,0.05603,0.0028,-0.0028,0.00147,-0.00147,3.0%,-3.0%
28.0,0.05914,0.00172,-0.00172,0.00132,-0.00132,3.0%,-3.0%
32.5,0.0555,0.00128,-0.00128,0.00149,-0.00149,3.0%,-3.0%
37.5,0.05434,0.00144,-0.00144,0.00125,-0.00125,3.0%,-3.0%
43.0,0.05401,0.00111,-0.00111,0.0013,-0.0013,3.0%,-3.0%
49.5,0.05363,0.00114,-0.00114,0.00111,-0.00111,3.0%,-3.0%
57.0,0.05314,0.00114,-0.00114,0.0009,-0.0009,3.0%,-3.0%
65.5,0.05192,0.0012,-0.0012,0.00076,-0.00076,3.0%,-3.0%
75.0,0.05267,0.00132,-0.00132,0.00068,-0.00068,3.0%,-3.0%
86.0,0.04833,0.00143,-0.00143,0.00057,-0.00057,3.0%,-3.0%
99.0,0.05057,0.00177,-0.00177,0.00057,-0.00057,3.0%,-3.0%
115.5,0.04886,0.00176,-0.00176,0.00048,-0.00048,3.0%,-3.0%
137.5,0.04519,0.00185,-0.00185,0.00042,-0.00042,3.0%,-3.0%
175.0,0.03951,0.00314,-0.00314,0.00042,-0.00042,3.0%,-3.0%
230.0,0.04192,0.00463,-0.00463,0.00036,-0.00036,3.0%,-3.0%

