#: table_doi: 10.17182/hepdata.89322.v1/t6
#: name: Table 5a
#: description: Size of the $W^{+}$ the cross-section (differential in $\eta_{\mu}$, as a function of $|\eta_{\mu}|$. The central values are provided along with the statistical and systematic uncertainties together with the sign information. gThe uncertainties are given in percent.
#: data_file: systematic_paper_hepdata_wp.yaml
#: keyword reactions: P P --> W X
#: keyword observables: SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Proton-Proton Scattering | W Production | Charge Asymmetry | Systematic Uncertainties
#: keyword cmenergies: 8000.0
#: RE,,,P P --> (W+) X
#: SQRT(S) [GeV],,,8000.0
#: ,,,Individual cross-sections, sums and ratio
Absolute muon $\eta$,Absolute muon $\eta$ LOW,Absolute muon $\eta$ HIGH,W+,"sys,Muon ID Smearing +","sys,Muon ID Smearing -","sys,Muon MS Smearing +","sys,Muon MS Smearing -","sys,Muon Scale +","sys,Muon Scale -","sys,Muon TrigEff Isolation +","sys,Muon TrigEff Isolation -","sys,Muon TrigEff Mass Win +","sys,Muon TrigEff Mass Win -","sys,Muon TrigEff Stat. +","sys,Muon TrigEff Stat. -","sys,Muon RecoEff Syst +","sys,Muon RecoEff Syst -","sys,Muon Sagitta +","sys,Muon Sagitta -","sys,Muon IsoEff +","sys,Muon IsoEff -","sys,Muon D0Eff +","sys,Muon D0Eff -","sys,Muon RecoEff Stat +","sys,Muon RecoEff Stat -","sys,SoftTrkScale +","sys,SoftTrkScale -","sys,SoftTrkResoCorr +","sys,SoftTrkResoCorr -","sys,MET Jet Syst 0 +","sys,MET Jet Syst 0 -","sys,MET Jet Syst 1 +","sys,MET Jet Syst 1 -","sys,MET Jet Syst 2 +","sys,MET Jet Syst 2 -","sys,MET Jet Syst 3 +","sys,MET Jet Syst 3 -","sys,MET Jet Syst 4 +","sys,MET Jet Syst 4 -","sys,MET Jet Syst 5 +","sys,MET Jet Syst 5 -","sys,MET Jet Syst 6 +","sys,MET Jet Syst 6 -","sys,MET Jet Syst 7 +","sys,MET Jet Syst 7 -","sys,MET Jet Syst 8 +","sys,MET Jet Syst 8 -","sys,MET Jet Syst 9 +","sys,MET Jet Syst 9 -","sys,MET Jet Syst 10 +","sys,MET Jet Syst 10 -","sys,MET Jet Syst 11 +","sys,MET Jet Syst 11 -","sys,MET Jet Syst 12 +","sys,MET Jet Syst 12 -","sys,MET Jet Syst 13 +","sys,MET Jet Syst 13 -","sys,WW +","sys,WW -","sys,WZ +","sys,WZ -","sys,ZZ +","sys,ZZ -","sys,Wtaunu +","sys,Wtaunu -","sys,Ztautau +","sys,Ztautau -","sys,Zmumu +","sys,Zmumu -","sys,ttbar +","sys,ttbar -","sys,photon +","sys,photon -","sys,single top +","sys,single top -","sys,Z-vertex +","sys,Z-vertex -","sys,PDF CT14 +","sys,PDF CT14 -","sys,PDF MSTW +","sys,PDF MSTW -","sys,Pileup +","sys,Pileup -","sys,Modelling +","sys,Modelling -","sys,MJ - Extrap Bkg +","sys,MJ - Extrap Bkg -","sys,MJ - Method Corr +","sys,MJ - Method Corr -","sys,MJ - Method Uncorr +","sys,MJ - Method Uncorr -","sys,MJ - Uncorr +","sys,MJ - Uncorr -","sys,F/B Compatibility +","sys,F/B Compatibility -","sys,MC stat. unc +","sys,MC stat. unc -",stat +,stat -
0.105,0.0,0.21,630,-0.02,0.02,-0.03,0.03,-0.08,0.08,0.01,-0.01,0.06,-0.06,0.0,-0.0,-0.37,0.37,0.02,-0.02,-0.02,0.02,-0.1,0.1,-0.08,0.08,0.26,-0.26,0.35,-0.35,0.1,-0.1,-0.02,0.02,0.0,-0.0,0.01,-0.01,0.0,-0.0,0.01,-0.01,0.04,-0.04,0.03,-0.03,0.0,-0.0,0.0,-0.0,-0.02,0.02,-0.01,0.01,0.01,-0.01,0.01,-0.01,-0.01,0.01,-0.0,0.0,-0.0,0.0,-0.11,0.11,-0.0,0.0,-0.04,0.04,-0.04,0.04,-0.0,0.0,-0.01,0.01,0.01,-0.01,0.02,-0.02,0.01,-0.01,-0.13,0.13,0.67,-0.67,-0.4,0.4,-0.14,0.14,-0.14,0.14,-0.1,0.1,0.0,-0.0,0.17,-0.17,0.06,-0.06
0.315,0.21,0.42,635,-0.02,0.02,0.01,-0.01,-0.06,0.06,-0.01,0.01,-0.02,0.02,0.0,-0.0,-0.16,0.16,-0.0,0.0,-0.02,0.02,-0.1,0.1,-0.02,0.02,0.27,-0.27,0.39,-0.39,0.09,-0.09,-0.02,0.02,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.01,-0.01,0.02,-0.02,0.02,-0.02,0.0,-0.0,0.0,-0.0,-0.01,0.01,-0.01,0.01,-0.0,0.0,-0.0,0.0,-0.01,0.01,-0.0,0.0,-0.0,0.0,-0.11,0.11,-0.0,0.0,-0.04,0.04,-0.04,0.04,-0.0,0.0,-0.01,0.01,0.03,-0.03,0.01,-0.01,0.0,-0.0,-0.09,0.09,0.4,-0.4,-0.39,0.39,-0.06,0.06,-0.06,0.06,-0.08,0.08,0.0,-0.0,0.13,-0.13,0.05,-0.05
0.525,0.42,0.63,642,-0.03,0.03,-0.03,0.03,-0.07,0.07,0.0,-0.0,-0.02,0.02,0.0,-0.0,-0.17,0.17,-0.02,0.02,-0.02,0.02,-0.1,0.1,-0.02,0.02,0.27,-0.27,0.38,-0.38,0.1,-0.1,-0.02,0.02,-0.0,0.0,0.01,-0.01,-0.0,0.0,0.01,-0.01,0.03,-0.03,0.03,-0.03,0.0,-0.0,0.0,-0.0,-0.02,0.02,-0.02,0.02,-0.0,0.0,-0.0,0.0,-0.01,0.01,-0.0,0.0,-0.0,0.0,-0.1,0.1,-0.0,0.0,-0.06,0.06,-0.04,0.04,-0.0,0.0,-0.01,0.01,0.01,-0.01,0.01,-0.01,0.0,-0.0,-0.1,0.1,0.31,-0.31,-0.37,0.37,-0.05,0.05,-0.05,0.05,-0.08,0.08,0.39,-0.39,0.13,-0.13,0.05,-0.05
0.735,0.63,0.84,638,0.04,-0.04,-0.01,0.01,-0.06,0.06,-0.03,0.03,0.04,-0.04,0.0,-0.0,-0.17,0.17,0.01,-0.01,-0.02,0.02,-0.11,0.11,-0.02,0.02,0.25,-0.25,0.44,-0.44,0.09,-0.09,-0.01,0.01,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.01,-0.01,0.02,-0.02,0.02,-0.02,0.0,-0.0,0.0,-0.0,-0.02,0.02,-0.01,0.01,-0.0,0.0,-0.0,0.0,-0.01,0.01,-0.0,0.0,-0.0,0.0,-0.1,0.1,-0.0,0.0,-0.08,0.08,-0.03,0.03,-0.0,0.0,-0.01,0.01,0.03,-0.03,0.02,-0.02,0.01,-0.01,-0.12,0.12,0.31,-0.31,-0.39,0.39,-0.08,0.08,-0.08,0.08,-0.09,0.09,0.0,-0.0,0.14,-0.14,0.06,-0.06
0.9450000000000001,0.84,1.05,643,-0.02,0.02,-0.01,0.01,-0.06,0.06,0.05,-0.05,0.09,-0.09,0.0,-0.0,-0.17,0.17,0.0,-0.0,-0.02,0.02,-0.11,0.11,-0.02,0.02,0.28,-0.28,0.52,-0.52,0.09,-0.09,-0.02,0.02,-0.0,0.0,-0.01,0.01,-0.0,0.0,0.01,-0.01,0.03,-0.03,0.02,-0.02,0.0,-0.0,0.0,-0.0,-0.01,0.01,-0.02,0.02,-0.0,0.0,-0.0,0.0,-0.01,0.01,-0.0,0.0,-0.0,0.0,-0.1,0.1,-0.0,0.0,-0.11,0.11,-0.03,0.03,-0.0,0.0,-0.01,0.01,0.0,-0.0,0.0,-0.0,0.02,-0.02,-0.1,0.1,0.37,-0.37,-0.35,0.35,-0.1,0.1,-0.1,0.1,-0.09,0.09,0.22,-0.22,0.14,-0.14,0.06,-0.06
1.21,1.05,1.37,655,0.0,-0.0,-0.0,0.0,-0.1,0.1,0.01,-0.01,0.02,-0.02,0.0,-0.0,-0.19,0.19,-0.02,0.02,-0.02,0.02,-0.11,0.11,-0.02,0.02,0.27,-0.27,0.48,-0.48,0.1,-0.1,-0.02,0.02,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.01,-0.01,0.04,-0.04,0.02,-0.02,0.0,-0.0,0.0,-0.0,-0.01,0.01,-0.01,0.01,0.0,-0.0,0.0,-0.0,-0.01,0.01,-0.0,0.0,-0.0,0.0,-0.1,0.1,-0.0,0.0,-0.15,0.15,-0.02,0.02,-0.0,0.0,-0.01,0.01,0.02,-0.02,0.01,-0.01,-0.0,0.0,-0.11,0.11,0.57,-0.57,-0.33,0.33,-0.07,0.07,-0.07,0.07,-0.06,0.06,0.24,-0.24,0.09,-0.09,0.04,-0.04
1.445,1.37,1.52,661,0.02,-0.02,-0.01,0.01,-0.07,0.07,0.0,-0.0,-0.05,0.05,0.0,-0.0,-0.16,0.16,-0.04,0.04,-0.02,0.02,-0.11,0.11,-0.02,0.02,0.26,-0.26,0.48,-0.48,0.09,-0.09,-0.02,0.02,0.0,-0.0,0.01,-0.01,-0.0,0.0,0.01,-0.01,0.04,-0.04,0.03,-0.03,0.0,-0.0,0.0,-0.0,-0.01,0.01,-0.02,0.02,0.0,-0.0,0.0,-0.0,-0.01,0.01,-0.0,0.0,-0.0,0.0,-0.1,0.1,-0.0,0.0,-0.19,0.19,-0.02,0.02,-0.0,0.0,-0.01,0.01,0.01,-0.01,-0.0,0.0,0.01,-0.01,-0.12,0.12,0.86,-0.86,-0.34,0.34,-0.06,0.06,-0.06,0.06,-0.09,0.09,0.0,-0.0,0.12,-0.12,0.06,-0.06
1.63,1.52,1.74,662,0.01,-0.01,0.03,-0.03,-0.09,0.09,0.02,-0.02,-0.02,0.02,0.0,-0.0,-0.16,0.16,-0.02,0.02,-0.02,0.02,-0.11,0.11,-0.02,0.02,0.25,-0.25,0.56,-0.56,0.08,-0.08,-0.01,0.01,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.01,-0.01,0.03,-0.03,0.02,-0.02,0.0,-0.0,0.0,-0.0,-0.01,0.01,-0.01,0.01,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.1,0.1,-0.0,0.0,-0.22,0.22,-0.02,0.02,-0.0,0.0,-0.01,0.01,0.03,-0.03,-0.01,0.01,0.0,-0.0,-0.13,0.13,0.97,-0.97,-0.24,0.24,-0.14,0.14,-0.14,0.14,-0.07,0.07,0.16,-0.16,0.1,-0.1,0.05,-0.05
1.845,1.74,1.95,662,0.05,-0.05,0.03,-0.03,-0.08,0.08,0.01,-0.01,0.02,-0.02,0.0,-0.0,-0.22,0.22,0.02,-0.02,-0.02,0.02,-0.11,0.11,-0.02,0.02,0.24,-0.24,0.55,-0.55,0.1,-0.1,-0.02,0.02,-0.0,0.0,-0.01,0.01,-0.0,0.0,0.01,-0.01,0.05,-0.05,0.02,-0.02,0.0,-0.0,0.0,-0.0,-0.02,0.02,-0.02,0.02,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.1,0.1,-0.0,0.0,-0.25,0.25,-0.01,0.01,-0.0,0.0,-0.01,0.01,0.02,-0.02,-0.01,0.01,0.02,-0.02,-0.14,0.14,0.85,-0.85,-0.23,0.23,-0.1,0.1,-0.1,0.1,-0.07,0.07,0.34,-0.34,0.1,-0.1,0.05,-0.05
2.065,1.95,2.18,658,0.02,-0.02,0.01,-0.01,-0.14,0.14,0.03,-0.03,0.06,-0.06,0.0,-0.0,-0.21,0.21,0.04,-0.04,-0.02,0.02,-0.11,0.11,-0.02,0.02,0.18,-0.18,0.5,-0.5,0.08,-0.08,-0.02,0.02,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.01,-0.01,0.04,-0.04,0.03,-0.03,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.02,0.02,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.11,0.11,-0.0,0.0,-0.28,0.28,-0.01,0.01,-0.0,0.0,-0.0,0.0,0.03,-0.03,0.01,-0.01,0.02,-0.02,-0.16,0.16,0.76,-0.76,-0.26,0.26,-0.09,0.09,-0.09,0.09,-0.07,0.07,0.39,-0.39,0.1,-0.1,0.05,-0.05
