coalition_labels,size,chi2,is_outlier
sbar|dbar|g|u|c,5,0.00013617,0
sbar|g|u|c,4,0.00013336,0
sbar|dbar|g|d|u|c,6,0.00013275,0
sbar|g|d|u|c,5,0.00012995,0
sbar|dbar|u|c,4,0.00012934,0
sbar|u|c,3,0.00012652,0
sbar|dbar|d|u|c,5,0.00012589,0
sbar|d|u|c,4,0.00012308,0
sbar|dbar|g|u,4,0.00010396,0
sbar|g|u,3,0.00010152,0
sbar|dbar|g|d|u,5,0.00010070,0
sbar|g|d|u,4,0.00009827,0
sbar|dbar|u,3,0.00009710,0
sbar|u,2,0.00009465,0
sbar|dbar|d|u,4,0.00009381,0
sbar|d|u,3,0.00009137,0
sbar|dbar|g|c,4,0.00007947,0
sbar|g|c,3,0.00007684,0
sbar|dbar|g|d|c,5,0.00007612,0
sbar|g|d|c,4,0.00007350,0
sbar|dbar|c,3,0.00007262,0
sbar|dbar|g,3,0.00007241,0
sbar|g,2,0.00007016,0
sbar|c,2,0.00006998,0
sbar|dbar|d|c,4,0.00006924,0
sbar|dbar|g|d,4,0.00006922,0
sbar|g|d,3,0.00006698,0
sbar|d|c,3,0.00006661,0
sbar|dbar,2,0.00006553,0
sbar,1,0.00006327,0
sbar|dbar|d,3,0.00006231,0
sbar|d,2,0.00006006,0
g,1,0.00000692,0
dbar|g,2,0.00000654,0
g|d,2,0.00000530,0
dbar|g|d,3,0.00000491,0
,0,0.00000000,0
dbar,1,-0.00000037,0
d,1,-0.00000166,0
dbar|d,2,-0.00000203,0
g|u,2,-0.00004425,0
dbar|g|u,3,-0.00004445,0
g|d|u,3,-0.00004594,0
dbar|g|d|u,4,-0.00004615,0
u,1,-0.00005115,0
dbar|u,2,-0.00005134,0
d|u,2,-0.00005287,0
dbar|d|u,3,-0.00005307,0
sbar|ubar|dbar|g|u|c,6,-0.00009014,0
sbar|ubar|g|u|c,5,-0.00009280,0
sbar|ubar|dbar|g|d|u|c,7,-0.00009324,0
sbar|ubar|g|d|u|c,6,-0.00009590,0
sbar|ubar|dbar|u|c,5,-0.00009705,0
sbar|ubar|u|c,4,-0.00009971,0
sbar|ubar|dbar|d|u|c,6,-0.00010018,0
sbar|ubar|d|u|c,5,-0.00010284,0
sbar|ubar|dbar|g|u,5,-0.00011474,0
sbar|ubar|g|u,4,-0.00011703,0
sbar|ubar|dbar|g|d|u,6,-0.00011769,0
sbar|ubar|g|d|u,5,-0.00011997,0
sbar|ubar|dbar|u,4,-0.00012169,0
sbar|ubar|u,3,-0.00012398,0
sbar|ubar|dbar|d|u,5,-0.00012466,0
sbar|ubar|d|u,4,-0.00012695,0
sbar|ubar|dbar|g,4,-0.00014224,0
sbar|ubar|dbar|g|c,5,-0.00014279,0
sbar|ubar|g,3,-0.00014434,0
sbar|ubar|dbar|g|d,5,-0.00014512,0
sbar|ubar|g|c,4,-0.00014527,0
sbar|ubar|dbar|g|d|c,6,-0.00014583,0
sbar|ubar|g|d,4,-0.00014722,0
sbar|ubar|g|d|c,5,-0.00014830,0
sbar|ubar|dbar,3,-0.00014921,0
sbar|ubar|dbar|c,4,-0.00014972,0
sbar|ubar,2,-0.00015132,0
sbar|ubar|dbar|d,4,-0.00015211,0
sbar|ubar|c,3,-0.00015221,0
sbar|ubar|dbar|d|c,5,-0.00015279,0
g|c,2,-0.00015401,0
dbar|g|c,3,-0.00015402,0
sbar|ubar|d,3,-0.00015422,0
sbar|ubar|d|c,4,-0.00015527,0
g|d|c,3,-0.00015580,0
dbar|g|d|c,4,-0.00015581,0
c,1,-0.00016090,0
dbar|c,2,-0.00016091,0
d|c,2,-0.00016272,0
dbar|d|c,3,-0.00016273,0
ubar|g,2,-0.00017298,0
ubar|dbar|g,3,-0.00017351,0
ubar|g|d,3,-0.00017430,0
ubar|dbar|g|d,4,-0.00017483,0
dbar|g|u|c,4,-0.00017984,0
ubar,1,-0.00017999,0
g|u|c,3,-0.00018001,0
ubar|dbar,2,-0.00018051,0
ubar|d,2,-0.00018133,0
dbar|g|d|u|c,5,-0.00018170,0
ubar|dbar|d,3,-0.00018186,0
g|d|u|c,4,-0.00018186,0
dbar|u|c,3,-0.00018670,0
u|c,2,-0.00018688,0
dbar|d|u|c,4,-0.00018859,0
d|u|c,3,-0.00018876,0
cbar|sbar|dbar|g|u|c,6,-0.00020450,0
cbar|sbar|g|u|c,5,-0.00020707,0
cbar|sbar|dbar|g|d|u|c,7,-0.00020733,0
cbar|sbar|g|d|u|c,6,-0.00020988,0
cbar|sbar|dbar|u|c,5,-0.00021142,0
cbar|sbar|u|c,4,-0.00021399,0
cbar|sbar|dbar|d|u|c,6,-0.00021427,0
cbar|sbar|d|u|c,5,-0.00021684,0
cbar|sbar|dbar|g|u,5,-0.00022749,0
ubar|g|u,3,-0.00022820,0
ubar|dbar|g|u,4,-0.00022855,0
ubar|g|d|u,4,-0.00022958,0
cbar|sbar|g|u,4,-0.00022968,0
ubar|dbar|g|d|u,5,-0.00022994,0
cbar|sbar|dbar|g|d|u,6,-0.00023015,0
cbar|sbar|g|d|u,5,-0.00023234,0
cbar|sbar|dbar|u,4,-0.00023444,0
ubar|u,2,-0.00023518,0
ubar|dbar|u,3,-0.00023552,0
ubar|d|u,3,-0.00023659,0
cbar|sbar|u,3,-0.00023664,0
ubar|dbar|d|u,4,-0.00023694,0
cbar|sbar|dbar|d|u,5,-0.00023714,0
cbar|sbar|d|u,4,-0.00023933,0
cbar|g,2,-0.00025054,0
cbar|dbar|g,3,-0.00025117,0
cbar|g|d,3,-0.00025158,0
cbar|dbar|g|d,4,-0.00025221,0
cbar|sbar|dbar|g,4,-0.00025292,0
cbar|sbar|g,3,-0.00025493,0
cbar|sbar|dbar|g|c,5,-0.00025509,0
cbar|sbar|dbar|g|d,5,-0.00025551,0
cbar|sbar|g|c,4,-0.00025746,0
cbar|sbar|g|d,4,-0.00025752,0
cbar,1,-0.00025756,0
cbar|sbar|dbar|g|d|c,6,-0.00025784,0
cbar|dbar,2,-0.00025817,0
cbar|d,2,-0.00025862,0
cbar|dbar|d,3,-0.00025924,0
cbar|sbar|dbar,3,-0.00025989,0
cbar|sbar|g|d|c,5,-0.00026021,0
cbar|sbar,2,-0.00026191,0
cbar|sbar|dbar|c,4,-0.00026203,0
cbar|sbar|dbar|d,4,-0.00026252,0
cbar|sbar|c,3,-0.00026441,0
cbar|sbar|d,3,-0.00026453,0
cbar|sbar|dbar|d|c,5,-0.00026481,0
cbar|sbar|d|c,4,-0.00026719,0
cbar|ubar|g|d|s,5,-0.00029028,0
cbar|ubar|dbar|g|d|s,6,-0.00029352,0
cbar|ubar|g|s,4,-0.00029611,0
cbar|ubar|d|s,4,-0.00029774,0
cbar|ubar|dbar|g|s,5,-0.00029934,0
cbar|ubar|dbar|d|s,5,-0.00030096,0
cbar|ubar|s,3,-0.00030354,0
cbar|ubar|dbar|s,4,-0.00030676,0
cbar|g|u,3,-0.00030783,0
cbar|dbar|g|u,4,-0.00030828,0
cbar|g|d|u,4,-0.00030894,0
cbar|dbar|g|d|u,5,-0.00030938,0
cbar|u,2,-0.00031483,0
cbar|dbar|u,3,-0.00031526,0
cbar|d|u,3,-0.00031596,0
cbar|dbar|d|u,4,-0.00031640,0
ubar|g|c,3,-0.00034154,0
ubar|dbar|g|c,4,-0.00034170,0
ubar|g|d|c,4,-0.00034301,0
ubar|dbar|g|d|c,5,-0.00034318,0
ubar|c,2,-0.00034851,0
ubar|dbar|c,3,-0.00034866,0
ubar|d|c,3,-0.00035002,0
ubar|dbar|d|c,4,-0.00035017,0
cbar|g|d|s,4,-0.00036373,0
cbar|dbar|g|d|s,5,-0.00036682,0
cbar|g|s,3,-0.00036925,0
cbar|d|s,3,-0.00037111,0
ubar|dbar|g|u|c,5,-0.00037156,0
ubar|g|u|c,4,-0.00037158,0
cbar|dbar|g|s,4,-0.00037233,0
ubar|dbar|g|d|u|c,6,-0.00037311,0
ubar|g|d|u|c,5,-0.00037312,0
cbar|dbar|d|s,4,-0.00037418,0
cbar|s,2,-0.00037660,0
ubar|dbar|u|c,4,-0.00037850,0
ubar|u|c,3,-0.00037853,0
cbar|dbar|s,3,-0.00037967,0
ubar|dbar|d|u|c,5,-0.00038008,0
ubar|d|u|c,4,-0.00038010,0
cbar|ubar|g|d|u|s,6,-0.00038650,0
cbar|ubar|g,3,-0.00038790,0
cbar|sbar|ubar|dbar|g|u|c,7,-0.00038828,0
cbar|ubar|g|d,4,-0.00038863,0
cbar|ubar|dbar|g,4,-0.00038868,0
cbar|ubar|dbar|g|d,5,-0.00038941,0
cbar|ubar|dbar|g|d|u|s,7,-0.00038955,0
cbar|sbar|ubar|g|u|c,6,-0.00039069,0
cbar|sbar|ubar|dbar|g|d|u|c,8,-0.00039079,0
cbar|ubar|g|u|s,5,-0.00039227,0
cbar|sbar|ubar|g|d|u|c,7,-0.00039319,0
cbar|ubar|d|u|s,5,-0.00039393,0
cbar|ubar,2,-0.00039500,0
cbar|sbar|ubar|dbar|u|c,6,-0.00039528,0
cbar|ubar|dbar|g|u|s,6,-0.00039531,0
cbar|ubar|d,3,-0.00039575,0
cbar|ubar|dbar,3,-0.00039577,0
cbar|ubar|dbar|d,4,-0.00039652,0
cbar|ubar|dbar|d|u|s,6,-0.00039698,0
cbar|sbar|ubar|u|c,5,-0.00039770,0
cbar|sbar|ubar|dbar|d|u|c,7,-0.00039782,0
cbar|ubar|u|s,4,-0.00039967,0
cbar|sbar|ubar|d|u|c,6,-0.00040023,0
cbar|ubar|dbar|u|s,5,-0.00040271,0
cbar|sbar|ubar|dbar|g|u,6,-0.00040366,0
cbar|sbar|ubar|g|u,5,-0.00040570,0
cbar|sbar|ubar|dbar|g|d|u,7,-0.00040601,0
cbar|sbar|ubar|g|d|u,6,-0.00040804,0
cbar|sbar|ubar|dbar|u,5,-0.00041069,0
cbar|sbar|ubar|u,4,-0.00041274,0
cbar|sbar|ubar|dbar|d|u,6,-0.00041307,0
cbar|sbar|ubar|d|u,5,-0.00041512,0
cbar|g|c,3,-0.00042073,0
cbar|dbar|g|c,4,-0.00042098,0
cbar|g|d|c,4,-0.00042192,0
cbar|dbar|g|d|c,5,-0.00042218,0
cbar|sbar|ubar|dbar|g,5,-0.00042504,0
cbar|sbar|ubar|g,4,-0.00042690,0
cbar|sbar|ubar|dbar|g|d,6,-0.00042732,0
cbar|c,2,-0.00042771,0
cbar|dbar|c,3,-0.00042796,0
cbar|d|c,3,-0.00042893,0
cbar|sbar|ubar|g|d,5,-0.00042918,0
cbar|dbar|d|c,4,-0.00042918,0
cbar|sbar|ubar|dbar,4,-0.00043210,0
cbar|sbar|ubar,3,-0.00043396,0
cbar|sbar|ubar|dbar|d,5,-0.00043441,0
cbar|sbar|ubar|dbar|g|c,6,-0.00043481,0
cbar|sbar|ubar|d,4,-0.00043627,0
cbar|sbar|ubar|g|c,5,-0.00043704,0
cbar|sbar|ubar|dbar|g|d|c,7,-0.00043726,0
cbar|sbar|ubar|g|d|c,6,-0.00043948,0
cbar|sbar|ubar|dbar|c,5,-0.00044184,0
cbar|sbar|ubar|c,4,-0.00044407,0
cbar|sbar|ubar|dbar|d|c,6,-0.00044431,0
cbar|sbar|ubar|d|c,5,-0.00044654,0
cbar|ubar|g|u,4,-0.00044924,0
cbar|ubar|dbar|g|u,5,-0.00044983,0
cbar|ubar|g|d|u,5,-0.00045003,0
cbar|ubar|dbar|g|d|u,6,-0.00045063,0
cbar|g|u|c,4,-0.00045285,0
cbar|dbar|g|u|c,5,-0.00045292,0
cbar|g|d|u|c,5,-0.00045411,0
cbar|dbar|g|d|u|c,6,-0.00045418,0
cbar|g|d|u|s,5,-0.00045591,0
cbar|ubar|u,3,-0.00045632,0
cbar|ubar|dbar|u,4,-0.00045690,0
cbar|ubar|d|u,4,-0.00045713,0
cbar|ubar|dbar|d|u,5,-0.00045772,0
cbar|dbar|g|d|u|s,6,-0.00045881,0
cbar|u|c,3,-0.00045981,0
cbar|dbar|u|c,4,-0.00045987,0
cbar|d|u|c,4,-0.00046110,0
cbar|dbar|d|u|c,5,-0.00046116,0
cbar|g|u|s,4,-0.00046136,0
cbar|d|u|s,4,-0.00046326,0
cbar|dbar|g|u|s,5,-0.00046426,0
cbar|dbar|d|u|s,5,-0.00046616,0
cbar|u|s,3,-0.00046869,0
cbar|dbar|u|s,4,-0.00047158,0
ubar|g|d|s,4,-0.00047296,0
ubar|dbar|g|d|s,5,-0.00047595,0
ubar|g|s,3,-0.00047820,0
ubar|d|s,3,-0.00048033,0
ubar|dbar|g|s,4,-0.00048119,0
ubar|dbar|d|s,4,-0.00048331,0
ubar|s,2,-0.00048554,0
ubar|dbar|s,3,-0.00048851,0
g|d|s,3,-0.00050392,0
dbar|g|d|s,4,-0.00050676,0
g|s,2,-0.00050885,0
d|s,2,-0.00051120,0
dbar|g|s,3,-0.00051168,0
dbar|d|s,3,-0.00051403,0
s,1,-0.00051610,0
dbar|s,2,-0.00051893,0
cbar|ubar|g|d|s|c,6,-0.00055286,0
cbar|ubar|dbar|g|d|s|c,7,-0.00055572,0
cbar|ubar|g|s|c,5,-0.00055853,0
cbar|ubar|d|s|c,5,-0.00056028,0
cbar|ubar|dbar|g|s|c,6,-0.00056139,0
ubar|g|d|u|s,5,-0.00056309,0
cbar|ubar|dbar|d|s|c,6,-0.00056313,0
cbar|ubar|g|c,4,-0.00056571,0
ubar|dbar|g|d|u|s,6,-0.00056590,0
cbar|ubar|s|c,4,-0.00056592,0
cbar|ubar|dbar|g|c,5,-0.00056612,0
cbar|ubar|g|d|c,5,-0.00056660,0
cbar|ubar|dbar|g|d|c,6,-0.00056701,0
ubar|g|u|s,4,-0.00056826,0
cbar|ubar|dbar|s|c,5,-0.00056877,0
ubar|d|u|s,4,-0.00057043,0
ubar|dbar|g|u|s,5,-0.00057106,0
cbar|ubar|c,3,-0.00057278,0
cbar|ubar|dbar|c,4,-0.00057317,0
ubar|dbar|d|u|s,5,-0.00057323,0
cbar|ubar|d|c,4,-0.00057369,0
cbar|ubar|dbar|d|c,5,-0.00057409,0
ubar|u|s,3,-0.00057557,0
ubar|dbar|u|s,4,-0.00057837,0
g|d|u|s,4,-0.00059000,0
dbar|g|d|u|s,5,-0.00059266,0
g|u|s,3,-0.00059486,0
d|u|s,3,-0.00059726,0
dbar|g|u|s,4,-0.00059752,0
dbar|d|u|s,4,-0.00059991,0
cbar|ubar|g|u|c,5,-0.00060188,0
u|s,2,-0.00060210,0
cbar|ubar|dbar|g|u|c,6,-0.00060210,0
cbar|ubar|g|d|u|c,6,-0.00060283,0
cbar|ubar|dbar|g|d|u|c,7,-0.00060305,0
dbar|u|s,3,-0.00060474,0
cbar|ubar|u|c,4,-0.00060892,0
cbar|ubar|dbar|u|c,5,-0.00060913,0
cbar|ubar|d|u|c,5,-0.00060990,0
cbar|ubar|dbar|d|u|c,6,-0.00061012,0
cbar|g|d|s|c,5,-0.00061868,0
cbar|dbar|g|d|s|c,6,-0.00062139,0
cbar|ubar|g|d|u|s|c,7,-0.00062392,0
cbar|g|s|c,4,-0.00062404,0
cbar|d|s|c,4,-0.00062602,0
cbar|ubar|dbar|g|d|u|s|c,8,-0.00062660,0
cbar|dbar|g|s|c,5,-0.00062675,0
cbar|dbar|d|s|c,5,-0.00062873,0
cbar|ubar|g|u|s|c,6,-0.00062952,0
cbar|ubar|d|u|s|c,6,-0.00063132,0
cbar|s|c,3,-0.00063135,0
cbar|ubar|dbar|g|u|s|c,7,-0.00063220,0
cbar|ubar|dbar|d|u|s|c,7,-0.00063399,0
cbar|dbar|s|c,4,-0.00063405,0
cbar|ubar|u|s|c,5,-0.00063690,0
cbar|ubar|dbar|u|s|c,6,-0.00063956,0
cbar|g|d|u|s|c,6,-0.00068570,0
cbar|dbar|g|d|u|s|c,7,-0.00068823,0
cbar|g|u|s|c,5,-0.00069099,0
cbar|d|u|s|c,5,-0.00069302,0
cbar|dbar|g|u|s|c,6,-0.00069352,0
cbar|dbar|d|u|s|c,6,-0.00069554,0
cbar|u|s|c,4,-0.00069828,0
cbar|dbar|u|s|c,5,-0.00070080,0
ubar|g|d|s|c,5,-0.00072632,0
ubar|dbar|g|d|s|c,6,-0.00072894,0
ubar|g|s|c,4,-0.00073140,0
ubar|d|s|c,4,-0.00073365,0
ubar|dbar|g|s|c,5,-0.00073401,0
ubar|dbar|d|s|c,5,-0.00073626,0
ubar|s|c,3,-0.00073870,0
ubar|dbar|s|c,4,-0.00074131,0
g|d|s|c,4,-0.00074965,0
dbar|g|d|s|c,5,-0.00075212,0
g|s|c,3,-0.00075442,0
dbar|g|s|c,4,-0.00075688,0
d|s|c,3,-0.00075690,0
dbar|d|s|c,4,-0.00075936,0
s|c,2,-0.00076164,0
dbar|s|c,3,-0.00076409,0
ubar|g|d|u|s|c,6,-0.00079128,0
ubar|dbar|g|d|u|s|c,7,-0.00079372,0
ubar|g|u|s|c,5,-0.00079630,0
ubar|d|u|s|c,5,-0.00079859,0
ubar|dbar|g|u|s|c,6,-0.00079873,0
ubar|dbar|d|u|s|c,6,-0.00080102,0
ubar|u|s|c,4,-0.00080358,0
ubar|dbar|u|s|c,5,-0.00080600,0
g|d|u|s|c,5,-0.00081057,0
dbar|g|d|u|s|c,6,-0.00081286,0
g|u|s|c,4,-0.00081527,0
dbar|g|u|s|c,5,-0.00081755,0
d|u|s|c,4,-0.00081780,0
dbar|d|u|s|c,5,-0.00082008,0
u|s|c,3,-0.00082247,0
dbar|u|s|c,4,-0.00082475,0
cbar|sbar|ubar|g|d|s,6,-0.00119292,0
cbar|sbar|ubar|dbar|g|d|s,7,-0.00119352,0
cbar|sbar|ubar|g|s,5,-0.00119719,0
cbar|sbar|ubar|dbar|g|s,6,-0.00119779,0
cbar|sbar|ubar|d|s,5,-0.00120034,0
cbar|sbar|ubar|dbar|d|s,6,-0.00120094,0
cbar|sbar|ubar|s,4,-0.00120459,0
cbar|sbar|ubar|dbar|s,5,-0.00120518,0
cbar|sbar|ubar|g|d|u|s,7,-0.00120665,0
cbar|sbar|ubar|dbar|g|d|u|s,8,-0.00120707,0
cbar|sbar|ubar|g|u|s,6,-0.00121085,0
cbar|sbar|ubar|dbar|g|u|s,7,-0.00121127,0
cbar|sbar|ubar|d|u|s,6,-0.00121405,0
cbar|sbar|ubar|dbar|d|u|s,7,-0.00121446,0
cbar|sbar|ubar|u|s,5,-0.00121823,0
cbar|sbar|ubar|dbar|u|s,6,-0.00121864,0
cbar|sbar|g|d|s,5,-0.00123168,0
cbar|sbar|dbar|g|d|s,6,-0.00123213,0
cbar|sbar|g|s,4,-0.00123564,0
cbar|sbar|dbar|g|s,5,-0.00123609,0
cbar|sbar|d|s,4,-0.00123902,0
cbar|sbar|dbar|d|s,5,-0.00123947,0
cbar|sbar|g|d|u|s,6,-0.00124136,0
cbar|sbar|dbar|g|d|u|s,7,-0.00124163,0
cbar|sbar|s,3,-0.00124295,0
cbar|sbar|dbar|s,4,-0.00124339,0
cbar|sbar|g|u|s,5,-0.00124526,0
cbar|sbar|dbar|g|u|s,6,-0.00124552,0
cbar|sbar|d|u|s,5,-0.00124868,0
cbar|sbar|dbar|d|u|s,6,-0.00124895,0
cbar|sbar|u|s,4,-0.00125255,0
cbar|sbar|dbar|u|s,5,-0.00125281,0
cbar|sbar|ubar|g|d|u|s|c,8,-0.00127628,0
cbar|sbar|ubar|dbar|g|d|u|s|c,9,-0.00127633,0
cbar|sbar|ubar|g|u|s|c,7,-0.00128032,0
cbar|sbar|ubar|dbar|g|u|s|c,8,-0.00128037,0
cbar|sbar|ubar|d|u|s|c,7,-0.00128365,0
cbar|sbar|ubar|dbar|d|u|s|c,8,-0.00128369,0
cbar|sbar|ubar|u|s|c,6,-0.00128767,0
cbar|sbar|ubar|g|d|s|c,7,-0.00128769,0
cbar|sbar|ubar|dbar|u|s|c,7,-0.00128770,0
cbar|sbar|ubar|dbar|g|d|s|c,8,-0.00128792,0
cbar|sbar|ubar|g|s|c,6,-0.00129180,0
cbar|sbar|ubar|dbar|g|s|c,7,-0.00129202,0
cbar|sbar|ubar|d|s|c,6,-0.00129508,0
cbar|sbar|ubar|dbar|d|s|c,7,-0.00129530,0
cbar|sbar|ubar|s|c,5,-0.00129916,0
cbar|sbar|ubar|dbar|s|c,6,-0.00129938,0
cbar|sbar|dbar|g|d|u|s|c,8,-0.00130328,0
cbar|sbar|g|d|u|s|c,7,-0.00130338,0
sbar|g|d|s,4,-0.00130435,0
sbar|dbar|g|d|s,5,-0.00130456,0
cbar|sbar|dbar|g|u|s|c,7,-0.00130701,0
cbar|sbar|g|u|s|c,6,-0.00130712,0
sbar|g|s,3,-0.00130771,0
sbar|dbar|g|s,4,-0.00130792,0
sbar|g|d|u|s,5,-0.00130794,0
sbar|dbar|g|d|u|s,6,-0.00130797,0
sbar|ubar|g|d|s,5,-0.00130807,0
sbar|ubar|dbar|g|d|s,6,-0.00130843,0
cbar|sbar|dbar|d|u|s|c,7,-0.00131056,0
cbar|sbar|d|u|s|c,6,-0.00131067,0
sbar|g|u|s,4,-0.00131124,0
sbar|dbar|g|u|s,5,-0.00131126,0
sbar|d|s,3,-0.00131160,0
sbar|ubar|g|s,4,-0.00131175,0
sbar|dbar|d|s,4,-0.00131180,0
sbar|ubar|dbar|g|s,5,-0.00131211,0
cbar|sbar|dbar|u|s|c,6,-0.00131426,0
cbar|sbar|u|s|c,5,-0.00131438,0
sbar|s,2,-0.00131494,0
sbar|dbar|s,3,-0.00131513,0
sbar|d|u|s,4,-0.00131517,0
sbar|dbar|d|u|s,5,-0.00131519,0
sbar|ubar|d|s,4,-0.00131541,0
sbar|ubar|g|d|u|s,6,-0.00131571,0
sbar|ubar|dbar|d|s,5,-0.00131576,0
sbar|ubar|dbar|g|d|u|s,7,-0.00131589,0
sbar|u|s,3,-0.00131845,0
sbar|dbar|u|s,4,-0.00131846,0
cbar|sbar|g|d|s|c,6,-0.00131883,0
cbar|sbar|dbar|g|d|s|c,7,-0.00131892,0
sbar|ubar|s,3,-0.00131906,0
sbar|ubar|g|u|s,5,-0.00131932,0
sbar|ubar|dbar|s,4,-0.00131940,0
sbar|ubar|dbar|g|u|s,6,-0.00131949,0
cbar|sbar|g|s|c,5,-0.00132263,0
cbar|sbar|dbar|g|s|c,6,-0.00132271,0
sbar|ubar|d|u|s,5,-0.00132302,0
sbar|ubar|dbar|d|u|s,6,-0.00132319,0
cbar|sbar|d|s|c,5,-0.00132614,0
cbar|sbar|dbar|d|s|c,6,-0.00132622,0
sbar|ubar|u|s,4,-0.00132661,0
sbar|ubar|dbar|u|s,5,-0.00132677,0
cbar|sbar|s|c,4,-0.00132992,0
cbar|sbar|dbar|s|c,5,-0.00132998,0
sbar|dbar|g|d|u|s|c,7,-0.00136043,0
sbar|g|d|u|s|c,6,-0.00136077,0
sbar|dbar|g|u|s|c,6,-0.00136356,0
sbar|g|u|s|c,5,-0.00136391,0
sbar|dbar|d|u|s|c,6,-0.00136762,0
sbar|d|u|s|c,5,-0.00136797,0
sbar|dbar|u|s|c,5,-0.00137072,0
sbar|u|s|c,4,-0.00137108,0
sbar|ubar|dbar|g|d|u|s|c,8,-0.00137596,0
sbar|ubar|g|d|u|s|c,7,-0.00137615,0
sbar|ubar|dbar|g|u|s|c,7,-0.00137940,0
sbar|ubar|g|u|s|c,6,-0.00137960,0
sbar|dbar|g|d|s|c,6,-0.00138215,0
sbar|g|d|s|c,5,-0.00138231,0
sbar|ubar|dbar|d|u|s|c,7,-0.00138323,0
sbar|ubar|d|u|s|c,6,-0.00138343,0
sbar|dbar|g|s|c,5,-0.00138536,0
sbar|g|s|c,4,-0.00138552,0
