THPREDICTIONS LHeC160CCEM  NNPDF31sx_nnlonllx_as_0118
0    1.65883             0.0374019
1    1.9698              0.0152332
2    2.0588              0.0335093
3    1.77728             0.0315424
4    1.56322             0.0250697
5    1.23116             0.0158363
6    0.946388            0.0111
7    0.82065             0.0115449
8    0.628499            0.0116624
9    0.467769            0.00950095
10   0.312882            0.0105718
11   1.82333             0.0130077
12   1.76606             0.0235463
13   1.59172             0.0209384
14   1.26422             0.0142743
15   0.960678            0.0105546
16   0.82331             0.0111688
17   0.612272            0.0110451
18   0.445906            0.00890579
19   0.291636            0.00963895
20   0.165594            0.0112329
21   0.0735031           0.020363
22   0.0316776           0.0160285
23   0.00934213          0.0150983
24   1.49347             0.0102235
25   1.47934             0.013103
26   1.25493             0.0116009
27   0.963913            0.00981439
28   0.819668            0.0106937
29   0.591172            0.0103366
30   0.419869            0.00823445
31   0.267394            0.00875157
32   0.148219            0.0100257
33   0.0634672           0.0189463
34   0.026674            0.0143569
35   0.00761228          0.0127178
36   1.11717             0.0151356
37   1.22533             0.0093314
38   1.17901             0.0089353
39   0.94804             0.00916867
40   0.809465            0.010303
41   0.575302            0.00984554
42   0.402015            0.00780398
43   0.251473            0.0082332
44   0.137102            0.00927251
45   0.0575097           0.0177945
46   0.0237204           0.0133928
47   0.00663555          0.0112364
48   1.01363             0.00736087
49   0.905394            0.00845135
50   0.788741            0.00983217
51   0.559017            0.00936245
52   0.385446            0.0074185
53   0.237281            0.00777384
54   0.127395            0.00860983
55   0.0525492           0.0166393
56   0.0212765           0.0125337
57   0.00584983          0.00996482
58   0.785935            0.00800558
59   0.733707            0.0090518
60   0.535261            0.00867583
61   0.364977            0.00692806
62   0.22074             0.00714459
63   0.116357            0.00777103
64   0.0471725           0.0150628
65   0.0186266           0.0114193
66   0.00502023          0.00850033
67   0.667169            0.00871244
68   0.663633            0.00854286
69   0.513622            0.00807476
70   0.350056            0.00652611
71   0.209651            0.00654521
72   0.109167            0.00704976
73   0.0438498           0.0137186
74   0.0169558           0.010482
75   0.00450928          0.00746814
76   0.487095            0.00742343
77   0.335076            0.00607551
78   0.199611            0.00573931
79   0.10287             0.0061155
80   0.0411122           0.012069
81   0.0155043           0.00933215
82   0.00407377          0.00641063
83   0.314847            0.00555609
84   0.187669            0.00448156
85   0.0957906           0.00444236
86   0.0383572           0.0091223
87   0.0138426           0.00726674
88   0.00358583          0.00483888
89   0.0910295           0.00341476
90   0.0367154           0.00664358
91   0.0127375           0.00546365
92   0.00326748          0.00359803
