#        Ep        Ee   eCharge      ePol    Lumifb    lhapdf        NC        CC     itarg    erunco
#     7000.       60.        1.      0.00    100.00     21000         0         1         1      0.50
#     q2         x       y  thetaj    sigrCC    nevent   estat   eunco   esyst    etot
     100. 0.00008500 0.70028   7.5   7.97635  0.56E+05    0.42    0.50    2.00    2.10
     100. 0.00020000 0.29762  26.4   8.62402  0.18E+06    0.24    0.50    2.00    2.08
     100. 0.00050000 0.11905  66.6   7.59768  0.13E+06    0.28    0.50    2.00    2.08
     100. 0.00085000 0.07003  97.9   6.63437  0.46E+05    0.47    0.50    2.00    2.11
     100. 0.00200000 0.02976 140.1   5.08337  0.11E+06    0.30    0.50    2.00    2.08
     100. 0.00500000 0.01190 163.6   3.70395  0.62E+05    0.40    0.50    2.00    2.10
     100. 0.00850000 0.00700 170.4   3.06521  0.21E+05    0.68    0.50    2.00    2.17
     100. 0.02000000 0.00298 175.9   2.24783  0.50E+05    0.45    0.50    2.00    2.11
     100. 0.05000000 0.00119 178.4   1.57348  0.20E+05    0.71    0.50    2.00    2.18
     200. 0.00020000 0.59524  14.4   7.60214  0.35E+06    0.17    0.50    2.00    2.07
     200. 0.00050000 0.23810  46.7   7.80710  0.32E+06    0.18    0.50    2.00    2.07
     200. 0.00085000 0.14006  75.9   7.12531  0.12E+06    0.28    0.50    2.00    2.08
     200. 0.00200000 0.05952 125.0   5.59634  0.31E+06    0.18    0.50    2.00    2.07
     200. 0.00500000 0.02381 156.9   4.05395  0.17E+06    0.24    0.50    2.00    2.08
     200. 0.00850000 0.01401 166.4   3.31766  0.58E+05    0.41    0.50    2.00    2.10
     200. 0.02000000 0.00595 174.2   2.37358  0.13E+06    0.27    0.50    2.00    2.08
     200. 0.05000000 0.00238 177.7   1.60956  0.69E+05    0.38    0.50    2.00    2.10
     200. 0.08500000 0.00140 178.6   1.23481  0.31E+05    0.57    0.50    2.00    2.14
     500. 0.00050000 0.59524  22.5   6.38508  0.63E+06    0.13    0.50    2.00    2.07
     500. 0.00085000 0.35014  46.4   6.60848  0.27E+06    0.19    0.50    2.00    2.07
     500. 0.00200000 0.14881  98.2   5.81766  0.73E+06    0.12    0.50    2.00    2.06
     500. 0.00500000 0.05952 143.5   4.35612  0.42E+06    0.15    0.50    2.00    2.07
     500. 0.00850000 0.03501 158.3   3.55885  0.14E+06    0.26    0.50    2.00    2.08
     500. 0.02000000 0.01488 170.8   2.49805  0.32E+06    0.18    0.50    2.00    2.07
     500. 0.05000000 0.00595 176.3   1.64019  0.16E+06    0.25    0.50    2.00    2.08
     500. 0.08500000 0.00350 177.8   1.23106  0.94E+05    0.33    0.50    2.00    2.09
     500. 0.20000000 0.00149 179.1   0.63956  0.31E+05    0.57    0.50    2.00    2.14
    1000. 0.00085000 0.70028  23.3   5.21336  0.35E+06    0.17    0.50    2.00    2.07
    1000. 0.00200000 0.29762  73.2   5.34947  0.11E+07    0.10    0.50    2.00    2.06
    1000. 0.00500000 0.11905 128.6   4.36100  0.68E+06    0.12    0.50    2.00    2.07
    1000. 0.00850000 0.07003 149.2   3.62273  0.23E+06    0.21    0.50    2.00    2.07
    1000. 0.02000000 0.02976 166.9   2.54816  0.53E+06    0.14    0.50    2.00    2.07
    1000. 0.05000000 0.01190 174.8   1.64840  0.26E+06    0.20    0.50    2.00    2.07
    1000. 0.08500000 0.00700 176.9   1.22154  0.15E+06    0.26    0.50    2.00    2.08
    1000. 0.20000000 0.00298 178.7   0.61723  0.59E+05    0.41    0.50    2.00    2.10
    1000. 0.30000001 0.00198 179.1   0.34662  0.22E+05    0.68    0.50    2.00    2.17
    1000. 0.40000001 0.00149 179.4   0.17328  0.81E+04    1.11    0.50    3.33    3.55
    1000. 0.50000000 0.00119 179.5   0.07199  0.16E+04    2.54    0.50    4.67    5.34
    2000. 0.00200000 0.59524  43.4   4.20147  0.12E+07    0.09    0.50    2.00    2.06
    2000. 0.00500000 0.23810 107.6   4.02200  0.11E+07    0.10    0.50    2.00    2.06
    2000. 0.00850000 0.14006 135.9   3.50253  0.39E+06    0.16    0.50    2.00    2.07
    2000. 0.02000000 0.05952 161.3   2.53545  0.89E+06    0.11    0.50    2.00    2.06
