THPREDICTIONS FCCCC  NNPDF31sx_nnlonllx_as_0118
0    6.74203             0.50283
1    6.56348             0.33688
2    5.97363             0.229919
3    4.88842             0.163625
4    3.81045             0.120527
5    3.2658              0.0966174
6    2.51238             0.0634227
7    1.85882             0.0378309
8    5.95871             0.205697
9    6.22582             0.155348
10   5.64023             0.133153
11   4.5151              0.110276
12   3.85852             0.0903984
13   2.9176              0.0598028
14   2.10189             0.0355367
15   1.71499             0.0255607
16   5.07289             0.0602253
17   4.78808             0.0802953
18   4.24223             0.0742724
19   3.25551             0.053472
20   2.31698             0.0327383
21   1.8658              0.0234961
22   1.053               0.013489
23   3.86394             0.0328454
24   3.89865             0.0400403
25   3.30802             0.0411237
26   2.42448             0.0288501
27   1.95215             0.0211949
28   1.07764             0.0126762
29   0.536078            0.00659227
30   2.6628              0.0165447
31   2.29335             0.0202232
32   1.91744             0.0168816
33   1.07684             0.0116349
34   0.52231             0.0060364
35   0.276687            0.00646231
36   1.69675             0.0116891
37   1.6072              0.0100976
38   1.01968             0.0101502
39   0.500122            0.0054176
40   0.261304            0.00599466
41   0.807577            0.00736599
42   0.447652            0.00424229
43   0.237514            0.00523418
44   0.0617918           0.00642052
45   0.0125864           0.0121333
46   0.44776             0.00734984
47   0.334399            0.00326191
48   0.196999            0.00396012
49   0.053592            0.00577138
50   0.0107815           0.0109134
51   0.000578333         0.0050041
52   0.125144            0.00734649
53   0.104903            0.00385947
54   0.0380262           0.00445538
55   0.00806078          0.00905586
56   0.0413646           0.0061155
57   0.0235923           0.00365818
58   0.00568742          0.00746224
59   0.0142088           0.00362293
