#: table_doi: 10.17182/hepdata.32752.v1/t29
#: name: Table 29
#: description: Corrected F2D measurements averaged over all energies. Data are the statistically weighted averages given at the centre of each bin.

#: data_file: Table29.yaml
#: keyword reactions: MUON DEUT --> MUON X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Deep Inelastic Scattering
#: PLAB [GEV],90 + 120 + 200 + 280
#: RE,MUON DEUT --> MUON X
#: X,0.225
Q**2 [GEV**2],SIG(L)/SIG(T),F2,stat +,stat -,sys +,sys -
2.5,0.234,0.2939,0.026,-0.026,0.008,-0.008
3.5,0.191,0.2904,0.007,-0.007,0.0065,-0.0065
4.5,0.161,0.2796,0.006,-0.006,0.0052,-0.0052
5.5,0.14,0.2853,0.0066,-0.0066,0.0046,-0.0046
7.0,0.118,0.2799,0.0056,-0.0056,0.0038,-0.0038
9.0,0.1,0.2798,0.0075,-0.0075,0.0038,-0.0038
11.5,0.086,0.2876,0.0077,-0.0077,0.0041,-0.0041
15.0,0.074,0.2614,0.0057,-0.0057,0.0043,-0.0043
20.0,0.064,0.2695,0.0042,-0.0042,0.0046,-0.0046
27.0,0.056,0.2686,0.0041,-0.0041,0.0053,-0.0053
36.0,0.05,0.2599,0.0047,-0.0047,0.0058,-0.0058
48.0,0.045,0.2611,0.0075,-0.0075,0.0071,-0.0071

