%auto-ignore
# E = 4.74 GeV 
# < x >    A_1    stat   syst   g_1/F_1  stat   syst
# ----------------------------------------------------------- 
  0.277    0.012  0.071  0.008   0.007   0.068  0.010 
  0.325    0.011  0.043  0.009   0.008   0.041  0.008 
  0.374    0.102  0.037  0.014   0.065   0.034  0.011 
  0.424   -0.064  0.040  0.014  -0.066   0.038  0.013 
  0.473   -0.044  0.051  0.015  -0.058   0.047  0.014 

# E = 5.89 GeV  
# < x >    A_1    stat   syst   g_1/F_1  stat   syst
# ----------------------------------------------------------- 
  0.277    0.127  0.116  0.035   0.143   0.112  0.014 
  0.325   -0.031  0.058  0.009  -0.019   0.056  0.009 
  0.374    0.035  0.049  0.010   0.031   0.046  0.009 
  0.424   -0.039  0.053  0.013  -0.049   0.050  0.012 
  0.474   -0.044  0.066  0.017  -0.044   0.062  0.015 
  0.524    0.109  0.088  0.019   0.098   0.082  0.017 
  0.573    0.135  0.126  0.023   0.132   0.116  0.021 

# Results for A_1 and g_1/F_1 averaged over 
# E = 4.74 and 5.89 GeV, resulting in < Q^2 > = 3.08 GeV^2   
# < x >    A_1    stat   syst   g_1/F_1  stat   syst
# ----------------------------------------------------------- 
  0.277    0.043  0.060  0.022   0.044   0.058  0.012 
  0.325   -0.004  0.035  0.009  -0.002   0.033  0.009 
  0.374    0.078  0.029  0.012   0.053   0.028  0.010 
  0.424   -0.055  0.032  0.014  -0.060   0.030  0.012 
  0.474   -0.044  0.040  0.016  -0.053   0.037  0.015 
  0.548    0.118  0.072  0.021   0.110   0.067  0.019 

