Path: /HepData/9072/d4-x1-y1

Location: Figure 1
ABS(YRAP) : 1.5 - 2.0
RE : P P --> JET X
SQRT(S) : 2760.0 GeV
x : PT IN GEV
y : D2(SIG)/DPT/DABS(YRAP) IN PB/GEV
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
	79.0	74.0	84.0	2821.0	+24.53	-24.53	+244.9	-244.9
	90.5	84.0	97.0	1233.0	+14.82	-14.82	+108.9	-108.9
	105.5	97.0	114.0	467.8	+3.714	-3.714	+42.72	-42.72
	123.5	114.0	133.0	161.3	+1.957	-1.957	+14.98	-14.98
	143.0	133.0	153.0	57.02	+0.81	-0.81	+4.357	-4.357
	163.5	153.0	174.0	19.82	+0.461	-0.461	+1.78	-1.78
	185.0	174.0	196.0	7.202	+0.2689	-0.2689	+0.6606	-0.6606
	208.0	196.0	220.0	2.458	+0.1506	-0.1506	+0.1988	-0.1988
	232.5	220.0	245.0	0.848	+0.08549	-0.08549	+0.07075	-0.07075
	258.5	245.0	272.0	0.2989	+0.04893	-0.04893	+0.02601	-0.02601
	286.0	272.0	300.0	0.05812	+0.02096	-0.02096	+0.006232	-0.006232
	315.0	300.0	330.0	0.00773	+0.006537	-0.006537	+8.818E-4	-8.818E-4
	346.0	330.0	362.0	0.001685	+0.00329	-0.00329	+2.119E-4	-2.119E-4

