# xsec	dy+	dy+	dy+
190.2	1.7	4.7	7.4		
# x	xlow	xhigh	  y	dy+	dy+	dy+	y	dy+
2.0625	2.000	2.125	11.8	1.3	0.7	0.5	1.034	0.003
2.1875	2.125	2.250	42.1	2.2	1.6	1.6	1.037	0.005
2.3125	2.250	2.375	66.1	2.5	2.1	2.6	1.040	0.002
2.4375	2.375	2.500	87.9	2.9	2.6	3.4	1.041	0.002	
2.5625	2.500	2.625	95.8	3.0	2.8	3.7	1.043	0.002
2.6875	2.625	2.750	118.5	3.3	3.4	4.6	1.044	0.004
2.8125	2.750	2.875	133.3	3.6	3.7	5.2	1.047	0.004
2.9375	2.875	3.000	141.3	3.7	3.9	5.5	1.048	0.002
3.0625	3.000	3.125	151.2	4.0	4.2	5.9	1.051	0.002
3.1875	3.125	3.250	133.6	3.9	3.7	5.2	1.051	0.002
3.3125	3.250	3.375	129.6	4.1	3.7	5.1	1.055	0.001
3.4375	3.375	3.500	116.5	4.0	3.4	4.5	1.053	0.003
3.5625	3.500	3.625	93.5	3.8	2.9	3.6	1.049	0.005
3.6875	3.625	3.750	63.8	3.7	2.2	2.5	1.051	0.007
3.8125	3.750	3.875	58.6	3.7	2.4	2.3	1.045	0.004
3.9375	3.875	4.000	34.7	4.0	1.9	1.4	1.038	0.011
4.125	4.000	4.250	18.8	3.2	1.6	0.7	1.061	0.013
