0.0 0.3
11
20 30  1.24 +0.06  -0.13 2.542e+03  1.4   +14  -12     +11  -11     +20  -15    +10. -9.3    +7.3 -5.3   0.0  +2.1 -2.3    +6.1 -5.3    +5.1 -4.8    -0.0 +0.0    +0.0 -0.0    +1.7 -2.3    -0.0 +0.0   0.0    5.3       0.3       0.1       0.5       2.0       1.0       0.5   
30 45  1.12 +0.07  -0.07 3.004e+02  2.4  +8.4 -7.2    +12. -9.9    +11. -8.6    +8.7 -7.5    +1.7 -1.9   0.0  +2.6 -2.8    +3.9 -3.9    +5.0 -4.7    -0.0 -0.0    -0.0 -0.1    +4.0 -4.1    -0.0 +0.0   0.0    3.6       0.1       0.0       0.1       1.0       1.0       0.5   
45 60  1.06 +0.05  -0.04 4.742e+01  2.2  +1.3 -1.3    +7.7 -6.8    +4.1 -3.6    +3.9 -3.4    +0.8 -1.0   0.0  +3.0 -2.7    +2.0 -2.0    +4.3 -3.9    +0.1 -0.1    +0.0 -0.0    +4.9 -4.5    -0.0 +0.0   0.0    2.7       0.0       0.1       0.1       1.0       1.0       0.5   
60 80  1.03 +0.04  -0.02 1.008e+01  1.0  -1.2 +1.1    +7.0 -7.4    +1.4 -1.2    +4.1 -4.1    +1.1 -1.1   0.0  +3.5 -3.5    +1.7 -1.7    +5.0 -5.1    +0.5 -0.6    +0.1 -0.0    +5.0 -4.7    -0.1 +0.1   0.0     0.3       0.1       0.1       0.0       1.0       1.0       0.5   
80 110  1.02 +0.02  -0.02 1.836e+00  1.5  -0.5 +0.4    +7.3 -6.5    +1.5 -1.5    +4.8 -4.4    +1.3 -1.1   0.0  +3.7 -3.6    +1.7 -1.5    +5.6 -5.3    +1.2 -0.9    +0.1 -0.1    +2.6 -2.4    +0.0 +0.1   0.0    1.6       0.0       0.1       0.0       1.0       1.0       0.5   
110 160  1.02 +0.01  -0.02 2.553e-01  2.8  -0.1 +0.0    +4.9 -4.8    +2.8 -3.2    +3.1 -3.4    +1.0 -1.2   0.0  +3.0 -3.2    +0.8 -1.0    +5.9 -5.7    +1.5 -1.9    +0.1 -0.2    -0.3 +0.2    +1.2 -1.8   0.0     0.4       0.0       0.2       0.0       1.0       1.0       0.5   
160 210  1.02 +0.01  -0.02 3.188e-02  7.9  -0.0 +0.0    +6.9 -6.7    +4.9 -4.9    +2.0 -2.1    +1.4 -1.4   0.0  +3.0 -3.0    +0.9 -0.8    +7.0 -6.6    +2.8 -2.9    +0.3 -0.4    -0.3 +0.3    +5.4 -5.6   0.0     0.9       0.1       0.4       0.0       1.0       1.0       0.5   
210 260  1.02 +0.01  -0.02 5.418e-03  17.  -0.0 +0.0    +8.5 -7.4    +4.5 -3.9    +1.6 -1.5    +2.0 -1.9   0.0  +3.1 -2.8    +0.6 -0.7    +7.5 -6.7    +4.0 -3.6    +0.2 -0.3    -0.1 +0.1    +7.7 -7.0   0.0    1.0       0.2       0.4       0.0       1.0       1.0       0.5   
260 310  1.02 +0.01  -0.02 1.592e-03  34.  -0.0 +0.0    +4.9 -4.4    +2.8 -2.6    +1.4 -1.4    +2.6 -2.7   0.0  +2.6 -2.5    +0.8 -0.7    +7.3 -7.0    +4.6 -4.3    +0.5 -0.5    -0.0 +0.0    +8.2 -7.9   0.0     0.7       0.0       0.4       0.0       1.0       1.0       0.5   
310 400  1.02 +0.01  -0.02 4.135e-04  47.  -0.0 +0.0    +3.4 -3.5    +3.7 -3.7    +0.7 -0.7    +3.7 -3.6   0.0  +2.3 -2.5    +0.6 -0.5    +8.8 -7.9    +5.9 -5.8    +0.6 -0.5    -0.0 +0.0    +10. -8.8   0.0     0.1       0.1       0.3       0.0       1.0       1.0       0.5   
400 500  1.02 +0.01  -0.02 6.752e-05   120 0.0  +4.6 -3.4    +3.3 -2.4    +0.9 -0.6    +3.9 -2.9   0.0  +2.9 -2.0    +0.6 -0.5    +9.9 -9.1    +8.0 -7.2    +0.6 -0.6    -0.0 +0.0     +12  -11   0.0    1.7       0.1       0.4       0.0       1.0       1.0       0.5   
0.3 0.8
11
20 30  1.24 +0.07  -0.13 2.446e+03  1.1   +14  -11    +11. -9.6     +17  -13    +8.8 -8.4    +5.3 -4.7    +0.1 -0.1    +2.3 -2.3    +4.8 -4.4    +5.0 -4.9    -0.0 +0.0    +0.0 -0.0    +3.0 -3.0    -0.0 +0.0    +0.1 -0.1      4.6       0.1       0.2       0.6       2.0       1.0       0.5   
30 45  1.13 +0.07  -0.08 3.025e+02  1.9  +8.1 -7.2    +11. -10.    +10.0 -9.3    +8.0 -7.3    +2.7 -2.8    +0.1 -0.1    +2.8 -3.1    +3.4 -3.4    +5.2 -5.0    -0.0 +0.0    +0.0 -0.0    +3.6 -3.7    -0.2 +0.1    +0.1 -0.1      3.3       0.7       0.1       0.3       1.0       1.0       0.5   
45 60  1.07 +0.05  -0.04 4.526e+01  1.8  +1.3 -1.6    +8.7 -7.9    +6.9 -6.4    +3.6 -3.7    +1.6 -1.9    +0.1 -0.1    +2.9 -3.2    +1.8 -1.9    +4.5 -4.7    +0.1 -0.0    +0.0 +0.0    +2.6 -2.7    +0.2 -0.2    +0.0 -0.0      1.1       0.1       0.4       0.1       1.0       1.0       0.5   
60 80  1.04 +0.03  -0.03 9.701e+00   0.8  -1.2 +1.1    +6.4 -6.1    +3.8 -3.6    +3.0 -2.9    +3.6 -3.5    +0.0 -0.1    +3.2 -3.2    +1.6 -1.3    +4.8 -4.7    +0.4 -0.5    +0.0 -0.0    +0.7 -0.7    +2.1 -2.0    +0.0 -0.0      1.2       0.0       0.3       0.0       1.0       1.0       0.5   
80 110  1.02 +0.02  -0.02 1.791e+00  1.1  -0.5 +0.5    +6.3 -6.1    +3.1 -3.1    +2.8 -2.9    +2.4 -2.5    +0.0 -0.1    +3.1 -3.1    +1.1 -1.3    +5.4 -5.2    +1.1 -1.4    +0.1 -0.0    -0.3 +0.4    +4.4 -4.4    +0.0 -0.0      1.0       0.1       0.4       0.0       1.0       1.0       0.5   
110 160  1.02 +0.01  -0.02 2.374e-01  2.3  -0.0 +0.0    +6.1 -5.9    +3.1 -3.0    +2.5 -2.4    +0.5 -0.5    +0.1 -0.0    +2.7 -2.6    +0.9 -0.9    +5.9 -5.8    +2.0 -1.9    +0.1 -0.1    -0.1 +0.1    +5.9 -6.0    +0.0 -0.0       0.8       0.2       0.8       0.0       1.0       1.0       0.5   
160 210  1.02 +0.01  -0.02 2.827e-02  6.6  -0.0 +0.0    +3.9 -3.6    +2.8 -2.9    +2.4 -2.3    +1.8 -1.8    +0.1 -0.0    +2.6 -2.5    +0.7 -0.7    +6.9 -6.7    +2.9 -3.0    +0.1 -0.1    -0.0 +0.0    +8.1 -7.7    +0.0 -0.0      1.4       0.2       0.3       0.0       1.0       1.0       0.5   
210 260  1.02 +0.01  -0.02 3.640e-03  17.  -0.0 +0.0    +3.4 -3.6    +3.5 -3.4    +1.5 -1.6    +2.7 -2.7    +0.0 -0.0    +2.2 -2.1    +0.6 -0.6    +7.7 -7.2    +3.7 -3.6    +0.1 -0.2    -0.0 +0.0    +9.4 -8.6    +0.0 -0.0       0.5       0.1       0.1       0.0       1.0       1.0       0.5   
260 310  1.02 +0.01  -0.02 1.182e-03  29.  -0.0 +0.0    +5.9 -5.2    +3.9 -3.4    +2.0 -1.7    +4.3 -3.9    +0.0 -0.0    +2.3 -2.2    +0.6 -0.4    +8.9 -8.3    +5.3 -4.9    +0.2 -0.2    -0.0 +0.0     +11  -10    -0.0 -0.0       0.6       0.2       0.5       0.0       1.0       1.0       0.5   
310 400  1.02 +0.01  -0.02 3.585e-04  45.  -0.0 +0.0    +5.4 -5.1    +4.4 -4.3    +1.1 -1.0    +4.2 -3.8    +0.0 -0.0    +2.3 -2.1    +0.5 -0.5    +9.7 -8.8    +6.1 -5.6    +0.1 -0.2    -0.0 +0.0     +13  -12    +0.0 -0.0       0.1       0.1       0.4       0.0       1.0       1.0       0.5   
400 500  1.02 +0.01  -0.02 1.351e-04  63. 0.0  +6.9 -6.3    +4.8 -4.1    +0.6 -0.4    +3.2 -3.0    +0.0 -0.0    +1.9 -1.7    +0.5 -0.5    +11. -9.6    +7.5 -6.8    +0.2 -0.2   0.0   +15  -15    +0.0 -0.0      1.2       0.0       0.7       0.0       1.0       1.0       0.5   
0.8 1.2
10
20 30  1.25 +0.08  -0.12 2.275e+03  1.3   +12  -10    +8.6 -8.7     +14  -12    +10. -8.2    +4.7 -4.0    +3.8 -3.9    +1.9 -2.0    +4.3 -3.8    +4.4 -4.2    -0.0 +0.0    +0.0 -0.0    +2.5 -2.7    -0.0 +0.0    +3.2 -3.3      10.       1.3       0.3       0.4       2.0       1.0       0.5   
30 45  1.13 +0.07  -0.07 2.557e+02  2.2  +8.2 -7.6    +11. -10.    +10. -9.3    +5.0 -4.8    +3.0 -2.9    +4.8 -4.6    +3.0 -3.2    +3.7 -3.6    +5.5 -5.3    -0.0 -0.0    +0.0 -0.1    +3.9 -3.9    -0.1 +0.2    +4.3 -4.2      7.6       0.0       0.1       0.2       1.0       1.0       0.5   
45 60  1.07 +0.05  -0.04 3.977e+01  2.1  +1.5 -2.0    +8.8 -8.4    +7.3 -6.7    +2.8 -3.4    +1.6 -2.4    +3.5 -3.8    +3.1 -3.6    +1.9 -2.4    +4.7 -5.0    +0.1 -0.1    +0.0 -0.0    +2.6 -3.1    +0.2 -0.4    +3.0 -3.5      2.5       0.4       0.5       0.1       1.0       1.0       0.5   
60 80  1.04 +0.04  -0.02 8.237e+00   1.0  -1.2 +1.2    +6.7 -6.4    +3.8 -3.9    +1.9 -1.9    +3.5 -3.7    +3.2 -3.3    +3.2 -3.3    +1.5 -1.6    +5.0 -5.1    +0.6 -0.6    +0.0 -0.0    +0.8 -0.7    +2.2 -2.3    +2.5 -2.5      2.9       0.4       0.5       0.0       1.0       1.0       0.5   
80 110  1.03 +0.02  -0.02 1.505e+00  1.4  -0.5 +0.5    +6.3 -5.7    +3.2 -3.0    +1.3 -1.0    +2.6 -2.2    +3.4 -3.3    +3.1 -3.1    +1.2 -1.0    +5.4 -4.9    +1.3 -1.1    +0.0 -0.0    -0.4 +0.4    +4.6 -4.4    +1.4 -1.1      1.9       0.4       0.5       0.0       1.0       1.0       0.5   
110 160  1.02 +0.02  -0.02 1.959e-01  2.8  -0.1 +0.1    +6.2 -5.9    +3.0 -2.8    +1.9 -1.9    +0.5 -0.6    +3.3 -3.2    +2.8 -2.6    +0.8 -0.8    +6.1 -5.9    +1.9 -1.9    +0.1 -0.1    -0.1 +0.1    +6.2 -6.0    +0.4 -0.4      2.0       0.3       1.4       0.0       1.0       1.0       0.5   
160 210  1.02 +0.02  -0.02 2.073e-02  8.3  -0.0 +0.0    +3.6 -3.4    +2.8 -2.7    +2.1 -1.9    +1.7 -1.6    +3.5 -3.5    +2.4 -2.4    +0.6 -0.7    +6.9 -6.3    +3.0 -2.9    +0.1 -0.1    -0.0 +0.0    +8.1 -7.4    +0.6 -0.6      3.1       0.3       0.2       0.0       1.0       1.0       0.5   
210 260  1.02 +0.02  -0.02 2.537e-03  21.  -0.0 +0.0    +4.0 -4.0    +4.0 -3.5    +2.4 -2.0    +3.3 -2.6    +4.4 -4.1    +2.5 -2.0    +0.5 -0.5    +8.3 -7.6    +4.3 -3.8    +0.2 -0.1    -0.0 +0.0    +11. -9.3    +0.7 -0.7       0.9       0.2       0.3       0.0       1.0       1.0       0.5   
260 310  1.02 +0.02  -0.02 7.773e-04  39.  -0.0 +0.0    +5.8 -5.6    +3.5 -3.7    +2.1 -2.4    +4.1 -4.3    +4.8 -4.9    +2.2 -2.5    +0.5 -0.7    +10. -9.1    +5.3 -5.3    +0.1 -0.2    -0.0 +0.0     +13  -12    +0.9 -1.0      4.1       0.4       0.6       0.0       1.0       1.0       0.5   
310 400  1.02 +0.02  -0.02 1.077e-04  83.  -0.5 +0.5    +6.0 -6.2    +4.0 -4.7    +0.8 -1.0    +4.2 -4.5    +5.8 -5.8    +2.2 -2.3    +0.2 -0.5     +11  -11    +7.1 -7.3    +0.1 -0.2    -0.1 +0.1     +15  -15    +0.7 -1.1      2.7       0.2       1.8       0.0       1.0       1.0       0.5   
1.2 2.1
10
20 30  1.24 +0.09  -0.11 1.775e+03   1.0   +14  -11    +10. -9.8     +17  -13     +14  -10    +5.2 -4.7     +14  -14    +2.3 -2.4    +4.8 -4.3    +4.9 -4.8    -0.0 +0.0    +0.0 -0.0    +3.0 -3.1    -0.0 +0.0    +5.7 -5.7      13.       0.4       0.1       0.4       2.0       1.0       0.5   
30 45  1.12 +0.08  -0.06 2.067e+02  1.8  +8.4 -7.5    +11. -9.9    +10. -9.2    +4.9 -4.6    +3.2 -2.7     +15  -13    +3.3 -2.9    +3.8 -3.5    +5.3 -5.1    +0.0 +0.0    +0.0 -0.0    +4.0 -3.8    -0.1 +0.1    +6.6 -6.3      6.8       0.2       0.1       0.2       1.0       1.0       0.5   
45 60  1.07 +0.05  -0.03 2.838e+01  1.7  +1.6 -1.5    +9.0 -8.7    +7.3 -7.2    +3.4 -3.1    +1.8 -1.8    +8.2 -7.8    +3.3 -3.1    +2.0 -1.9    +5.1 -5.0    +0.1 -0.2    +0.0 -0.0    +2.8 -2.6    +0.3 -0.4    +5.8 -5.6      1.6       0.3       0.3       0.1       1.0       1.0       0.5   
60 80  1.04 +0.04  -0.02 5.732e+00   0.8  -1.2 +1.2    +7.2 -6.3    +4.1 -3.5    +1.6 -1.4    +3.7 -3.4    +5.2 -4.4    +3.4 -3.0    +1.4 -1.2    +5.2 -4.6    +0.5 -0.5    +0.0 -0.0    +0.7 -0.6    +2.1 -2.0    +5.0 -4.4      2.5       0.3       0.3       0.0       1.0       1.0       0.5   
80 110  1.03 +0.03  -0.02 9.314e-01  1.2  -0.4 +0.4    +6.8 -6.4    +3.4 -3.1    +1.1 -1.1    +2.4 -2.4    +4.2 -3.8    +3.1 -3.1    +1.2 -1.2    +5.8 -5.5    +1.3 -1.3    +0.0 -0.1    -0.4 +0.4    +4.8 -4.5    +4.2 -3.7      2.2       0.1       0.3       0.0       1.0       1.0       0.5   
