player,coalition_without,v_without,v_with,delta_v,is_outlier
d,cbar|ubar|g|s,0.03606511,0.08171986,0.04565475,0
d,cbar|ubar|g|s|c,0.03330617,0.07663757,0.04333140,0
ubar,cbar|g|d|s,0.03862735,0.08171986,0.04309251,0
d,cbar|ubar|s,0.02918889,0.07167791,0.04248902,0
ubar,cbar|g|d|s|c,0.03555931,0.07663757,0.04107826,0
d,cbar|sbar|ubar|g|s,0.03299032,0.07394475,0.04095443,0
d,ubar|g|s,0.02667410,0.06745998,0.04078588,0
ubar,cbar|d|s,0.03126074,0.07167791,0.04041717,0
d,cbar|ubar|s|c,0.02627355,0.06644008,0.04016653,0
ubar,cbar|sbar|g|d|s,0.03519530,0.07394475,0.03874946,0
d,cbar|sbar|ubar|g|s|c,0.03234831,0.07097174,0.03862344,0
d,cbar|ubar|g|u|s,0.03150013,0.06997829,0.03847816,0
d,ubar|g|s|c,0.02447009,0.06293191,0.03846182,0
ubar,cbar|d|s|c,0.02803498,0.06644008,0.03840510,0
d,cbar|sbar|ubar|s,0.02520569,0.06299695,0.03779126,0
ubar,g|d|s,0.02982126,0.06745998,0.03763872,0
d,ubar|s,0.02049987,0.05812264,0.03762277,0
ubar,cbar|g|d|u|s,0.03282396,0.06997829,0.03715433,0
d,cbar|ubar|dbar|g|s,0.02783944,0.06485720,0.03701776,0
ubar,cbar|sbar|g|d|s|c,0.03424807,0.07097174,0.03672368,0
d,cbar|ubar|g|u|s|c,0.03190055,0.06805613,0.03615558,0
d,sbar|ubar|g|s,0.02508363,0.06116885,0.03608522,0
ubar,cbar|sbar|d|s,0.02691774,0.06299695,0.03607921,0
d,cbar|ubar|g,0.02077261,0.05649200,0.03571938,0
ubar,g|d|s|c,0.02730838,0.06293191,0.03562353,0
d,cbar|sbar|ubar|s|c,0.02440454,0.05986570,0.03546116,0
d,cbar|ubar|u|s,0.02403331,0.05934718,0.03531387,0
d,ubar|s|c,0.01813876,0.05343833,0.03529957,0
ubar,cbar|g|d|u|s|c,0.03291441,0.06805613,0.03514173,0
ubar,d|s,0.02315404,0.05812264,0.03496860,0
ubar,cbar|dbar|g|d|s,0.03009811,0.06485720,0.03475909,0
d,cbar|ubar|dbar|g|s|c,0.02795067,0.06264564,0.03469497,0
ubar,cbar|g|d,0.02198090,0.05649200,0.03451110,0
ubar,cbar|d|u|s,0.02486497,0.05934718,0.03448221,0
ubar,cbar|sbar|d|s|c,0.02581006,0.05986570,0.03405563,0
d,cbar|ubar|dbar|s,0.02036198,0.05421400,0.03385202,0
d,cbar|sbar|ubar|g|u|s,0.03512368,0.06890220,0.03377852,0
d,sbar|ubar|g|s|c,0.02499955,0.05875307,0.03375353,0
d,ubar|g|u|s,0.02389965,0.05750854,0.03360889,0
d,cbar|ubar|g|c,0.01894776,0.05234358,0.03339582,0
ubar,sbar|g|d|s,0.02787413,0.06116885,0.03329472,0
d,cbar|ubar|u|s|c,0.02427451,0.05726670,0.03299220,0
ubar,d|s|c,0.02048275,0.05343833,0.03295558,0
d,sbar|ubar|s,0.01799880,0.05092346,0.03292466,0
ubar,cbar|sbar|g|d|u|s,0.03608567,0.06890220,0.03281653,0
ubar,cbar|dbar|g|d|s|c,0.02990011,0.06264564,0.03274553,0
d,cbar|ubar,0.01560237,0.04815668,0.03255431,0
ubar,cbar|g|d|c,0.01984685,0.05234358,0.03249673,0
ubar,cbar|d|u|s|c,0.02479489,0.05726670,0.03247181,0
d,cbar|sbar|ubar|dbar|g|s,0.03318305,0.06550404,0.03232099,0
d,ubar|dbar|g|s,0.02109796,0.05324623,0.03214826,0
ubar,cbar|dbar|d|s,0.02212891,0.05421400,0.03208509,0
ubar,cbar|d,0.01631581,0.04815668,0.03184088,0
ubar,g|d|u|s,0.02580935,0.05750854,0.03169919,0
d,cbar|ubar|dbar|s|c,0.02031566,0.05184580,0.03153014,0
d,cbar|sbar|ubar|g|u|s|c,0.03764951,0.06909788,0.03144836,0
d,ubar|g|u|s|c,0.02485416,0.05613978,0.03128563,0
ubar,sbar|g|d|s|c,0.02748506,0.05875307,0.03126802,0
d,cbar|sbar|ubar|g,0.01936558,0.05037967,0.03101409,0
d,ubar|g,0.01381509,0.04466987,0.03085478,0
ubar,cbar|sbar|g|d|u|s|c,0.03830541,0.06909788,0.03079246,0
ubar,sbar|d|s,0.02029378,0.05092346,0.03062968,0
d,cbar|sbar|ubar|u|s,0.02674133,0.05735822,0.03061689,0
d,sbar|ubar|s|c,0.01775488,0.04834872,0.03059385,0
d,ubar|u|s,0.01713271,0.04757991,0.03044720,0
ubar,cbar|sbar|dbar|g|d|s,0.03508601,0.06550404,0.03041803,0
d,cbar|ubar|c,0.01362034,0.04385195,0.03023161,0
ubar,cbar|sbar|g|d,0.02021808,0.05037967,0.03016159,0
ubar,cbar|sbar|d|u|s,0.02720869,0.05735822,0.03014953,0
ubar,cbar|dbar|d|s|c,0.02177203,0.05184580,0.03007376,0
d,cbar|sbar|ubar|dbar|g|s|c,0.03541731,0.06540795,0.02999064,0
d,cbar|ubar|dbar|g|u|s,0.03220561,0.06204533,0.02983972,0
ubar,cbar|d|c,0.01402327,0.04385195,0.02982868,0
d,ubar|dbar|g|s|c,0.02176338,0.05158812,0.02982474,0
ubar,g|d|u|s|c,0.02645413,0.05613978,0.02968565,0
ubar,dbar|g|d|s,0.02394177,0.05324623,0.02930446,0
d,cbar|sbar|ubar|dbar|s,0.02479272,0.05395054,0.02915783,0
ubar,g|d,0.01560382,0.04466987,0.02906605,0
ubar,d|u|s,0.01854764,0.04757991,0.02903226,0
d,ubar|dbar|s,0.01432173,0.04330687,0.02898514,0
d,sbar|ubar|g|u|s,0.02900717,0.05791615,0.02890898,0
ubar,cbar|dbar|g|d|u|s,0.03322933,0.06204533,0.02881599,0
d,cbar|sbar|ubar|g|c,0.01966043,0.04834333,0.02868290,0
ubar,sbar|d|s|c,0.01974355,0.04834872,0.02860518,0
d,cbar|g|s,0.01004526,0.03862735,0.02858209,0
ubar,cbar|g|d|u,0.01875716,0.04732804,0.02857088,0
d,cbar|ubar|g|u,0.01878568,0.04732804,0.02854236,0
d,ubar|g|c,0.01254365,0.04107417,0.02853052,0
ubar,cbar|sbar|dbar|g|d|s|c,0.03701493,0.06540795,0.02839301,0
d,cbar|sbar|ubar|u|s|c,0.02910514,0.05739279,0.02828765,0
ubar,cbar|sbar|g|d|c,0.02020761,0.04834333,0.02813572,0
ubar,cbar|sbar|d|u|s|c,0.02926510,0.05739279,0.02812769,0
d,ubar|u|s|c,0.01792729,0.04605213,0.02812484,0
d,cbar|sbar|ubar,0.01328763,0.04113935,0.02785172,0
ubar,cbar|sbar|dbar|d|s,0.02620129,0.05395054,0.02774926,0
d,ubar,0.00934415,0.03703641,0.02769226,0
d,cbar|ubar|dbar|g|u|s|c,0.03547800,0.06299573,0.02751773,0
ubar,cbar|sbar|d,0.01364284,0.04113935,0.02749651,0
d,sbar|ubar|dbar|g|s,0.02792516,0.05537637,0.02745121,0
ubar,sbar|g|d|u|s,0.03055566,0.05791615,0.02736049,0
ubar,dbar|g|d|s|c,0.02429813,0.05158812,0.02729000,0
d,cbar|ubar|dbar|g,0.01620060,0.04328404,0.02708344,0
ubar,g|d|c,0.01402340,0.04107417,0.02705077,0
ubar,d|u|s|c,0.01903119,0.04605213,0.02702093,0
d,cbar|sbar|ubar|dbar|s|c,0.02686667,0.05369508,0.02682840,0
ubar,cbar|dbar|g|d|u|s|c,0.03619166,0.06299573,0.02680407,0
