#: table_doi: 10.17182/hepdata.114778.v1/t1
#: name: Figure 3
#: description: Parton jet $p_T$ vs $A_{LL}$ values with associated uncertainties.
#: data_file: InclusiveJet.yaml
#: keyword observables: ASYM
#: keyword reactions: P P --> JET X
Parton Jet $x_{T} (=2p_{T}/\sqrt{s})$ range,Parton Jet $x_{T} (=2p_{T}/\sqrt{s})$ range LOW,Parton Jet $x_{T} (=2p_{T}/\sqrt{s})$ range HIGH,Parton Jet $x_{T} (=2p_{T}/\sqrt{s})$,syst +,syst -
0.03055,0.02719,0.03391,0.03055,0.00336,-0.00336
0.037725,0.03542,0.04003,0.03773,0.0023,-0.0023
0.045759999999999995,0.04391,0.04761,0.04576,0.00185,-0.00185
0.053290000000000004,0.05129,0.05529,0.05329,0.002,-0.002
0.061805,0.05969,0.06392,0.0618,0.00211,-0.00211
0.078,0.07516,0.08084,0.078,0.00284,-0.00284
0.088945,0.08577,0.09212,0.08894,0.00318,-0.00318
0.10172500000000001,0.09822,0.10523,0.10173,0.0035,-0.0035
0.11667,0.11273,0.12061,0.11667,0.00394,-0.00394
0.13446999999999998,0.12971,0.13923,0.13447,0.00476,-0.00476
0.155255,0.14978,0.16073,0.15525,0.00548,-0.00548
0.179455,0.17348,0.18543,0.17945,0.00597,-0.00597
0.20851,0.20173,0.21529,0.20851,0.00678,-0.00678
0.24066500000000002,0.23302,0.24831,0.24067,0.00765,-0.00765

Parton Jet $x_{T} (=2p_{T}/\sqrt{s})$ range,Parton Jet $x_{T} (=2p_{T}/\sqrt{s})$ range LOW,Parton Jet $x_{T} (=2p_{T}/\sqrt{s})$ range HIGH,Parton Jet $p_{T}$ (GeV/$c$),syst +,syst -
0.03055,0.02719,0.03391,7.79,0.86,-0.86
0.037725,0.03542,0.04003,9.62,0.59,-0.59
0.045759999999999995,0.04391,0.04761,11.67,0.47,-0.47
0.053290000000000004,0.05129,0.05529,13.59,0.51,-0.51
0.061805,0.05969,0.06392,15.76,0.54,-0.54
0.078,0.07516,0.08084,19.89,0.73,-0.73
0.088945,0.08577,0.09212,22.68,0.81,-0.81
0.10172500000000001,0.09822,0.10523,25.94,0.89,-0.89
0.11667,0.11273,0.12061,29.75,1.0,-1.0
0.13446999999999998,0.12971,0.13923,34.29,1.21,-1.21
0.155255,0.14978,0.16073,39.59,1.4,-1.4
0.179455,0.17348,0.18543,45.76,1.52,-1.52
0.20851,0.20173,0.21529,53.17,1.73,-1.73
0.24066500000000002,0.23302,0.24831,61.37,1.95,-1.95

Parton Jet $x_{T} (=2p_{T}/\sqrt{s})$ range,Parton Jet $x_{T} (=2p_{T}/\sqrt{s})$ range LOW,Parton Jet $x_{T} (=2p_{T}/\sqrt{s})$ range HIGH,Inclusive Jet $A_{LL}$,stat +,stat -,syst +,syst -
0.03055,0.02719,0.03391,0.00626,0.00241,-0.00241,0.0006,-0.0006
0.037725,0.03542,0.04003,0.00258,0.00249,-0.00249,0.00056,-0.00056
0.045759999999999995,0.04391,0.04761,0.00277,0.00176,-0.00176,0.00054,-0.00054
0.053290000000000004,0.05129,0.05529,-0.00075,0.00187,-0.00187,0.00054,-0.00054
0.061805,0.05969,0.06392,-0.00085,0.00216,-0.00216,0.00051,-0.00051
0.078,0.07516,0.08084,0.00444,0.00112,-0.00112,0.0005,-0.0005
0.088945,0.08577,0.09212,0.00308,0.00114,-0.00114,0.0005,-0.0005
0.10172500000000001,0.09822,0.10523,0.00572,0.00128,-0.00128,0.00051,-0.00051
0.11667,0.11273,0.12061,0.01008,0.00161,-0.00161,0.00054,-0.00054
0.13446999999999998,0.12971,0.13923,0.01033,0.00217,-0.00217,0.00059,-0.00059
0.155255,0.14978,0.16073,0.01249,0.00312,-0.00312,0.00064,-0.00064
0.179455,0.17348,0.18543,0.01824,0.00478,-0.00478,0.00068,-0.00068
0.20851,0.20173,0.21529,0.02205,0.00788,-0.00788,0.00092,-0.00092
0.24066500000000002,0.23302,0.24831,0.04527,0.01388,-0.01388,0.00212,-0.00212

