Path: /HepData/9072/d1-x1-y1

Location: Figure 1
ABS(YRAP) : < 0.5
RE : P P --> JET X
SQRT(S) : 2760.0 GeV
x : PT IN GEV
y : D2(SIG)/DPT/DABS(YRAP) IN PB/GEV
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
	79.0	74.0	84.0	5351.0	+32.23	-32.23	+342.2	-342.2
	90.5	84.0	97.0	2443.0	+22.65	-22.65	+143.2	-143.2
	105.5	97.0	114.0	989.7	+5.761	-5.761	+65.93	-65.93
	123.5	114.0	133.0	388.3	+3.178	-3.178	+23.31	-23.31
	143.0	133.0	153.0	163.3	+2.548	-2.548	+9.726	-9.726
	163.5	153.0	174.0	69.02	+0.8537	-0.8537	+3.784	-3.784
	185.0	174.0	196.0	30.05	+0.5488	-0.5488	+1.762	-1.762
	208.0	196.0	220.0	13.59	+0.3444	-0.3444	+0.7205	-0.7205
	232.5	220.0	245.0	6.602	+0.2338	-0.2338	+0.36	-0.36
	258.5	245.0	272.0	3.175	+0.1562	-0.1562	+0.1713	-0.1713
	286.0	272.0	300.0	1.612	+0.1089	-0.1089	+0.08639	-0.08639
	315.0	300.0	330.0	0.7651	+0.07005	-0.07005	+0.04524	-0.04524
	346.0	330.0	362.0	0.3296	+0.04684	-0.04684	+0.01736	-0.01736
	378.5	362.0	395.0	0.1153	+0.02545	-0.02545	+0.006576	-0.006576
	412.5	395.0	430.0	0.08143	+0.02127	-0.02127	+0.004821	-0.004821
	449.0	430.0	468.0	0.04753	+0.01643	-0.01643	+0.002846	-0.002846
	487.5	468.0	507.0	0.01269	+0.007561	-0.007561	+7.855E-4	-7.855E-4
	527.5	507.0	548.0	0.01041	+0.006418	-0.006418	+6.438E-4	-6.438E-4
	570.0	548.0	592.0	0.00569	+0.005342	-0.005342	+3.662E-4	-3.662E-4

