Path: /HepData/9072/d5-x1-y1

Location: Figure 1
ABS(YRAP) : 2.0 - 2.5
RE : P P --> JET X
SQRT(S) : 2760.0 GeV
x : PT IN GEV
y : D2(SIG)/DPT/DABS(YRAP) IN PB/GEV
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
	79.0	74.0	84.0	1719.0	+28.93	-28.93	+170.6	-170.6
	90.5	84.0	97.0	680.5	+20.24	-20.24	+72.76	-72.76
	105.5	97.0	114.0	212.2	+3.166	-3.166	+22.26	-22.26
	123.5	114.0	133.0	57.43	+1.763	-1.763	+6.312	-6.312
	143.0	133.0	153.0	19.26	+3.393	-3.393	+2.133	-2.133
	163.5	153.0	174.0	4.613	+1.069	-1.069	+0.5204	-0.5204
	185.0	174.0	196.0	0.6116	+0.09188	-0.09188	+0.08357	-0.08357
	208.0	196.0	220.0	0.07946	+0.02509	-0.02509	+0.01174	-0.01174
	232.5	220.0	245.0	0.03053	+0.01899	-0.01899	+0.007212	-0.007212

