Path: /HepData/9072/d3-x1-y1

Location: Figure 1
ABS(YRAP) : 1.0 - 1.5
RE : P P --> JET X
SQRT(S) : 2760.0 GeV
x : PT IN GEV
y : D2(SIG)/DPT/DABS(YRAP) IN PB/GEV
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
	79.0	74.0	84.0	4083.0	+31.6	-31.6	+294.3	-294.3
	90.5	84.0	97.0	1826.0	+19.22	-19.22	+130.1	-130.1
	105.5	97.0	114.0	727.7	+4.63	-4.63	+49.62	-49.62
	123.5	114.0	133.0	270.5	+2.568	-2.568	+18.01	-18.01
	143.0	133.0	153.0	100.8	+1.016	-1.016	+6.454	-6.454
	163.5	153.0	174.0	40.58	+0.6244	-0.6244	+2.54	-2.54
	185.0	174.0	196.0	17.11	+0.3896	-0.3896	+1.101	-1.101
	208.0	196.0	220.0	7.023	+0.2363	-0.2363	+0.4364	-0.4364
	232.5	220.0	245.0	2.867	+0.147	-0.147	+0.1718	-0.1718
	258.5	245.0	272.0	1.148	+0.08991	-0.08991	+0.06928	-0.06928
	286.0	272.0	300.0	0.5279	+0.05935	-0.05935	+0.03345	-0.03345
	315.0	300.0	330.0	0.2099	+0.03626	-0.03626	+0.01377	-0.01377
	346.0	330.0	362.0	0.05949	+0.01856	-0.01856	+0.004124	-0.004124
	378.5	362.0	395.0	0.01696	+0.009274	-0.009274	+0.001329	-0.001329
	412.5	395.0	430.0	0.01195	+0.006316	-0.006316	+9.452E-4	-9.452E-4
	449.0	430.0	468.0	0.008823	+0.006658	-0.006658	+7.71E-4	-7.71E-4

