#: table_doi: 10.17182/hepdata.89307.v1/t4
#: name: Table 4
#: description: Covariance matrix of the normalised differential cross section at parton level as a function of $p_{T}^{t}$.
#: data_file: d02-x01-y01_cov.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: SIG
#: keyword phrases: Top | Differential Cross Section | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 13000.0
#: ,COVARIANCE MATRIX
Bin,Bin,
1.0,1.0,3.95602e-08
2.0,1.0,-4.68358e-08
3.0,1.0,1.50209e-10
4.0,1.0,1.4609e-09
5.0,1.0,2.71945e-10
1.0,2.0,-4.68358e-08
2.0,2.0,8.28562e-08
3.0,2.0,-1.83273e-08
4.0,2.0,-4.15159e-09
5.0,2.0,-6.00069e-10
1.0,3.0,1.50209e-10
2.0,3.0,-1.83273e-08
3.0,3.0,1.43161e-08
4.0,3.0,5.59161e-11
5.0,3.0,-8.0057e-11
1.0,4.0,1.4609e-09
2.0,4.0,-4.15159e-09
3.0,4.0,5.59161e-11
4.0,4.0,1.64782e-09
5.0,4.0,6.11805e-11
1.0,5.0,2.71945e-10
2.0,5.0,-6.00069e-10
3.0,5.0,-8.0057e-11
4.0,5.0,6.11805e-11
5.0,5.0,1.23422e-10
1.0,1.0,3.95602e-08
2.0,1.0,-4.68358e-08
3.0,1.0,1.50209e-10
4.0,1.0,1.4609e-09
5.0,1.0,2.71945e-10
1.0,2.0,-4.68358e-08
2.0,2.0,8.28562e-08
3.0,2.0,-1.83273e-08
4.0,2.0,-4.15159e-09
5.0,2.0,-6.00069e-10
1.0,3.0,1.50209e-10
2.0,3.0,-1.83273e-08
3.0,3.0,1.43161e-08
4.0,3.0,5.59161e-11
5.0,3.0,-8.0057e-11
1.0,4.0,1.4609e-09
2.0,4.0,-4.15159e-09
3.0,4.0,5.59161e-11
4.0,4.0,1.64782e-09
5.0,4.0,6.11805e-11
1.0,5.0,2.71945e-10
2.0,5.0,-6.00069e-10
3.0,5.0,-8.0057e-11
4.0,5.0,6.11805e-11
5.0,5.0,1.23422e-10
1.0,1.0,3.95602e-08
2.0,1.0,-4.68358e-08
3.0,1.0,1.50209e-10
4.0,1.0,1.4609e-09
5.0,1.0,2.71945e-10
1.0,2.0,-4.68358e-08
2.0,2.0,8.28562e-08
3.0,2.0,-1.83273e-08
4.0,2.0,-4.15159e-09
5.0,2.0,-6.00069e-10
1.0,3.0,1.50209e-10
2.0,3.0,-1.83273e-08
3.0,3.0,1.43161e-08
4.0,3.0,5.59161e-11
5.0,3.0,-8.0057e-11
1.0,4.0,1.4609e-09
2.0,4.0,-4.15159e-09
3.0,4.0,5.59161e-11
4.0,4.0,1.64782e-09
5.0,4.0,6.11805e-11
1.0,5.0,2.71945e-10
2.0,5.0,-6.00069e-10
3.0,5.0,-8.0057e-11
4.0,5.0,6.11805e-11
5.0,5.0,1.23422e-10
1.0,1.0,3.95602e-08
2.0,1.0,-4.68358e-08
3.0,1.0,1.50209e-10
4.0,1.0,1.4609e-09
5.0,1.0,2.71945e-10
1.0,2.0,-4.68358e-08
2.0,2.0,8.28562e-08
3.0,2.0,-1.83273e-08
4.0,2.0,-4.15159e-09
5.0,2.0,-6.00069e-10
1.0,3.0,1.50209e-10
2.0,3.0,-1.83273e-08
3.0,3.0,1.43161e-08
4.0,3.0,5.59161e-11
5.0,3.0,-8.0057e-11
1.0,4.0,1.4609e-09
2.0,4.0,-4.15159e-09
3.0,4.0,5.59161e-11
4.0,4.0,1.64782e-09
5.0,4.0,6.11805e-11
1.0,5.0,2.71945e-10
2.0,5.0,-6.00069e-10
3.0,5.0,-8.0057e-11
4.0,5.0,6.11805e-11
5.0,5.0,1.23422e-10
1.0,1.0,3.95602e-08
2.0,1.0,-4.68358e-08
3.0,1.0,1.50209e-10
4.0,1.0,1.4609e-09
5.0,1.0,2.71945e-10
1.0,2.0,-4.68358e-08
2.0,2.0,8.28562e-08
3.0,2.0,-1.83273e-08
4.0,2.0,-4.15159e-09
5.0,2.0,-6.00069e-10
1.0,3.0,1.50209e-10
2.0,3.0,-1.83273e-08
3.0,3.0,1.43161e-08
4.0,3.0,5.59161e-11
5.0,3.0,-8.0057e-11
1.0,4.0,1.4609e-09
2.0,4.0,-4.15159e-09
3.0,4.0,5.59161e-11
4.0,4.0,1.64782e-09
5.0,4.0,6.11805e-11
1.0,5.0,2.71945e-10
2.0,5.0,-6.00069e-10
3.0,5.0,-8.0057e-11
4.0,5.0,6.11805e-11
5.0,5.0,1.23422e-10

