player,coalition_without,v_without,v_with,delta_v,is_outlier
ubar,cbar|g|d|s,0.01670025,0.03716501,0.02046476,0
ubar,cbar|g|d|s|c,0.01519113,0.03407414,0.01888301,0
ubar,cbar|sbar|g|d|s,0.01412705,0.03287685,0.01874980,0
ubar,cbar|d|s,0.01218635,0.03065586,0.01846952,0
ubar,cbar|sbar|g|d|s|c,0.01354088,0.03071146,0.01717058,0
ubar,cbar|g|d,0.00951593,0.02664803,0.01713210,0
ubar,cbar|d|s|c,0.01065286,0.02754343,0.01689057,0
ubar,cbar|sbar|d|s,0.00938271,0.02613924,0.01675653,0
ubar,g|d|s,0.01180531,0.02837358,0.01656827,0
ubar,cbar|g|d|u|s,0.01473861,0.03125504,0.01651643,0
d,cbar|ubar|g|s,0.02075293,0.03716501,0.01641208,0
ubar,cbar|dbar|g|d|s,0.01216635,0.02851619,0.01634983,0
ubar,cbar|g|d|c,0.00846464,0.02401495,0.01555030,0
ubar,cbar|sbar|g|d,0.00793233,0.02335148,0.01541916,0
d,cbar|ubar|g|s|c,0.01866194,0.03407414,0.01541220,0
ubar,cbar|sbar|d|s|c,0.00877116,0.02395128,0.01518012,0
d,cbar|ubar|s,0.01548749,0.03065586,0.01516837,0
ubar,cbar|d,0.00586633,0.02100838,0.01514206,0
ubar,g|d|s|c,0.01085867,0.02584520,0.01498654,0
ubar,cbar|g|d|u|s|c,0.01554431,0.03047852,0.01493421,0
ubar,sbar|g|d|s,0.00992470,0.02477843,0.01485373,0
ubar,cbar|sbar|g|d|u|s,0.01453479,0.02933482,0.01480004,0
ubar,cbar|dbar|g|d|s|c,0.01222563,0.02699299,0.01476736,0
ubar,cbar|sbar|dbar|g|d|s,0.01305173,0.02768469,0.01463296,0
ubar,d|s,0.00799362,0.02257236,0.01457874,0
ubar,cbar|g|s,0.00618765,0.02075293,0.01456529,0
ubar,cbar|d|u|s,0.01010088,0.02462565,0.01452478,0
ubar,cbar|dbar|d|s,0.00749987,0.02185660,0.01435673,0
d,cbar|sbar|ubar|g|s,0.01857252,0.03287685,0.01430433,0
d,ubar|g|s,0.01414763,0.02837358,0.01422595,0
d,cbar|ubar|s|c,0.01337398,0.02754343,0.01416945,0
ubar,cbar|sbar|g|d|c,0.00780302,0.02164292,0.01383990,0
d,cbar|ubar|g|u|s,0.01741826,0.03125504,0.01383679,0
ubar,cbar|d|c,0.00478953,0.01835259,0.01356307,0
ubar,cbar|sbar|d,0.00405213,0.01748323,0.01343110,0
d,cbar|sbar|ubar|g|s|c,0.01740433,0.03071146,0.01330714,0
ubar,sbar|g|d|s|c,0.00990025,0.02317477,0.01327452,0
ubar,g|d,0.00585454,0.01908819,0.01323365,0
d,ubar|g|s|c,0.01261896,0.02584520,0.01322624,0
ubar,cbar|sbar|g|d|u|s|c,0.01626123,0.02948158,0.01322035,0
ubar,cbar|g|d|u,0.00860286,0.02178716,0.01318430,0
d,cbar|sbar|ubar|s,0.01307839,0.02613924,0.01306085,0
ubar,cbar|sbar|dbar|g|d|s|c,0.01403171,0.02708472,0.01305302,0
ubar,cbar|dbar|g|d,0.00698078,0.01999826,0.01301749,0
ubar,d|s|c,0.00702145,0.02002126,0.01299981,0
d,ubar|s,0.00958790,0.02257236,0.01298446,0
ubar,cbar|g|s|c,0.00568009,0.01866194,0.01298185,0
ubar,cbar|d|u|s|c,0.01087874,0.02382412,0.01294538,0
ubar,sbar|d|s,0.00588152,0.01874769,0.01286618,0
ubar,cbar|sbar|g|s,0.00572640,0.01857252,0.01284611,0
d,cbar|ubar|g|u|s|c,0.01764241,0.03047852,0.01283611,0
ubar,cbar|sbar|d|u|s,0.00966462,0.02247500,0.01281038,0
ubar,cbar|dbar|d|s|c,0.00753317,0.02031025,0.01277708,0
ubar,cbar|sbar|dbar|d|s,0.00815369,0.02079554,0.01264185,0
ubar,g|d|u|s,0.01131439,0.02393455,0.01262016,0
d,cbar|ubar|u|s,0.01203118,0.02462565,0.01259448,0
ubar,cbar|s,0.00291229,0.01548749,0.01257521,0
d,cbar|ubar|dbar|g|s,0.01604551,0.02851619,0.01247068,0
ubar,dbar|g|d|s,0.00884236,0.02129621,0.01245385,0
ubar,cbar|dbar|g|d|u|s,0.01420195,0.02660600,0.01240405,0
d,cbar|ubar|g,0.01441667,0.02664803,0.01223136,0
d,sbar|ubar|g|s,0.01266008,0.02477843,0.01211835,0
d,cbar|sbar|ubar|s|c,0.01188665,0.02395128,0.01206462,0
dbar,sbar|g|u|c,0.01218958,0.02419719,0.01200760,0
d,ubar|s|c,0.00803555,0.02002126,0.01198571,0
ubar,cbar|sbar|d|c,0.00389629,0.01575094,0.01185465,0
dbar,sbar|u|c,0.01007710,0.02192345,0.01184635,0
u,sbar|dbar|g|c,0.01238430,0.02419719,0.01181289,0
d,cbar|sbar|ubar|g|u|s,0.01760686,0.02933482,0.01172797,0
u,sbar|dbar|c,0.01024856,0.02192345,0.01167489,0
ubar,g|d|c,0.00536611,0.01701798,0.01165187,0
d,ubar|g|u|s,0.01228351,0.02393455,0.01165105,0
ubar,cbar|g|d|u|c,0.00986688,0.02146892,0.01160204,0
d,cbar|ubar|u|s|c,0.01222935,0.02382412,0.01159477,0
ubar,sbar|g|d,0.00496473,0.01648586,0.01152113,0
d,cbar|ubar|dbar|g|s|c,0.01552291,0.02699299,0.01147007,0
ubar,cbar|sbar|g|d|u,0.00939022,0.02086015,0.01146992,0
ubar,cbar|dbar|g|d|c,0.00749810,0.01893308,0.01143498,0
ubar,cbar|sbar|dbar|g|d,0.00886024,0.02016290,0.01130265,0
ubar,sbar|d|s|c,0.00583051,0.01712029,0.01128978,0
ubar,cbar|sbar|g|s|c,0.00613909,0.01740433,0.01126524,0
ubar,d,0.00290407,0.01415338,0.01124931,0
ubar,cbar|sbar|d|u|s|c,0.01136219,0.02259571,0.01123352,0
d,cbar|ubar|g|c,0.01278336,0.02401495,0.01123159,0
ubar,cbar|g,0.00318733,0.01441667,0.01122934,0
d,cbar|ubar|dbar|s,0.01062925,0.02185660,0.01122735,0
ubar,cbar|d|u,0.00482755,0.01602540,0.01119785,0
d,sbar|ubar|g|s|c,0.01205346,0.02317477,0.01112131,0
ubar,cbar|sbar|dbar|d|s|c,0.00910666,0.02017140,0.01106474,0
ubar,g|d|u|s|c,0.01268268,0.02372064,0.01103796,0
ubar,cbar|dbar|d,0.00317711,0.01420669,0.01102958,0
ubar,cbar|s|c,0.00237941,0.01337398,0.01099457,0
d,cbar|ubar,0.01001815,0.02100838,0.01099023,0
ubar,sbar|g|d|u|s,0.01180312,0.02270732,0.01090420,0
