#: table_doi: 10.17182/hepdata.104836.v1/t6
#: name: Table 2 top
#: description: Parton dijet invariant mass $M_{inv}$ and $A_{LL}$ values with associated uncertainties for the $\textrm{sign}(\eta_1) = \textrm{sign}(\eta_2)$ topology.
#: data_file: table_2_top.yaml
#: keyword observables: ASYM
#: keyword reactions: P P --> JET JET X
#: SQRT(S) [GeV],200
bin,Dijet invariant mass $M_{inv}$ at the parton level [GeV/$c$],Syst +,Syst -
1.0,20.29,0.53,-0.53
2.0,23.5,0.61,-0.61
3.0,28.28,0.66,-0.66
4.0,34.15,0.78,-0.78
5.0,40.96,0.89,-0.89
6.0,50.75,1.03,-1.03
7.0,69.11,1.31,-1.31

#: SQRT(S) [GeV],200
bin,Dijet $M_{inv}/\sqrt{s}$ at the parton level,Syst +,Syst -
1.0,0.1015,0.0027,-0.0027
2.0,0.1175,0.0031,-0.0031
3.0,0.1414,0.0033,-0.0033
4.0,0.1708,0.0039,-0.0039
5.0,0.2048,0.0045,-0.0045
6.0,0.2538,0.0052,-0.0052
7.0,0.3456,0.0066,-0.0066

#: SQRT(S) [GeV],200
bin,Double spin asymmetry $A_{LL}$,Stat +,Stat -,Syst +,Syst -,Lumi +,Lumi -,Pol +,Pol -
1.0,0.0071,0.0036,-0.0036,0.0009,-0.0009,0.0007,-0.0007,6.1%,-6.1%
2.0,0.0049,0.0028,-0.0028,0.0007,-0.0007,0.0007,-0.0007,6.1%,-6.1%
3.0,0.0017,0.0035,-0.0035,0.0008,-0.0008,0.0007,-0.0007,6.1%,-6.1%
4.0,0.0137,0.0051,-0.0051,0.0009,-0.0009,0.0007,-0.0007,6.1%,-6.1%
5.0,0.0316,0.0081,-0.0081,0.0011,-0.0011,0.0007,-0.0007,6.1%,-6.1%
6.0,0.0232,0.0121,-0.0121,0.0015,-0.0015,0.0007,-0.0007,6.1%,-6.1%
7.0,0.0228,0.0418,-0.0418,0.0033,-0.0033,0.0007,-0.0007,6.1%,-6.1%

