#Q2    Q2h      nu      nu-     nu+    sigma    sigma-  sigma+
1.     1.78     150.0	10.0	10.0   922.0	253.0	253.0
1.     1.78     170.0	10.0	10.0   1309.0	515.0	515.0
1.78   3.16     90.0    10.0    10.0   344.0   430.0   430.0
1.78   3.16     110.0   10.0    10.0   171.0   164.0   164.0
1.78   3.16     130.0   10.0    10.0   536.0   152.0   152.0
1.78   3.16     150.0   10.0    10.0   670.0   144.0   144.0
1.78   3.16     170.0   10.0    10.0   621.0   218.0   218.0
3.16   5.62     50.0    10.0    10.0   212.0   236.0   236.0
3.16   5.62     70.0    10.0    10.0   281.0   235.0   235.0
3.16   5.62     90.0    10.0    10.0   187.0   79.0    79.0
3.16   5.62     110.0   10.0    10.0   307.0   80.0    80.0
3.16   5.62     130.0   10.0    10.0   433.0   82.0    82.0
3.16   5.62     150.0   10.0    10.0   441.0   76.0    76.0
3.16   5.62     170.0   10.0    10.0   437.0   144.0   144.0
5.62   10.       70.0    10.0    10.0   415.0   383.0   383.0
5.62   10.       90.0    10.0    10.0   199.0   59.0    59.0
5.62   10.       110.0   10.0    10.0   343.0   80.0    80.0
5.62   10.       130.0   10.0    10.0   239.0   53.0    53.0
5.62   10.       150.0   10.0    10.0   374.0   75.0    75.0
5.62   10.       170.0   10.0    10.0   508.0   149.0   149.0
10.    17.8       50.0    10.0    10.0  14.0    27.0    27.0
10.    17.8       70.0    10.0    10.0  276.0   289.0   289.0
10.    17.8       90.0    10.0    10.0  95.0    41.0    41.0
10.    17.8      110.0   10.0    10.0   211.0   54.0    54.0
10.    17.8      130.0   10.0    10.0   170.0   51.0    51.0
10.    17.8      150.0   10.0    10.0   272.0   74.0    74.0
10.    17.8      170.0   10.0    10.0   205.0   82.0    82.0
17.8   31.6       90.0    10.0    10.0   56.0    72.0    72.0
17.8   31.6      110.0   10.0    10.0    38.0    25.0    25.0
17.8   31.6      130.0   10.0    10.0    45.0    33.0    33.0
17.8   31.6      150.0   10.0    10.0    114.0   46.0    46.0
17.8   31.6      170.0   10.0    10.0    223.0   326.0   326.0
31.6   56.2      90.0    10.0    10.0     12.0    28.0    28.0                          
31.6   56.2      130.0   10.0    10.0     82.0    91.0    91.0
31.6   56.2      150.0   10.0    10.0     45.0    56.0    56.0
