#: table_doi: 10.17182/hepdata.79410.v1/t10
#: name: Table 11
#: description: Statistical correlation matrix from unfolding
#: data_file: table_11.yaml
#: keyword observables: Covariance matrix element
#: keyword phrases: Triple Differential Inclusive Dijet Production
#: keyword cmenergies: 8000
#: keyword reactions: P P --> JET JET X
#: YSTAR,,,,,1.0 <= YSTAR < 2.0
#: SQRT(S) [TeV],,,,,8
#: YBOOST,,,,,1.0 <= YBOOST < 2.0
PTAVG [GeV],PTAVG [GeV] LOW,PTAVG [GeV] HIGH,PTAVG [GeV],PTAVG [GeV] LOW,PTAVG [GeV] HIGH,Covariance matrix element
208.0,196.0,220.0,208.0,196.0,220.0,1.0
208.0,196.0,220.0,232.5,220.0,245.0,0.12
208.0,196.0,220.0,258.5,245.0,272.0,-0.21
208.0,196.0,220.0,286.0,272.0,300.0,0
208.0,196.0,220.0,315.0,300.0,330.0,0.03
208.0,196.0,220.0,346.0,330.0,362.0,0
208.0,196.0,220.0,378.5,362.0,395.0,0
208.0,196.0,220.0,412.5,395.0,430.0,0
208.0,196.0,220.0,449.0,430.0,468.0,0
208.0,196.0,220.0,487.5,468.0,507.0,0
208.0,196.0,220.0,527.5,507.0,548.0,0
208.0,196.0,220.0,570.0,548.0,592.0,0
208.0,196.0,220.0,615.0,592.0,638.0,0
208.0,196.0,220.0,662.0,638.0,686.0,0
232.5,220.0,245.0,143.0,133.0,153.0,0.12
232.5,220.0,245.0,163.5,153.0,174.0,0
232.5,220.0,245.0,185.0,174.0,196.0,-0.43
232.5,220.0,245.0,208.0,196.0,220.0,0.12
232.5,220.0,245.0,232.5,220.0,245.0,1.0
232.5,220.0,245.0,258.5,245.0,272.0,0.05
232.5,220.0,245.0,286.0,272.0,300.0,-0.25
232.5,220.0,245.0,315.0,300.0,330.0,0
232.5,220.0,245.0,346.0,330.0,362.0,0.02
232.5,220.0,245.0,378.5,362.0,395.0,0
232.5,220.0,245.0,412.5,395.0,430.0,0
232.5,220.0,245.0,449.0,430.0,468.0,0
232.5,220.0,245.0,487.5,468.0,507.0,0
232.5,220.0,245.0,527.5,507.0,548.0,0
232.5,220.0,245.0,570.0,548.0,592.0,0
232.5,220.0,245.0,615.0,592.0,638.0,0
232.5,220.0,245.0,662.0,638.0,686.0,0
258.5,245.0,272.0,143.0,133.0,153.0,0
258.5,245.0,272.0,163.5,153.0,174.0,0.04
258.5,245.0,272.0,185.0,174.0,196.0,0.07
258.5,245.0,272.0,208.0,196.0,220.0,-0.21
258.5,245.0,272.0,232.5,220.0,245.0,0.05
258.5,245.0,272.0,258.5,245.0,272.0,1.0
258.5,245.0,272.0,286.0,272.0,300.0,0
258.5,245.0,272.0,315.0,300.0,330.0,-0.22
258.5,245.0,272.0,346.0,330.0,362.0,0.03
258.5,245.0,272.0,378.5,362.0,395.0,0.02
258.5,245.0,272.0,412.5,395.0,430.0,0
258.5,245.0,272.0,449.0,430.0,468.0,0
258.5,245.0,272.0,487.5,468.0,507.0,0
258.5,245.0,272.0,527.5,507.0,548.0,0
258.5,245.0,272.0,570.0,548.0,592.0,0
258.5,245.0,272.0,615.0,592.0,638.0,0
258.5,245.0,272.0,662.0,638.0,686.0,0
286.0,272.0,300.0,143.0,133.0,153.0,0
286.0,272.0,300.0,163.5,153.0,174.0,0
286.0,272.0,300.0,185.0,174.0,196.0,0.06
286.0,272.0,300.0,208.0,196.0,220.0,0
286.0,272.0,300.0,232.5,220.0,245.0,-0.25
286.0,272.0,300.0,258.5,245.0,272.0,0
286.0,272.0,300.0,286.0,272.0,300.0,1.0
286.0,272.0,300.0,315.0,300.0,330.0,0.09
286.0,272.0,300.0,346.0,330.0,362.0,-0.2
286.0,272.0,300.0,378.5,362.0,395.0,0.03
286.0,272.0,300.0,412.5,395.0,430.0,0.03
286.0,272.0,300.0,449.0,430.0,468.0,0
286.0,272.0,300.0,487.5,468.0,507.0,0
286.0,272.0,300.0,527.5,507.0,548.0,0
286.0,272.0,300.0,570.0,548.0,592.0,0
286.0,272.0,300.0,615.0,592.0,638.0,0
286.0,272.0,300.0,662.0,638.0,686.0,0
315.0,300.0,330.0,143.0,133.0,153.0,0
315.0,300.0,330.0,163.5,153.0,174.0,0
315.0,300.0,330.0,185.0,174.0,196.0,0
315.0,300.0,330.0,208.0,196.0,220.0,0.03
315.0,300.0,330.0,232.5,220.0,245.0,0
315.0,300.0,330.0,258.5,245.0,272.0,-0.22
315.0,300.0,330.0,286.0,272.0,300.0,0.09
315.0,300.0,330.0,315.0,300.0,330.0,1.0
315.0,300.0,330.0,346.0,330.0,362.0,0.05
315.0,300.0,330.0,378.5,362.0,395.0,-0.22
315.0,300.0,330.0,412.5,395.0,430.0,0.02
315.0,300.0,330.0,449.0,430.0,468.0,0.06
315.0,300.0,330.0,487.5,468.0,507.0,0
315.0,300.0,330.0,527.5,507.0,548.0,0
315.0,300.0,330.0,570.0,548.0,592.0,0
315.0,300.0,330.0,615.0,592.0,638.0,0
315.0,300.0,330.0,662.0,638.0,686.0,0
346.0,330.0,362.0,143.0,133.0,153.0,0
346.0,330.0,362.0,163.5,153.0,174.0,0
346.0,330.0,362.0,185.0,174.0,196.0,0
346.0,330.0,362.0,208.0,196.0,220.0,0
346.0,330.0,362.0,232.5,220.0,245.0,0.02
346.0,330.0,362.0,258.5,245.0,272.0,0.03
346.0,330.0,362.0,286.0,272.0,300.0,-0.2
346.0,330.0,362.0,315.0,300.0,330.0,0.05
346.0,330.0,362.0,346.0,330.0,362.0,1.0
346.0,330.0,362.0,378.5,362.0,395.0,-0.04
346.0,330.0,362.0,412.5,395.0,430.0,-0.22
346.0,330.0,362.0,449.0,430.0,468.0,0.09
346.0,330.0,362.0,487.5,468.0,507.0,0.04
346.0,330.0,362.0,527.5,507.0,548.0,0
346.0,330.0,362.0,570.0,548.0,592.0,0
346.0,330.0,362.0,615.0,592.0,638.0,0
346.0,330.0,362.0,662.0,638.0,686.0,0
378.5,362.0,395.0,143.0,133.0,153.0,0
378.5,362.0,395.0,163.5,153.0,174.0,0
378.5,362.0,395.0,185.0,174.0,196.0,0
378.5,362.0,395.0,208.0,196.0,220.0,0
378.5,362.0,395.0,232.5,220.0,245.0,0
378.5,362.0,395.0,258.5,245.0,272.0,0.02
378.5,362.0,395.0,286.0,272.0,300.0,0.03
378.5,362.0,395.0,315.0,300.0,330.0,-0.22
378.5,362.0,395.0,346.0,330.0,362.0,-0.04
378.5,362.0,395.0,378.5,362.0,395.0,1.0
378.5,362.0,395.0,412.5,395.0,430.0,0.04
378.5,362.0,395.0,449.0,430.0,468.0,-0.34
378.5,362.0,395.0,487.5,468.0,507.0,0.03
378.5,362.0,395.0,527.5,507.0,548.0,0.02
378.5,362.0,395.0,570.0,548.0,592.0,0
378.5,362.0,395.0,615.0,592.0,638.0,0
378.5,362.0,395.0,662.0,638.0,686.0,0
412.5,395.0,430.0,143.0,133.0,153.0,0
412.5,395.0,430.0,163.5,153.0,174.0,0
412.5,395.0,430.0,185.0,174.0,196.0,0
412.5,395.0,430.0,208.0,196.0,220.0,0
412.5,395.0,430.0,232.5,220.0,245.0,0
412.5,395.0,430.0,258.5,245.0,272.0,0
412.5,395.0,430.0,286.0,272.0,300.0,0.03
412.5,395.0,430.0,315.0,300.0,330.0,0.02
412.5,395.0,430.0,346.0,330.0,362.0,-0.22
412.5,395.0,430.0,378.5,362.0,395.0,0.04
412.5,395.0,430.0,412.5,395.0,430.0,1.0
412.5,395.0,430.0,449.0,430.0,468.0,-0.18
412.5,395.0,430.0,487.5,468.0,507.0,-0.25
412.5,395.0,430.0,527.5,507.0,548.0,0.05
412.5,395.0,430.0,570.0,548.0,592.0,0
412.5,395.0,430.0,615.0,592.0,638.0,0
412.5,395.0,430.0,662.0,638.0,686.0,0
449.0,430.0,468.0,143.0,133.0,153.0,0
449.0,430.0,468.0,163.5,153.0,174.0,0
449.0,430.0,468.0,185.0,174.0,196.0,0
449.0,430.0,468.0,208.0,196.0,220.0,0
449.0,430.0,468.0,232.5,220.0,245.0,0
449.0,430.0,468.0,258.5,245.0,272.0,0
449.0,430.0,468.0,286.0,272.0,300.0,0
449.0,430.0,468.0,315.0,300.0,330.0,0.06
449.0,430.0,468.0,346.0,330.0,362.0,0.09
449.0,430.0,468.0,378.5,362.0,395.0,-0.34
449.0,430.0,468.0,412.5,395.0,430.0,-0.18
449.0,430.0,468.0,449.0,430.0,468.0,1.0
449.0,430.0,468.0,487.5,468.0,507.0,0.06
449.0,430.0,468.0,527.5,507.0,548.0,-0.18
449.0,430.0,468.0,570.0,548.0,592.0,0.02
449.0,430.0,468.0,615.0,592.0,638.0,0
449.0,430.0,468.0,662.0,638.0,686.0,0
487.5,468.0,507.0,143.0,133.0,153.0,0
487.5,468.0,507.0,163.5,153.0,174.0,0
487.5,468.0,507.0,185.0,174.0,196.0,0
487.5,468.0,507.0,208.0,196.0,220.0,0
487.5,468.0,507.0,232.5,220.0,245.0,0
487.5,468.0,507.0,258.5,245.0,272.0,0
487.5,468.0,507.0,286.0,272.0,300.0,0
487.5,468.0,507.0,315.0,300.0,330.0,0
487.5,468.0,507.0,346.0,330.0,362.0,0.04
487.5,468.0,507.0,378.5,362.0,395.0,0.03
487.5,468.0,507.0,412.5,395.0,430.0,-0.25
487.5,468.0,507.0,449.0,430.0,468.0,0.06
487.5,468.0,507.0,487.5,468.0,507.0,1.0
487.5,468.0,507.0,527.5,507.0,548.0,0.03
487.5,468.0,507.0,570.0,548.0,592.0,-0.17
487.5,468.0,507.0,615.0,592.0,638.0,0.02
487.5,468.0,507.0,662.0,638.0,686.0,0
527.5,507.0,548.0,143.0,133.0,153.0,0
527.5,507.0,548.0,163.5,153.0,174.0,0
527.5,507.0,548.0,185.0,174.0,196.0,0
527.5,507.0,548.0,208.0,196.0,220.0,0
527.5,507.0,548.0,232.5,220.0,245.0,0
527.5,507.0,548.0,258.5,245.0,272.0,0
527.5,507.0,548.0,286.0,272.0,300.0,0
527.5,507.0,548.0,315.0,300.0,330.0,0
527.5,507.0,548.0,346.0,330.0,362.0,0
527.5,507.0,548.0,378.5,362.0,395.0,0.02
527.5,507.0,548.0,412.5,395.0,430.0,0.05
527.5,507.0,548.0,449.0,430.0,468.0,-0.18
527.5,507.0,548.0,487.5,468.0,507.0,0.03
527.5,507.0,548.0,527.5,507.0,548.0,1.0
527.5,507.0,548.0,570.0,548.0,592.0,0.02
527.5,507.0,548.0,615.0,592.0,638.0,-0.17
527.5,507.0,548.0,662.0,638.0,686.0,0.02
570.0,548.0,592.0,143.0,133.0,153.0,0
570.0,548.0,592.0,163.5,153.0,174.0,0
570.0,548.0,592.0,185.0,174.0,196.0,0
570.0,548.0,592.0,208.0,196.0,220.0,0
570.0,548.0,592.0,232.5,220.0,245.0,0
570.0,548.0,592.0,258.5,245.0,272.0,0
570.0,548.0,592.0,286.0,272.0,300.0,0
570.0,548.0,592.0,315.0,300.0,330.0,0
570.0,548.0,592.0,346.0,330.0,362.0,0
570.0,548.0,592.0,378.5,362.0,395.0,0
570.0,548.0,592.0,412.5,395.0,430.0,0
570.0,548.0,592.0,449.0,430.0,468.0,0.02
570.0,548.0,592.0,487.5,468.0,507.0,-0.17
570.0,548.0,592.0,527.5,507.0,548.0,0.02
570.0,548.0,592.0,570.0,548.0,592.0,1.0
570.0,548.0,592.0,615.0,592.0,638.0,0.04
570.0,548.0,592.0,662.0,638.0,686.0,-0.17
615.0,592.0,638.0,143.0,133.0,153.0,0
615.0,592.0,638.0,163.5,153.0,174.0,0
615.0,592.0,638.0,185.0,174.0,196.0,0
615.0,592.0,638.0,208.0,196.0,220.0,0
615.0,592.0,638.0,232.5,220.0,245.0,0
615.0,592.0,638.0,258.5,245.0,272.0,0
615.0,592.0,638.0,286.0,272.0,300.0,0
615.0,592.0,638.0,315.0,300.0,330.0,0
615.0,592.0,638.0,346.0,330.0,362.0,0
615.0,592.0,638.0,378.5,362.0,395.0,0
615.0,592.0,638.0,412.5,395.0,430.0,0
615.0,592.0,638.0,449.0,430.0,468.0,0
615.0,592.0,638.0,487.5,468.0,507.0,0.02
615.0,592.0,638.0,527.5,507.0,548.0,-0.17
615.0,592.0,638.0,570.0,548.0,592.0,0.04
615.0,592.0,638.0,615.0,592.0,638.0,1.0
615.0,592.0,638.0,662.0,638.0,686.0,0.05
662.0,638.0,686.0,143.0,133.0,153.0,0
662.0,638.0,686.0,163.5,153.0,174.0,0
662.0,638.0,686.0,185.0,174.0,196.0,0
662.0,638.0,686.0,208.0,196.0,220.0,0
662.0,638.0,686.0,232.5,220.0,245.0,0
662.0,638.0,686.0,258.5,245.0,272.0,0
662.0,638.0,686.0,286.0,272.0,300.0,0
662.0,638.0,686.0,315.0,300.0,330.0,0
662.0,638.0,686.0,346.0,330.0,362.0,0
662.0,638.0,686.0,378.5,362.0,395.0,0
662.0,638.0,686.0,412.5,395.0,430.0,0
662.0,638.0,686.0,449.0,430.0,468.0,0
662.0,638.0,686.0,487.5,468.0,507.0,0
662.0,638.0,686.0,527.5,507.0,548.0,0.02
662.0,638.0,686.0,570.0,548.0,592.0,-0.17
662.0,638.0,686.0,615.0,592.0,638.0,0.05
662.0,638.0,686.0,662.0,638.0,686.0,1.0

