#: table_doi: 10.17182/hepdata.12557.v1/t65
#: name: Table 65
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE R(QCD).

#: data_file: Table65.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 15.034
#: P [GeV],120.0
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],15.034
#: X,0.55
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
15.0,0.08496,0.00385,-0.00385,0.00193,-0.00193,3.0%,-3.0%
17.0,0.08002,0.00362,-0.00362,0.00162,-0.00162,3.0%,-3.0%
19.0,0.09077,0.00451,-0.00451,0.00151,-0.00151,3.0%,-3.0%
21.5,0.08541,0.00371,-0.00371,0.00132,-0.00132,3.0%,-3.0%
24.5,0.09161,0.00433,-0.00433,0.00124,-0.00124,3.0%,-3.0%
28.0,0.0816,0.00229,-0.00229,0.00091,-0.00091,3.0%,-3.0%
32.5,0.07931,0.0022,-0.0022,0.00074,-0.00074,3.0%,-3.0%
37.5,0.0787,0.00247,-0.00247,0.00068,-0.00068,3.0%,-3.0%
43.0,0.07629,0.00285,-0.00285,0.00056,-0.00056,3.0%,-3.0%
49.5,0.07905,0.00301,-0.00301,0.00052,-0.00052,3.0%,-3.0%
57.0,0.07485,0.0031,-0.0031,0.00044,-0.00044,3.0%,-3.0%
65.5,0.06696,0.00321,-0.00321,0.00035,-0.00035,3.0%,-3.0%
75.0,0.07074,0.00359,-0.00359,0.00033,-0.00033,3.0%,-3.0%
86.0,0.07066,0.00381,-0.00381,0.0003,-0.0003,3.0%,-3.0%

