#: table_doi: 10.17182/hepdata.12557.v1/t61
#: name: Table 61
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE R(QCD).

#: data_file: Table61.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 15.034
#: P [GeV],120.0
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],15.034
#: X,0.225
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
11.75,0.32331,0.00661,-0.00661,0.00219,-0.00219,3.0%,-3.0%
13.25,0.34116,0.00705,-0.00705,0.00224,-0.00224,3.0%,-3.0%
15.0,0.32619,0.00634,-0.00634,0.00207,-0.00207,3.0%,-3.0%
17.0,0.33525,0.0068,-0.0068,0.00212,-0.00212,3.0%,-3.0%
19.0,0.31776,0.00708,-0.00708,0.00196,-0.00196,3.0%,-3.0%
21.5,0.32585,0.00652,-0.00652,0.00205,-0.00205,3.0%,-3.0%
24.5,0.31622,0.00715,-0.00715,0.00192,-0.00192,3.0%,-3.0%
28.0,0.31632,0.00598,-0.00598,0.00077,-0.00077,3.0%,-3.0%
32.5,0.32366,0.00591,-0.00591,0.00067,-0.00067,3.0%,-3.0%

