#: table_doi: 10.17182/hepdata.12557.v1/t8
#: name: Table 8
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE ZERO.

#: data_file: Table8.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 13.729-22.938
#: P [GEV],100. TO 280.
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],13.729-22.938
#: X,0.35
Q**2 [GEV**2],F2(R=0),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
11.75,0.24001,0.00427,-0.00427,0.00381,-0.00381,3.0%,-3.0%
13.25,0.23467,0.00352,-0.00352,0.00262,-0.00262,3.0%,-3.0%
15.0,0.23203,0.00313,-0.00313,0.00249,-0.00249,3.0%,-3.0%
17.0,0.236,0.00325,-0.00325,0.00255,-0.00255,3.0%,-3.0%
19.0,0.22495,0.00332,-0.00332,0.00236,-0.00236,3.0%,-3.0%
21.5,0.22775,0.00298,-0.00298,0.00242,-0.00242,3.0%,-3.0%
24.5,0.22637,0.0022,-0.0022,0.00111,-0.00111,3.0%,-3.0%
28.0,0.22518,0.00242,-0.00242,0.0008,-0.0008,3.0%,-3.0%
32.5,0.22074,0.00175,-0.00175,0.0009,-0.0009,3.0%,-3.0%
37.5,0.21952,0.00164,-0.00164,0.00078,-0.00078,3.0%,-3.0%
43.0,0.21533,0.00154,-0.00154,0.00087,-0.00087,3.0%,-3.0%
49.5,0.21359,0.00167,-0.00167,0.00085,-0.00085,3.0%,-3.0%
57.0,0.21341,0.00163,-0.00163,0.00088,-0.00088,3.0%,-3.0%
65.5,0.20568,0.00178,-0.00178,0.00083,-0.00083,3.0%,-3.0%
75.0,0.20445,0.0021,-0.0021,0.00061,-0.00061,3.0%,-3.0%
86.0,0.20565,0.00217,-0.00217,0.00071,-0.00071,3.0%,-3.0%
99.0,0.20141,0.00233,-0.00233,0.00059,-0.00059,3.0%,-3.0%
115.5,0.20358,0.00441,-0.00441,0.00071,-0.00071,3.0%,-3.0%
137.5,0.20044,0.00472,-0.00472,0.00069,-0.00069,3.0%,-3.0%

