#: table_doi: 10.17182/hepdata.12557.v1/t63
#: name: Table 63
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE R(QCD).

#: data_file: Table63.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 15.034
#: P [GeV],120.0
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],15.034
#: X,0.35
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
13.25,0.23713,0.00604,-0.00604,0.00164,-0.00164,3.0%,-3.0%
15.0,0.23446,0.00545,-0.00545,0.00162,-0.00162,3.0%,-3.0%
17.0,0.23473,0.00535,-0.00535,0.00141,-0.00141,3.0%,-3.0%
19.0,0.22939,0.0055,-0.0055,0.00147,-0.00147,3.0%,-3.0%
21.5,0.22173,0.00467,-0.00467,0.00138,-0.00138,3.0%,-3.0%
24.5,0.23176,0.00352,-0.00352,0.00085,-0.00085,3.0%,-3.0%
28.0,0.22638,0.00333,-0.00333,0.00075,-0.00075,3.0%,-3.0%
32.5,0.22116,0.0032,-0.0032,0.00053,-0.00053,3.0%,-3.0%
37.5,0.2221,0.00415,-0.00415,0.00036,-0.00036,3.0%,-3.0%
43.0,0.21858,0.00421,-0.00421,0.00062,-0.00062,3.0%,-3.0%
49.5,0.20928,0.00426,-0.00426,0.00036,-0.00036,3.0%,-3.0%
57.0,0.21417,0.00502,-0.00502,0.00061,-0.00061,3.0%,-3.0%

