#: table_doi: 10.17182/hepdata.12557.v1/t88
#: name: Table 88
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE R(QCD).

#: data_file: Table88.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 19.393
#: P [GeV],200.0
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],19.393
#: X,0.65
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
32.5,0.03722,0.00122,-0.00122,0.00171,-0.00171,3.0%,-3.0%
37.5,0.03408,0.0013,-0.0013,0.00141,-0.00141,3.0%,-3.0%
43.0,0.03539,0.00078,-0.00078,0.00125,-0.00125,3.0%,-3.0%
49.5,0.03513,0.00083,-0.00083,0.00108,-0.00108,3.0%,-3.0%
57.0,0.03329,0.00086,-0.00086,0.00084,-0.00084,3.0%,-3.0%
65.5,0.0325,0.00092,-0.00092,0.00067,-0.00067,3.0%,-3.0%
75.0,0.03215,0.001,-0.001,0.00054,-0.00054,3.0%,-3.0%
86.0,0.03362,0.00126,-0.00126,0.00048,-0.00048,3.0%,-3.0%
99.0,0.03084,0.00128,-0.00128,0.00041,-0.00041,3.0%,-3.0%
115.5,0.02844,0.00125,-0.00125,0.00031,-0.00031,3.0%,-3.0%
137.5,0.02787,0.0013,-0.0013,0.00025,-0.00025,3.0%,-3.0%

