#: table_doi: 10.17182/hepdata.12557.v1/t12
#: name: Table 12
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE ZERO.

#: data_file: Table12.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 13.729-22.938
#: P [GEV],100. TO 280.
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],13.729-22.938
#: X,0.75
Q**2 [GEV**2],F2(R=0),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
24.5,0.01357,0.00064,-0.00064,0.00166,-0.00166,3.0%,-3.0%
28.0,0.01365,0.00068,-0.00068,0.00156,-0.00156,3.0%,-3.0%
32.5,0.01319,0.00049,-0.00049,0.0013,-0.0013,3.0%,-3.0%
37.5,0.0118,0.00056,-0.00056,0.001,-0.001,3.0%,-3.0%
43.0,0.01222,0.00034,-0.00034,0.00149,-0.00149,3.0%,-3.0%
49.5,0.01164,0.00036,-0.00036,0.00126,-0.00126,3.0%,-3.0%
57.0,0.01113,0.00035,-0.00035,0.00125,-0.00125,3.0%,-3.0%
65.5,0.01083,0.00039,-0.00039,0.00104,-0.00104,3.0%,-3.0%
75.0,0.0109,0.00042,-0.00042,0.00094,-0.00094,3.0%,-3.0%
86.0,0.00991,0.00046,-0.00046,0.00083,-0.00083,3.0%,-3.0%
99.0,0.00918,0.00048,-0.00048,0.00064,-0.00064,3.0%,-3.0%
115.5,0.00819,0.00051,-0.00051,0.00054,-0.00054,3.0%,-3.0%
137.5,0.00909,0.00057,-0.00057,0.00048,-0.00048,3.0%,-3.0%
175.0,0.00832,0.00098,-0.00098,0.00043,-0.00043,3.0%,-3.0%
230.0,0.00798,0.0013,-0.0013,0.00028,-0.00028,3.0%,-3.0%

