#: table_doi: 10.17182/hepdata.12557.v1/t3
#: name: Table 3
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE ZERO.

#: data_file: Table3.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 13.729-22.938
#: P [GEV],100. TO 280.
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],13.729-22.938
#: X,0.1
Q**2 [GEV**2],F2(R=0),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
7.5,0.38055,0.00424,-0.00424,0.0048,-0.0048,3.0%,-3.0%
8.75,0.38347,0.00351,-0.00351,0.00525,-0.00525,3.0%,-3.0%
10.25,0.38249,0.00284,-0.00284,0.00506,-0.00506,3.0%,-3.0%
11.75,0.38341,0.00476,-0.00476,0.00506,-0.00506,3.0%,-3.0%
13.25,0.38291,0.00516,-0.00516,0.00471,-0.00471,3.0%,-3.0%
19.0,0.39548,0.00407,-0.00407,0.00345,-0.00345,3.0%,-3.0%
21.5,0.39338,0.00317,-0.00317,0.00386,-0.00386,3.0%,-3.0%
24.5,0.39402,0.00339,-0.00339,0.00327,-0.00327,3.0%,-3.0%
32.5,0.39629,0.00559,-0.00559,0.00442,-0.00442,3.0%,-3.0%
37.5,0.39408,0.0063,-0.0063,0.00329,-0.00329,3.0%,-3.0%

