#: table_doi: 10.17182/hepdata.12557.v1/t85
#: name: Table 85
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE R(QCD).

#: data_file: Table85.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 19.393
#: P [GeV],200.0
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],19.393
#: X,0.35
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
32.5,0.22247,0.00276,-0.00276,0.00078,-0.00078,3.0%,-3.0%
37.5,0.22019,0.00209,-0.00209,0.00058,-0.00058,3.0%,-3.0%
43.0,0.2171,0.00201,-0.00201,0.00066,-0.00066,3.0%,-3.0%
49.5,0.21531,0.00197,-0.00197,0.00057,-0.00057,3.0%,-3.0%
57.0,0.21488,0.00204,-0.00204,0.00075,-0.00075,3.0%,-3.0%
65.5,0.20861,0.00211,-0.00211,0.00043,-0.00043,3.0%,-3.0%
75.0,0.20327,0.0026,-0.0026,0.00035,-0.00035,3.0%,-3.0%
86.0,0.20739,0.00275,-0.00275,0.00079,-0.00079,3.0%,-3.0%
99.0,0.20279,0.00301,-0.00301,0.00048,-0.00048,3.0%,-3.0%

